date,cab_nonres
2025-10-01,445300.0
2025-10-02,452700.0
2025-10-03,456900.0
2025-10-06,457300.0
2025-10-07,456500.0
2025-10-08,443900.0
2025-10-09,445300.0
2025-10-10,425300.0
2025-10-14,437800.0
2025-10-15,452800.0
2025-10-16,444200.0
2025-10-17,450500.0
2025-10-20,452300.0
2025-10-21,457100.0
2025-10-22,446100.0
2025-10-23,439400.0
2025-10-24,446500.0
2025-10-27,442800.0
2025-10-28,437800.0
2025-10-29,430000.0
2025-10-30,433900.0
2025-10-31,444900.0
2025-11-04,427500.0
2025-11-05,425800.0
2025-11-06,422300.0
2025-11-07,427000.0
2025-11-10,422100.0
2025-11-11,426900.0
2025-11-12,428900.0
2025-11-13,426300.0
2025-11-14,414400.0
2025-11-17,408800.0
2025-11-18,413300.0
2025-11-19,406600.0
2025-11-20,406300.0
2025-11-21,394300.0
2025-11-25,388200.0
2025-11-26,378600.0
2025-11-27,373500.0
2025-11-28,385000.0
2025-12-01,377800.0
2025-12-02,382100.0
2025-12-03,381700.0
2025-12-04,380400.0
2025-12-05,386000.0
2025-12-08,385000.0
2025-12-09,382000.0
2025-12-10,367500.0
2025-12-11,382300.0
2025-12-12,389300.0
2025-12-15,383500.0
2025-12-16,377200.0
2025-12-17,372700.0
2025-12-18,390500.0
2025-12-19,399500.0
2025-12-22,404600.0
2025-12-23,396400.0
2025-12-24,405300.0
2025-12-25,404500.0
2025-12-26,412900.0
2025-12-29,414200.0
2025-12-30,420000.0
2026-01-05,398900.0
2026-01-06,396000.0
2026-01-07,393300.0
2026-01-08,401300.0
2026-01-09,394500.0
2026-01-13,386300.0
2026-01-14,393000.0
2026-01-15,385700.0
2026-01-16,377000.0
2026-01-19,377900.0
2026-01-20,385600.0
2026-01-21,376800.0
2026-01-22,373500.0
2026-01-23,366900.0
2026-01-26,365400.0
2026-01-27,368500.0
2026-01-28,372700.0
2026-01-29,367400.0
2026-01-30,383100.0
2026-02-02,353800.0
2026-02-03,362900.0
2026-02-04,354500.0
2026-02-05,361300.0
2026-02-06,352500.0
2026-02-09,346800.0
2026-02-10,347500.0
2026-02-12,354100.0
2026-02-13,348200.0
2026-02-16,346100.0
2026-02-17,356200.0
2026-02-18,351200.0
2026-02-19,355100.0
2026-02-20,353200.0
2026-02-24,345500.0
2026-02-25,345700.0
2026-02-26,353600.0
2026-02-27,364200.0
2026-03-02,362600.0
2026-03-03,353400.0
2026-03-04,350800.0
2026-03-05,346700.0
2026-03-06,356700.0
2026-03-09,343400.0
2026-03-10,358400.0
2026-03-11,360100.0
2026-03-12,365400.0
2026-03-13,364500.0
2026-03-16,348300.0
2026-03-17,342800.0
2026-03-18,349300.0
2026-03-19,353000.0
2026-03-23,360300.0
2026-03-24,357400.0
2026-03-25,353400.0
2026-03-26,349900.0
2026-03-27,389600.0
2026-03-30,362000.0
2026-03-31,387400.0
2026-04-01,386000.0
2026-04-02,373900.0
2026-04-03,366600.0
2026-04-06,383000.0
2026-04-07,386700.0
2026-04-08,393100.0
2026-04-09,386300.0
2026-04-10,365100.0
2026-04-13,377300.0
2026-04-14,369300.0
2026-04-15,374400.0
2026-04-16,371500.0
2026-04-17,381100.0
2026-04-20,382900.0
2026-04-21,377400.0
2026-04-22,369300.0
2026-04-23,361900.0
2026-04-24,351700.0
2026-04-27,357700.0
2026-04-28,349700.0
2026-04-30,348600.0
2026-05-01,333900.0
2026-05-07,340700.0
2026-05-08,341200.0
2026-05-11,329800.0
2026-05-12,337400.0
2026-05-13,330600.0
2026-05-14,323100.0
2026-05-15,325500.0
2026-05-18,329000.0
2026-05-19,311200.0
2026-05-20,307000.0
2026-05-21,310800.0
2026-05-22,345800.0
2026-05-25,321100.0
2026-05-26,313400.0
2026-05-27,304800.0
2026-05-28,302000.0
2026-05-29,304900.0
2026-06-01,309400.0
2026-06-02,303100.0
2026-06-03,293300.0
2026-06-04,300200.0
2026-06-05,300200.0
2026-06-08,299900.0
2026-06-09,310100.0
2026-06-10,303700.0
2026-06-11,304100.0
2026-06-12,309400.0
2026-06-15,312100.0
2026-06-16,317400.0
2026-06-17,305500.0
2026-06-18,301500.0
2026-06-19,315500.0
2026-06-22,323800.0
2026-06-23,322100.0
2026-06-24,301100.0
2026-06-25,304600.0
2026-06-26,303000.0
2026-06-29,309400.0
2026-06-30,331700.0
2026-07-01,327400.0
2026-07-02,327600.0
2026-07-03,322900.0
2026-07-06,334500.0
2026-07-07,335800.0
2026-07-08,344900.0
2026-07-09,336600.0
2026-07-10,332500.0
2026-07-13,329600.0
2026-07-14,326900.0
2026-07-15,324900.0
2026-07-16,331600.0
2026-07-17,332800.0
2026-07-21,333900.0
2026-07-22,331400.0
2026-07-23,334400.0
2026-07-24,333800.0
2026-07-27,337700.0
2026-07-28,345800.0
2026-07-29,336700.0
2026-07-30,343500.0
2026-07-31,352600.0
2026-08-03,347000.0
2026-08-04,330700.0
2026-08-05,335500.0
2026-08-06,326200.0
2026-08-07,333300.0
2026-08-10,331200.0
2026-08-12,325500.0
2026-08-13,321700.0
2026-08-14,328100.0
2026-08-17,328600.0
2026-08-18,330300.0
2026-08-19,327600.0
2026-08-20,326900.0
2026-08-21,317400.0
2026-08-24,322800.0
2026-08-25,326100.0
2026-08-26,320200.0
2026-08-27,314900.0
2026-08-28,323600.0
2026-08-31,338400.0
2026-09-01,328600.0
2026-09-02,321100.0
2026-09-03,319100.0
2026-09-04,313000.0
2026-09-07,317000.0
