date,btc_10y
2022-01-05,3.458
2022-02-01,3.269
2022-03-01,3.235
2022-04-05,3.611
2022-05-10,5.743
2022-06-02,4.86
2022-07-05,5.046
2022-08-02,3.016
2022-09-01,4.014
2022-10-04,5.552
2022-11-01,5.243
2022-12-01,6.028
2023-01-05,4.764
2023-02-02,4.611
2023-03-02,7.55
2023-04-04,3.774
2023-05-09,3.6
2023-06-01,3.689
2023-07-04,4.024
2023-08-01,3.636
2023-09-05,4.019
2023-10-03,3.934
2023-11-02,3.622
2023-12-05,2.823
2024-01-10,2.904
2024-02-01,3.648
2024-03-05,3.239
2024-04-02,3.799
2024-05-08,3.151
2024-06-04,3.662
2024-07-02,3.232
2024-08-06,2.975
2024-09-03,3.171
2024-10-03,3.529
2024-11-07,3.133
2024-12-03,3.116
2025-01-07,3.357
2025-02-04,3.181
2025-03-04,2.657
2025-04-03,3.147
2025-05-08,2.544
2025-06-03,3.663
2025-07-01,3.507
2025-08-05,3.059
2025-09-02,3.916
2025-10-02,3.336
2025-11-05,2.973
2025-12-02,3.591
2026-01-06,3.304
2026-02-03,3.02
2026-03-03,3.304
2026-04-02,2.565
2026-05-12,3.904
2026-06-02,3.53
2026-07-02,3.13
2026-08-04,2.558
2026-09-01,3.286
