date,gov_bonds_over_1y_balance
2024-04-30,95049.21
2024-05-31,108749.0
2024-06-30,40214.16
2024-07-31,112271.46
2024-08-31,103118.47
2024-09-30,58216.81
2024-10-31,100167.64
2024-11-30,101850.85
2024-12-31,53966.71
2025-01-31,96014.04
2025-02-28,88109.7
2025-03-31,45142.64
2025-04-30,103164.16
2025-05-31,107478.91
2025-06-30,56804.82
2025-07-31,106086.63
2025-08-31,83969.88
2025-09-30,64318.43
2025-10-31,98798.96
2025-11-30,104731.76
2025-12-31,49283.14
2026-01-31,102951.56
2026-02-28,101379.4
2026-03-31,55974.1
2026-04-30,99519.02
2026-05-31,109446.19
2026-06-30,60573.42
2026-07-31,100419.97
2026-08-31,105631.06
