date,btc_40y
2022-01-25,2.574
2022-03-29,2.194
2022-05-26,2.416
2022-07-26,2.705
2022-09-27,2.363
2022-11-25,2.355
2023-01-26,2.554
2023-03-28,2.694
2023-05-25,2.377
2023-07-25,2.541
2023-09-26,2.95
2023-11-28,2.208
2024-01-25,2.148
2024-03-27,2.487
2024-05-22,2.205
2024-07-24,2.2
2024-09-26,2.58
2024-11-27,2.236
2025-01-21,2.752
2025-03-27,2.92
2025-05-28,2.214
2025-07-23,2.127
2025-09-25,2.604
2025-11-26,2.585
2026-01-28,2.76
2026-03-24,2.541
2026-05-27,2.702
2026-07-22,2.824
