date,offer_30y
2022-01-07,9000.0
2022-02-03,9000.0
2022-03-03,9000.0
2022-04-07,9000.0
2022-05-12,9000.0
2022-06-07,9000.0
2022-07-07,9000.0
2022-08-09,9000.0
2022-09-06,9000.0
2022-10-12,9000.0
2022-11-09,9000.0
2022-12-06,9000.0
2023-01-11,9000.0
2023-02-07,9000.0
2023-03-07,9000.0
2023-04-06,9000.0
2023-05-11,9000.0
2023-06-06,9000.0
2023-07-06,9000.0
2023-08-08,9000.0
2023-09-07,9000.0
2023-10-05,9000.0
2023-11-09,9000.0
2023-12-07,9000.0
2024-01-12,9000.0
2024-02-07,9000.0
2024-03-07,9000.0
2024-04-04,9000.0
2024-05-10,9000.0
2024-06-06,9000.0
2024-07-04,9000.0
2024-08-08,9000.0
2024-09-05,9000.0
2024-10-08,9000.0
2024-11-13,9000.0
2024-12-05,9000.0
2025-01-09,9000.0
2025-02-06,9000.0
2025-03-06,9000.0
2025-04-08,8000.0
2025-05-13,8000.0
2025-06-05,8000.0
2025-07-03,7000.0
2025-08-07,7000.0
2025-09-04,7000.0
2025-10-07,7000.0
2025-11-11,7000.0
2025-12-04,7000.0
2026-01-08,7000.0
2026-02-05,7000.0
2026-03-05,7000.0
2026-04-07,6000.0
2026-05-14,6000.0
2026-06-10,6000.0
2026-07-07,6000.0
