date,mbase
2025-10-01,6201800.0
2025-10-02,6162100.0
2025-10-03,6138600.0
2025-10-06,6144900.0
2025-10-07,6143700.0
2025-10-08,6135300.0
2025-10-09,6143800.0
2025-10-10,6121800.0
2025-10-14,6109500.0
2025-10-15,6180300.0
2025-10-16,6172600.0
2025-10-17,6186100.0
2025-10-20,6178600.0
2025-10-21,6175500.0
2025-10-22,6178300.0
2025-10-23,6190500.0
2025-10-24,6197600.0
2025-10-27,6192500.0
2025-10-28,6193800.0
2025-10-29,6202400.0
2025-10-30,6204100.0
2025-10-31,6191900.0
2025-11-04,6163700.0
2025-11-05,6164400.0
2025-11-06,6139300.0
2025-11-07,6148700.0
2025-11-10,6141300.0
2025-11-11,6137900.0
2025-11-12,6137700.0
2025-11-13,6143400.0
2025-11-14,6115100.0
2025-11-17,6113600.0
2025-11-18,6104100.0
2025-11-19,6102200.0
2025-11-20,6100000.0
2025-11-21,6111700.0
2025-11-25,6108300.0
2025-11-26,6096500.0
2025-11-27,6091400.0
2025-11-28,6084900.0
2025-12-01,6041600.0
2025-12-02,6002300.0
2025-12-03,5924400.0
2025-12-04,5929700.0
2025-12-05,5930400.0
2025-12-08,5931700.0
2025-12-09,5932000.0
2025-12-10,5909700.0
2025-12-11,5908100.0
2025-12-12,5896600.0
2025-12-15,5915900.0
2025-12-16,5911100.0
2025-12-17,5898900.0
2025-12-18,5919100.0
2025-12-19,5924700.0
2025-12-22,5970400.0
2025-12-23,5962500.0
2025-12-24,5957400.0
2025-12-25,5986000.0
2025-12-26,5984200.0
2025-12-29,5974600.0
2025-12-30,5962100.0
2026-01-05,5964600.0
2026-01-06,5965900.0
2026-01-07,5904900.0
2026-01-08,5922500.0
2026-01-09,5912300.0
2026-01-13,5892600.0
2026-01-14,5874200.0
2026-01-15,5852500.0
2026-01-16,5864700.0
2026-01-19,5851700.0
2026-01-20,5866200.0
2026-01-21,5850800.0
2026-01-22,5861600.0
2026-01-23,5859900.0
2026-01-26,5864100.0
2026-01-27,5858200.0
2026-01-28,5859700.0
2026-01-29,5859600.0
2026-01-30,5901400.0
2026-02-02,5875000.0
2026-02-03,5855900.0
2026-02-04,5762600.0
2026-02-05,5774200.0
2026-02-06,5760900.0
2026-02-09,5757800.0
2026-02-10,5757300.0
2026-02-12,5755600.0
2026-02-13,5843100.0
