date,offer_10y
2022-01-05,26000.0
2022-02-01,26000.0
2022-03-01,26000.0
2022-04-05,27000.0
2022-05-10,27000.0
2022-06-02,27000.0
2022-07-05,27000.0
2022-08-02,27000.0
2022-09-01,27000.0
2022-10-04,27000.0
2022-11-01,27000.0
2022-12-01,27000.0
2023-01-05,27000.0
2023-02-02,27000.0
2023-03-02,27000.0
2023-04-04,27000.0
2023-05-09,27000.0
2023-06-01,27000.0
2023-07-04,27000.0
2023-08-01,27000.0
2023-09-05,27000.0
2023-10-03,27000.0
2023-11-02,27000.0
2023-12-05,27000.0
2024-01-10,27000.0
2024-02-01,27000.0
2024-03-05,27000.0
2024-04-02,26000.0
2024-05-08,26000.0
2024-06-04,26000.0
2024-07-02,26000.0
2024-08-06,26000.0
2024-09-03,26000.0
2024-10-03,26000.0
2024-11-07,26000.0
2024-12-03,26000.0
2025-01-07,26000.0
2025-02-04,26000.0
2025-03-04,26000.0
2025-04-03,26000.0
2025-05-08,26000.0
2025-06-03,26000.0
2025-07-01,26000.0
2025-08-05,26000.0
2025-09-02,26000.0
2025-10-02,26000.0
2025-11-05,26000.0
2025-12-02,26000.0
2026-01-06,26000.0
2026-02-03,26000.0
2026-03-03,26000.0
2026-04-02,26000.0
2026-05-12,26000.0
2026-06-02,26000.0
2026-07-02,26000.0
