date,hy_40y
2022-01-25,0.76
2022-03-29,1.095
2022-05-26,1.07
2022-07-26,1.345
2022-09-27,1.52
2022-11-25,1.58
2023-01-26,1.625
2023-03-28,1.465
2023-05-25,1.385
2023-07-25,1.465
2023-09-26,1.725
2023-11-28,1.81
2024-01-25,1.925
2024-03-27,1.905
2024-05-22,2.27
2024-07-24,2.42
2024-09-26,2.34
2024-11-27,2.55
2025-01-21,2.57
2025-03-27,2.71
2025-05-28,3.135
2025-07-23,3.375
2025-09-25,3.3
2025-11-26,3.555
2026-01-28,3.72
2026-03-24,3.6
2026-05-27,3.84
2026-07-22,3.865
