date,btc_2y
2022-01-27,3.874
2022-02-25,4.559
2022-03-31,5.427
2022-04-27,4.34
2022-05-31,5.426
2022-06-28,3.814
2022-07-28,4.332
2022-08-30,3.612
2022-09-29,4.779
2022-10-27,4.155
2022-11-29,4.028
2022-12-27,3.779
2023-01-31,3.727
2023-02-28,4.112
2023-03-30,3.892
2023-04-26,3.705
2023-05-30,3.769
2023-06-29,4.263
2023-07-27,3.95
2023-08-29,3.206
2023-09-28,3.273
2023-10-30,3.045
2023-11-30,2.911
2023-12-26,3.34
2024-01-30,3.742
2024-02-29,3.617
2024-03-29,4.072
2024-04-23,3.481
2024-05-30,3.777
2024-06-27,3.831
2024-07-26,4.187
2024-08-29,5.542
2024-09-30,3.815
2024-10-29,4.874
2024-11-29,3.63
2024-12-26,3.947
2025-01-31,4.06
2025-02-27,3.164
2025-03-31,3.408
2025-04-24,3.58
2025-05-30,3.769
2025-06-26,3.903
2025-07-29,4.467
2025-08-28,2.841
2025-09-30,2.814
2025-10-31,4.351
2025-11-28,3.531
2025-12-25,3.256
2026-01-30,3.876
2026-02-27,3.319
2026-03-31,3.537
2026-04-30,5.244
2026-05-29,3.696
2026-06-30,4.818
2026-07-30,3.626
