date,offer_40y
2022-01-25,6000.0
2022-03-29,6000.0
2022-05-26,7000.0
2022-07-26,7000.0
2022-09-27,7000.0
2022-11-25,7000.0
2023-01-26,7000.0
2023-03-28,7000.0
2023-05-25,7000.0
2023-07-25,7000.0
2023-09-26,7000.0
2023-11-28,7000.0
2024-01-25,7000.0
2024-03-27,7000.0
2024-05-22,7000.0
2024-07-24,7000.0
2024-09-26,7000.0
2024-11-27,7000.0
2025-01-21,7000.0
2025-03-27,7000.0
2025-05-28,5000.0
2025-07-23,4000.0
2025-09-25,4000.0
2025-11-26,4000.0
2026-01-28,4000.0
2026-03-24,4000.0
2026-05-27,3000.0
2026-07-22,3000.0
