date,ac_corporate_bonds
2024-10-10,54696.9
2024-10-20,54427.7
2024-10-31,53521.2
2024-11-10,53511.1
2024-11-20,53511.1
2024-11-30,53411.0
2024-12-10,52697.5
2024-12-20,51444.4
2024-12-31,50957.0
2025-01-10,50957.0
2025-01-20,50718.0
2025-01-31,49970.1
2025-02-10,49703.8
2025-02-20,49674.8
2025-02-28,49312.1
2025-03-10,49041.7
2025-03-20,48668.7
2025-03-31,48537.2
2025-04-10,48537.2
2025-04-20,48297.2
2025-04-30,46042.0
2025-05-10,46042.0
2025-05-20,46042.0
2025-05-31,45490.9
2025-06-10,44464.8
2025-06-20,41949.6
2025-06-30,41384.5
2025-07-10,40906.4
2025-07-20,38829.7
2025-07-31,37718.0
2025-08-10,37656.0
2025-08-20,37460.9
2025-08-31,36944.4
2025-09-10,36409.2
2025-09-20,35362.4
2025-09-30,34921.6
2025-10-10,34781.1
2025-10-20,34621.0
2025-10-31,33044.1
2025-11-10,33044.1
2025-11-20,32775.9
2025-11-30,31994.3
2025-12-10,30188.8
2025-12-20,27771.8
2025-12-31,27181.1
2026-01-10,27181.1
2026-01-20,26799.1
2026-01-31,25840.7
2026-02-10,25334.0
2026-02-20,25248.9
2026-02-28,24137.7
2026-03-10,23071.9
2026-03-20,22296.4
2026-03-31,21932.1
2026-04-10,21844.1
2026-04-20,20878.1
2026-04-30,19904.1
2026-05-10,19582.0
2026-05-20,19582.0
2026-05-31,18979.0
2026-06-10,17626.9
2026-06-20,16705.0
2026-06-30,16300.8
2026-07-10,15629.7
2026-07-20,15159.6
2026-07-31,14395.5
2026-08-10,14354.5
2026-08-20,14354.5
2026-08-31,13576.6
