date,fefsa_payments
2024-04-30,7446.45
2024-05-31,7754.74
2024-06-30,8951.46
2024-07-31,9001.2
2024-08-31,7845.59
2024-09-30,7804.01
2024-10-31,7781.51
2024-11-30,7730.89
2024-12-31,8261.36
2025-01-31,8513.89
2025-02-28,8340.4
2025-03-31,6080.21
2025-04-30,9169.3
2025-05-31,6064.25
2025-06-30,10552.83
2025-07-31,9157.14
2025-08-31,6101.79
2025-09-30,7468.34
2025-10-31,9136.45
2025-11-30,4410.53
2025-12-31,6229.99
2026-01-31,8456.71
2026-02-28,6710.08
2026-03-31,7538.81
2026-04-30,8085.46
2026-05-31,8819.43
2026-06-30,7866.7
2026-07-31,6363.58
2026-08-31,8912.93
