date,gov_bonds_over_1y_receipts
2024-04-30,109463.12
2024-05-31,125635.08
2024-06-30,112064.23
2024-07-31,128365.07
2024-08-31,118569.97
2024-09-30,123275.59
2024-10-31,115223.01
2024-11-30,120365.3
2024-12-31,110999.77
2025-01-31,124010.12
2025-02-28,110335.08
2025-03-31,116436.12
2025-04-30,118139.37
2025-05-31,122550.13
2025-06-30,112485.83
2025-07-31,117603.9
2025-08-31,108229.86
2025-09-30,114151.66
2025-10-31,109388.74
2025-11-30,121689.83
2025-12-31,107568.73
2026-01-31,119463.31
2026-02-28,117590.21
2026-03-31,128565.71
2026-04-30,112206.41
2026-05-31,125259.35
2026-06-30,108771.14
2026-07-31,116474.33
2026-08-31,117046.27
