date,hy_20y
2022-01-14,0.532
2022-02-17,0.736
2022-03-10,0.644
2022-04-14,0.724
2022-05-20,0.757
2022-06-23,0.905
2022-07-14,0.902
2022-08-18,0.752
2022-09-15,0.894
2022-10-18,1.123
2022-11-17,1.029
2022-12-15,1.088
2023-01-19,1.341
2023-02-21,1.306
2023-03-16,1.079
2023-04-20,1.085
2023-05-17,0.992
2023-06-27,0.948
2023-07-13,1.07
2023-08-17,1.322
2023-09-14,1.433
2023-10-17,1.553
2023-11-21,1.423
2023-12-14,1.414
2024-01-18,1.383
2024-02-20,1.51
2024-03-14,1.559
2024-04-11,1.63
2024-05-16,1.734
2024-06-25,1.843
2024-07-11,1.913
2024-08-20,1.706
2024-09-12,1.69
2024-10-24,1.8
2024-11-21,1.898
2024-12-17,1.879
2025-01-16,1.983
2025-02-18,2.028
2025-03-12,2.278
2025-04-15,2.349
2025-05-20,2.453
2025-06-24,2.364
2025-07-10,2.482
2025-08-19,2.581
2025-09-17,2.654
2025-10-15,2.674
2025-11-19,2.809
2025-12-11,2.916
2026-01-20,3.253
2026-02-19,2.968
2026-03-17,3.141
2026-04-14,3.327
2026-05-20,3.711
2026-06-25,3.542
2026-07-14,3.626
2026-08-20,3.713
