date,ac_current_deposits
2024-10-10,5408826.7
2024-10-20,5476987.1
2024-10-31,5483546.2
2024-11-10,5463129.2
2024-11-20,5444736.5
2024-11-30,5431268.3
2024-12-10,5278357.3
2024-12-20,5336827.4
2024-12-31,5315099.0
2025-01-10,5240333.7
2025-01-20,5189282.9
2025-01-31,5284411.5
2025-02-10,5194396.4
2025-02-20,5307094.7
2025-02-28,5312461.6
2025-03-10,5202673.5
2025-03-20,5152965.4
2025-03-31,5304326.4
2025-04-10,5282986.7
2025-04-20,5380405.9
2025-04-30,5431559.2
2025-05-10,5341639.6
2025-05-20,5315369.1
2025-05-31,5322552.1
2025-06-10,5209628.7
2025-06-20,5299017.6
2025-06-30,5291143.8
2025-07-10,5210167.2
2025-07-20,5216122.9
2025-07-31,5244375.4
2025-08-10,5186182.2
2025-08-20,5221812.0
2025-08-31,5236394.5
2025-09-10,5134775.0
2025-09-20,4985237.2
2025-09-30,5020768.4
2025-10-10,4908675.7
2025-10-20,4965692.3
2025-10-31,4976935.6
2025-11-10,4928248.0
2025-11-20,4887599.0
2025-11-30,4870260.7
2025-12-10,4686549.4
2025-12-20,4686037.0
2025-12-31,4709445.2
2026-01-10,4673694.6
2026-01-20,4640443.1
2026-01-31,4681228.9
2026-02-10,4540569.1
2026-02-20,4601829.2
2026-02-28,4611007.0
2026-03-10,4484235.1
2026-03-20,4431490.3
2026-03-31,4597432.8
2026-04-10,4561067.6
2026-04-20,4646692.3
2026-04-30,4694301.1
2026-05-10,4543122.6
2026-05-20,4502837.8
2026-05-31,4520985.0
2026-06-10,4364522.5
2026-06-20,4386933.4
2026-06-30,4403645.2
2026-07-10,4347112.7
2026-07-20,4316044.8
2026-07-31,4380122.0
2026-08-10,4190902.9
2026-08-20,4246898.6
2026-08-31,4243219.9
