date,gov_bonds_over_1y_payments
2024-04-30,14413.91
2024-05-31,16886.08
2024-06-30,71850.07
2024-07-31,16093.61
2024-08-31,15451.5
2024-09-30,65058.78
2024-10-31,15055.37
2024-11-30,18514.45
2024-12-31,57033.06
2025-01-31,27996.08
2025-02-28,22225.38
2025-03-31,71293.48
2025-04-30,14975.21
2025-05-31,15071.22
2025-06-30,55681.01
2025-07-31,11517.27
2025-08-31,24259.98
2025-09-30,49833.23
2025-10-31,10589.78
2025-11-30,16958.07
2025-12-31,58285.59
2026-01-31,16511.75
2026-02-28,16210.81
2026-03-31,72591.61
2026-04-30,12687.39
2026-05-31,15813.16
2026-06-30,48197.72
2026-07-31,16054.36
2026-08-31,11415.21
