date,ac_government_account
2024-10-10,80328.8
2024-10-20,22680.0
2024-10-31,32115.8
2024-11-10,67642.8
2024-11-20,41589.7
2024-11-30,48468.9
2024-12-10,91995.9
2024-12-20,41741.2
2024-12-31,63023.6
2025-01-10,80704.6
2025-01-20,33943.2
2025-01-31,31562.0
2025-02-10,113511.7
2025-02-20,34830.3
2025-02-28,24297.2
2025-03-10,93489.2
2025-03-20,114210.6
2025-03-31,39380.6
2025-04-10,21833.8
2025-04-20,30783.8
2025-04-30,25722.6
2025-05-10,54485.3
2025-05-20,36800.0
2025-05-31,66545.0
2025-06-10,110674.0
2025-06-20,18797.2
2025-06-30,21301.7
2025-07-10,59280.7
2025-07-20,33485.6
2025-07-31,90985.8
2025-08-10,36790.6
2025-08-20,46274.4
2025-08-31,31083.1
2025-09-10,79316.9
2025-09-20,19721.7
2025-09-30,24006.2
2025-10-10,27500.0
2025-10-20,33652.4
2025-10-31,26190.2
2025-11-10,55863.1
2025-11-20,22563.6
2025-11-30,40798.3
2025-12-10,30122.4
2025-12-20,19997.8
2025-12-31,51314.9
2026-01-10,51812.4
2026-01-20,31741.3
2026-01-31,26775.0
2026-02-10,96738.7
2026-02-20,43240.9
2026-02-28,44468.9
2026-03-10,81145.1
2026-03-20,64611.2
2026-03-31,21548.6
2026-04-10,35693.4
2026-04-20,62980.0
2026-04-30,21271.0
2026-05-10,143085.1
2026-05-20,31617.0
2026-05-31,51701.0
2026-06-10,98095.9
2026-06-20,25385.0
2026-06-30,27746.8
2026-07-10,60727.7
2026-07-20,36739.2
2026-07-31,73350.1
2026-08-10,197626.9
2026-08-20,103450.3
2026-08-31,92555.1
