date,corp_bonds
2025-10-07,-100.0
2025-10-10,-100.0
2025-10-14,-100.0
2025-10-15,-100.0
2025-10-21,-100.0
2025-10-24,-900.0
2025-10-27,-200.0
2025-10-29,-100.0
2025-10-31,-100.0
2025-11-20,-300.0
2025-11-21,-200.0
2025-11-25,-300.0
2025-11-27,-100.0
2025-11-28,-100.0
2025-12-01,-100.0
2025-12-02,-100.0
2025-12-03,-700.0
2025-12-04,-100.0
2025-12-05,-100.0
2025-12-08,-500.0
2025-12-09,-100.0
2025-12-10,-200.0
2025-12-12,-200.0
2025-12-18,-100.0
2025-12-19,-2100.0
2025-12-24,-500.0
2025-12-25,-100.0
2026-01-19,-100.0
2026-01-20,-300.0
2026-01-21,-100.0
2026-01-22,-200.0
2026-01-23,-300.0
2026-01-27,-200.0
2026-01-29,-200.0
2026-02-02,-300.0
2026-02-04,-200.0
2026-02-17,-100.0
2026-02-25,-200.0
2026-02-26,-100.0
2026-02-27,-800.0
2026-03-04,-100.0
2026-03-05,-100.0
2026-03-06,-700.0
2026-03-09,-100.0
2026-03-10,-100.0
2026-03-12,-100.0
2026-03-13,-600.0
2026-03-19,-100.0
2026-03-23,-100.0
2026-03-24,-100.0
2026-03-25,-100.0
2026-04-10,-100.0
2026-04-13,-300.0
2026-04-15,-300.0
2026-04-17,-200.0
2026-04-20,-100.0
2026-04-21,-300.0
2026-04-22,-300.0
2026-04-24,-300.0
2026-04-27,-200.0
2026-05-01,-300.0
2026-05-25,-400.0
2026-05-26,-200.0
2026-06-01,-100.0
2026-06-03,-500.0
2026-06-05,-300.0
2026-06-08,-300.0
2026-06-10,-100.0
2026-06-12,-100.0
2026-06-15,-200.0
2026-06-16,-200.0
2026-06-19,-400.0
2026-06-23,-100.0
2026-06-25,-300.0
2026-07-06,-100.0
2026-07-10,-500.0
2026-07-13,-200.0
2026-07-15,-100.0
2026-07-17,-100.0
2026-07-21,-100.0
2026-07-27,-100.0
2026-07-28,-300.0
2026-07-31,-200.0
2026-08-25,-100.0
2026-08-28,-100.0
2026-08-31,-600.0
2026-09-01,-200.0
2026-09-02,-100.0
2026-09-03,-100.0
2026-09-04,-400.0
2026-09-07,-100.0
