date,ac_total_assets
2024-10-10,7539358.2
2024-10-20,7547795.9
2024-10-31,7568635.8
2024-11-10,7563343.8
2024-11-20,7582315.3
2024-11-30,7599596.1
2024-12-10,7599571.2
2024-12-20,7463064.1
2024-12-31,7479920.7
2025-01-10,7433609.1
2025-01-20,7400224.1
2025-01-31,7443455.6
2025-02-10,7451876.0
2025-02-20,7466689.6
2025-02-28,7470520.7
2025-03-10,7452312.9
2025-03-20,7427618.9
2025-03-31,7292386.0
2025-04-10,7289542.8
2025-04-20,7297680.4
2025-04-30,7312029.4
2025-05-10,7304040.5
2025-05-20,7320173.3
2025-05-31,7336035.1
2025-06-10,7331735.7
2025-06-20,7161139.0
2025-06-30,7174942.7
2025-07-10,7160527.4
2025-07-20,7198795.4
2025-07-31,7214098.1
2025-08-10,7214879.5
2025-08-20,7222590.1
2025-08-31,7240302.8
2025-09-10,7234180.3
2025-09-20,7107017.6
2025-09-30,6952129.3
2025-10-10,6942001.1
2025-10-20,6951942.0
2025-10-31,6963487.8
2025-11-10,6957259.6
2025-11-20,6964303.6
2025-11-30,6979491.0
2025-12-10,6969121.0
2025-12-20,6942813.6
2025-12-31,6777763.0
2026-01-10,6769212.5
2026-01-20,6775788.4
2026-01-31,6828680.6
2026-02-10,6817744.0
2026-02-20,6832976.1
2026-02-28,6837705.4
2026-03-10,6818521.3
2026-03-20,6783370.1
2026-03-31,6621318.7
2026-04-10,6616511.5
2026-04-20,6623208.5
2026-04-30,6632533.4
2026-05-10,6619249.4
2026-05-20,6630792.1
2026-05-31,6643630.9
2026-06-10,6632349.1
2026-06-20,6550777.7
2026-06-30,6395509.1
2026-07-10,6386751.9
2026-07-20,6393695.5
2026-07-31,6442957.7
2026-08-10,6429714.8
2026-08-20,6443333.0
2026-08-31,6446620.2
