date,hy_10y
2022-01-05,0.096
2022-02-01,0.175
2022-03-01,0.179
2022-04-05,0.201
2022-05-10,0.245
2022-06-02,0.239
2022-07-05,0.248
2022-08-02,0.168
2022-09-01,0.235
2022-10-04,0.248
2022-11-01,0.248
2022-12-01,0.25
2023-01-05,0.5
2023-02-02,0.485
2023-03-02,0.5
2023-04-04,0.456
2023-05-09,0.426
2023-06-01,0.436
2023-07-04,0.428
2023-08-01,0.594
2023-09-05,0.657
2023-10-03,0.768
2023-11-02,0.91
2023-12-05,0.697
2024-01-10,0.596
2024-02-01,0.741
2024-03-05,0.718
2024-04-02,0.753
2024-05-08,0.857
2024-06-04,1.048
2024-07-02,1.091
2024-08-06,0.926
2024-09-03,0.915
2024-10-03,0.871
2024-11-07,0.997
2024-12-03,1.084
2025-01-07,1.14
2025-02-04,1.26
2025-03-04,1.404
2025-04-03,1.405
2025-05-08,1.274
2025-06-03,1.512
2025-07-01,1.442
2025-08-05,1.462
2025-09-02,1.612
2025-10-02,1.635
2025-11-05,1.658
2025-12-02,1.872
2026-01-06,2.095
2026-02-03,2.249
2026-03-03,2.122
2026-04-02,2.35
2026-05-12,2.54
2026-06-02,2.649
2026-07-02,2.729
