date,MASDM26
2016-07-31,476.0
2016-08-31,-1140.0
2016-09-30,-688.0
2016-10-31,-3316.0
2016-11-30,-3587.0
2016-12-31,-894.0
2017-01-31,10187.0
2017-02-28,2006.0
2017-03-31,390.0
2017-04-30,5677.0
2017-05-31,-51.0
2017-06-30,-1799.0
2017-07-31,-209.0
2017-08-31,107.0
2017-09-30,-298.0
2017-10-31,-2690.0
2017-11-30,-3676.0
2017-12-31,-1119.0
2018-01-31,3508.0
2018-02-28,2427.0
2018-03-31,-1982.0
2018-04-30,-2980.0
2018-05-31,1702.0
2018-06-30,3004.0
2018-07-31,-416.0
2018-08-31,4.0
2018-09-30,2964.0
2018-10-31,-3370.0
2018-11-30,-3514.0
2018-12-31,-5376.0
2019-01-31,2087.0
2019-02-28,4486.0
2019-03-31,4437.0
2019-04-30,899.0
2019-05-31,1327.0
2019-06-30,-1016.0
2019-07-31,62.0
2019-08-31,-2034.0
2019-09-30,-2299.0
2019-10-31,-6772.0
2019-11-30,-1755.0
2019-12-31,846.0
2020-01-31,5389.0
2020-02-29,5001.0
2020-03-31,-8583.0
2020-04-30,359.0
2020-05-31,3312.0
2020-06-30,-2395.0
2020-07-31,132.0
2020-08-31,-4200.0
2020-09-30,-3243.0
2020-10-31,-941.0
2020-11-30,-994.0
2020-12-31,-1067.0
2021-01-31,184.0
2021-02-28,-383.0
2021-03-31,-1744.0
2021-04-30,334.0
2021-05-31,-391.0
2021-06-30,-422.0
2021-07-31,-77.0
2021-08-31,129.0
2021-09-30,-278.0
2021-10-31,-851.0
2021-11-30,2059.0
2021-12-31,3496.0
2022-01-31,-110.0
2022-02-28,756.0
2022-03-31,-2075.0
2022-04-30,-1131.0
2022-05-31,-10.0
2022-06-30,-1745.0
2022-07-31,-365.0
2022-08-31,-232.0
2022-09-30,-30211.0
2022-10-31,-64902.0
2022-11-30,1838.0
2022-12-31,528.0
2023-01-31,454.0
2023-02-28,1415.0
2023-03-31,1599.0
2023-04-30,-455.0
2023-05-31,-966.0
2023-06-30,-1434.0
2023-07-31,423.0
2023-08-31,176.0
2023-09-30,763.0
2023-10-31,-572.0
2023-11-30,72.0
2023-12-31,690.0
2024-01-31,-810.0
2024-02-29,-584.0
2024-03-31,-414.0
2024-04-30,-874.0
2024-05-31,-98401.0
2024-06-30,-901.0
2024-07-31,-54666.0
2024-08-31,570.0
2024-09-30,568.0
2024-10-31,-732.0
2024-11-30,-376.0
2024-12-31,-544.0
2025-01-31,-163.0
2025-02-28,767.0
2025-03-31,92.0
2025-04-30,398.0
2025-05-31,277.0
2025-06-30,-3110.0
2025-07-31,-376.0
2025-08-31,41.0
2025-09-30,-270.0
2025-10-31,-1124.0
2025-11-30,-793.0
2025-12-31,-293.0
2026-01-31,463.0
2026-02-28,-177.0
2026-03-31,-1137.0
2026-04-30,64.0
2026-05-31,-117212.0
2026-06-30,-629.0
2026-07-31,-460.0
2026-08-31,-153179.0
