date,hy_5y
2022-01-12,-0.041
2022-02-15,0.04
2022-03-08,-0.007
2022-04-12,0.027
2022-05-18,0.017
2022-06-21,0.083
2022-07-12,0.039
2022-08-16,-0.007
2022-09-13,0.04
2022-10-14,0.081
2022-11-15,0.06
2022-12-08,0.121
2023-01-13,0.393
2023-02-16,0.216
2023-03-14,0.121
2023-04-11,0.157
2023-05-15,0.116
2023-06-22,0.068
2023-07-11,0.132
2023-08-15,0.189
2023-09-12,0.291
2023-10-11,0.33
2023-11-14,0.418
2023-12-12,0.325
2024-01-16,0.197
2024-02-09,0.31
2024-03-12,0.372
2024-04-09,0.404
2024-05-14,0.572
2024-06-20,0.512
2024-07-09,0.612
2024-08-14,0.452
2024-09-10,0.521
2024-10-10,0.562
2024-11-15,0.706
2024-12-10,0.734
2025-01-14,0.876
2025-02-14,0.982
2025-03-10,1.157
2025-04-10,0.938
2025-05-15,0.98
2025-06-19,0.982
2025-07-08,0.989
2025-08-13,1.056
2025-09-10,1.119
2025-10-09,1.233
2025-11-13,1.245
2025-12-09,1.435
2026-01-14,1.639
2026-02-17,1.64
2026-03-11,1.633
2026-04-09,1.826
2026-05-18,2.024
2026-06-23,1.905
2026-07-09,2.02
2026-08-18,2.168
2026-09-08,2.248
