date,taxes_balance
2024-04-30,52215.07
2024-05-31,77032.94
2024-06-30,100905.19
2024-07-31,34943.79
2024-08-31,44443.34
2024-09-30,58948.27
2024-10-31,55384.96
2024-11-30,61053.83
2024-12-31,97910.74
2025-01-31,76961.81
2025-02-28,50088.99
2025-03-31,60432.84
2025-04-30,57975.91
2025-05-31,73220.12
2025-06-30,108155.61
2025-07-31,53157.35
2025-08-31,63000.84
2025-09-30,68162.62
2025-10-31,53748.84
2025-11-30,65944.51
2025-12-31,107802.71
2026-01-31,77188.94
2026-02-28,50121.35
2026-03-31,69331.24
2026-04-30,62479.44
2026-05-31,79613.07
2026-06-30,131893.45
2026-07-31,61695.41
2026-08-31,71678.14
