Ministero dell'Economia e delle Finanze;;;;;;
Direzione Debito Pubblico;;;;;;
Scadenze suddivise per anno;;;;;;
(Aggiornato al 31/12/2022);;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro
 IT0005105835; BTP Italia 8;20/04/2015;20/04/2023; 0,500  Cedola reale; EUR;9.667.219.120,37
 IT0005253668; BTP Italia 6;22/05/2017;22/05/2023; 0,450  Cedola reale; EUR;8.743.674.232,92
 IT0005312134; BTP Italia 6;20/11/2017;20/11/2023; 0,250  Cedola reale;EUR;6.412.298.642,90
 IT0005329344   ; BTP€i 5;28/03/2018;15/05/2023; 0,100  Cedola reale; EUR;11.924.507.423,28
 IT0004243512; BTP€i 15;15/03/2007;15/09/2023; 2,600  Cedola reale; EUR;24.281.935.374,84
 IT0005185456; CCTeu;15/01/2016;15/07/2023;0,700; EUR;11.764.111.000,00
 IT0005399230   ; CCTeu;15/12/2019;15/12/2023;0,550; EUR;9.064.912.000,00
 XS1971572596   ; EMTN;29/03/2019;29/03/2023;0,885; JPY;200.100.000,00
 XF0000B49730   ; EUROBOND;06/09/2010;01/11/2023;4,100; EUR;125.000.000,00
 US465410AH18   ; GLOBAL;27/09/1993;27/09/2023;6,010; USD;3.207.099.295,61
 IT0005424251; BTP 3;15/07/2020;15/01/2024;0,000; EUR;14.406.707.000,00
IT0005454050;BTP Short  ;29/07/2021;30/01/2024;0,000; EUR;15.284.478.000,00
 IT0000366804; BTP 30;01/02/1994;01/02/2024;zero coupon; EUR;114.151.821,55
 IT0004953417   ; BTP 10;01/08/2013;01/03/2024;4,500; EUR;23.264.571.000,00
IT0005439275;BTP 3;15/03/2021;15/04/2024;0,000; EUR;18.290.818.000,00
 IT0005246340; BTP 7;15/03/2017;15/05/2024;1,850; EUR;14.555.458.000,00
IT0005499311;BTP Short  ;29/06/2022;30/05/2024;1,750;;16.677.735.000,00
 IT0005367492; BTP 5;01/04/2019;01/07/2024;1,750; EUR;16.394.620.000,00
IT0005452989;BTP 3;15/07/2021;15/08/2024;0,000; EUR;13.624.872.000,00
 IT0005001547   ; BTP 10;01/03/2014;01/09/2024;3,750; EUR;19.826.000.000,00
