Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Debito Pubblico;;;;;;;;;;;;
Scadenze  suddivise per anno;;;;;;;;;;;;
(Dati aggiornati al 31.12.2021);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
IT0005466609;BOT 12m;12/11/2021;14/11/2022;-; EUR;5,000,000,000.00;;;;;;
 IT0005351660  ; BTP Italia 4;26/11/2018;26/11/2022; 1,450  Cedola reale; EUR;2,175,467,025.48;;;;;;
IT0005440679; BTP Short  2;29/11/2020;29/11/2022;0; EUR;15,095,000,000.00;;;;;;
IT0005472953;BOT 12m;14/12/2021;14/12/2022;-; EUR;6,600,000,000.00;;;;;;
 IT0005137614  ; CCTeu;15/06/2015;15/12/2022;0,7; EUR;13,122,868,000.00;;;;;;
 IT0005384497   ; BTP 3;16/09/2019;15/01/2023;0,05; EUR;15,363,000,000.00;;;;;;
 IT0005325946  ; BTP 5;01/03/2018;01/03/2023;0,95; EUR;16,667,500,000.00;;;;;;
 IT0005172322  ; BTP 7;15/03/2016;15/03/2023;0,95; EUR;15,602,343,000.00;;;;;;
 XS1971572596   ; EMTN;29/03/2019;29/03/2023;0,885; JPY;200,100,000.00;;;;;;
 IT0005105835  ; BTP Italia 8;20/04/2015;20/04/2023; 0,500  Cedola reale; EUR;9,369,227,209.79;;;;;;
 IT0004898034   ; BTP 10;01/03/2013;01/05/2023;4,5; EUR;17,664,920,000.00;;;;;;
 IT0005329344   ; BTP€i 5;28/03/2018;15/05/2023; 0,100  Cedola reale; EUR;10,761,746,336.50;;;;;;
 IT0005253668  ; BTP Italia 6;22/05/2017;22/05/2023; 0,450  Cedola reale; EUR;8,511,694,189.68;;;;;;
 IT0005405318   ; BTP 3;16/03/2020;15/06/2023;0,6; EUR;14,278,046,000.00;;;;;;
 IT0005185456  ; CCTeu;15/01/2016;15/07/2023;0,7; EUR;12,697,796,000.00;;;;;;
 IT0004356843   ; BTP 15;01/02/2008;01/08/2023;4,75; EUR;22,427,662,000.00;;;;;;
 IT0005413684   ; BTP 3;15/06/2020;15/08/2023;0,3; EUR;16,493,113,000.00;;;;;;
 IT0004243512  ; BTP€i 15;15/03/2007;15/09/2023; 2,600  Cedola reale; EUR;21,914,317,828.26;;;;;;
 US465410AH18   ; GLOBAL;27/09/2023;27/09/2023;6,01; USD;3,085,862,813.75;;;;;;
 IT0005344335  ; BTP 5;01/08/2018;01/10/2023;2,45; EUR;15,503,845,000.00;;;;;;
 IT0005215246   ; BTP 7;15/09/2016;15/10/2023;0,65; EUR;16,469,000,000.00;;;;;;
 IT0000366655   ; BTP 30;01/11/1993;01/11/2023;9; EUR;11,976,155,008.68;;;;;;
 XF0000B49730   ; EUROBOND;06/09/2010;01/11/2023;4,1; EUR;125,000,000.00;;;;;;
 IT0005312134  ; BTP Italia 6;20/11/2017;20/11/2023; 0,250  Cedola reale; EUR;7,141,627,716.30;;;;;;
 IT0005399230   ; CCTeu;15/12/2019;15/12/2023;0,55; EUR;10,520,099,000.00;;;;;;
 IT0000366721  ; BTP 30;22/12/1993;22/12/2023;8,5; EUR;3,098,736,000.00;;;;;;
 IT0005424521; BTP 3;15/07/2020;15/01/2024;0; EUR;14,971,856,000.00;;;;;;
IT0005454050;BTP Short  3;29/07/2021;30/01/2024;0; EUR;15,284,478,000.00;;;;;;
 IT0000366804  ; BTP 30;01/02/1994;01/02/2024; - ; EUR;164,029,917.39;;;;;;
 IT0005218968  ; CCTeu;15/08/2016;15/02/2024;0,75; EUR;14,289,833,000.00;;;;;;
 IT0004953417   ; BTP 10;01/08/2013;01/03/2024;4,5; EUR;23,264,571,000.00;;;;;;
 IT0005174898  ; BTP Italia 8;11/04/2016;11/04/2024; 0,400  Cedola reale; EUR;8,069,586,995.52;;;;;;
IT0005439275; BTP 3;15/03/2021;15/04/2024;0; EUR;18,290,818,000.00;;;;;;
US465410CD85; GLOBAL;06/05/2021;06/05/2024;0,875; USD;1,657,412,779.00;;;;;;
 IT0005246340   ; BTP 7;15/03/2017;15/05/2024;1,85; EUR;14,755,458,000.00;;;;;;
 IT0005367492   ; BTP 5;01/04/2019;01/07/2024;1,75; EUR;16,394,620,000.00;;;;;;
 IT0003621460   ; Ispa Obbl;06/02/2004;31/07/2024;5,125; EUR;3,250,000,000.00;;;;;;
IT0005452989;BTP 3;15/07/2021;15/08/2024;0; EUR;13,824,872,000.00;;;;;;
 IT0005001547   ; BTP 10;01/03/2014;01/09/2024;3,75; EUR;19,826,000,000.00;;;;;;
 IT0005004426   ; BTP€i 10;15/03/2014;15/09/2024; 2,350  Cedola reale; EUR;14,467,897,490.89;;;;;;
 IT0005252520  ; CCTeu;15/04/2017;15/10/2024;1,1; EUR;15,968,411,000.00;;;;;;
 US465410BX58   ; GLOBAL;17/10/2019;17/10/2024;2,375; USD;2,278,724,640.00;;;;;;
 IT0005217762  ; BTP Italia 8;24/10/2016;24/10/2024; 0,350  Cedola reale; EUR;5,245,339,000.66;;;;;;
 IT0005282527   ; BTP 7;15/09/2017;15/11/2024;1,45; EUR;16,297,849,000.00;;;;;;
 IT0005045270   ; BTP 10;01/09/2014;01/12/2024;2,5; EUR;20,383,767,000.00;;;;;;
IT0005474330;BTP 3a;16/12/2021;15/12/2024;0; EUR;3,500,000,000.00;;;;;;
 XS0747189651   ; EMTN;13/02/2012;31/12/2024;3,444; EUR;6,093,823.00;;;;;;
 IT0005359846   ; CCTeu;15/01/2019;15/01/2025;1,85; EUR;10,538,065,000.00;;;;;;
 IT0005386245   ; BTP 5;01/10/2019;01/02/2025;0,35; EUR;19,468,306,000.00;;;;;;
 IT0004513641   ; BTP 15;01/03/2009;01/03/2025;5; EUR;24,718,669,000.00;;;;;;
 XF0000B49748   ; EUROBOND;06/09/2010;03/03/2025;4,2; EUR;125,000,000.00;;;;;;
 IT0005311508   ; CCTeu;15/10/2017;15/04/2025;0,95; EUR;18,756,725,000.00;;;;;;
 IT0005327306  ; BTP 7;15/03/2018;15/05/2025;1,45; EUR;15,419,125,000.00;;;;;;
 IT0005410904  ; BTP Italia 4;26/05/2020;26/05/2025; 1,400  Cedola reale; EUR;22,414,445,455.44;;;;;;
 IT0005090318   ; BTP 10;02/03/2015;01/06/2025;1,5; EUR;19,786,723,000.00;;;;;;
 IT0005408502   ; BTP 5;28/04/2020;01/07/2025;1,85; EUR;18,564,669,000.00;;;;;;
 IT0005331878  ; CCTeu;15/03/2018;15/09/2025;0,55; EUR;13,968,088,000.00;;;;;;
Prestito SURE ;3^ tranche;17/11/2020;04/11/2025;0; EUR;3,100,000,000.00;;;;;;
 XS0233944056   ; EMTN;09/11/2005;09/11/2025; Variabile; EUR;200,000,000.00;;;;;;
 IT0005345183   ; BTP 7;17/09/2018;15/11/2025;2,5; EUR;16,343,597,000.00;;;;;;
 IT0005127086   ; BTP 10;01/09/2015;01/12/2025;2; EUR;19,427,596,000.00;;;;;;
IT0005419848; BTP 5;01/08/2020;01/02/2026;0,5; EUR;18,551,000,000.00;;;;;;
US465410CA47; GLOBAL;24/11/2020;17/02/2026;1,25; USD;2,530,085,618.00;;;;;;
 IT0004644735   ; BTP 15;01/09/2010;01/03/2026;4,5; EUR;22,466,898,000.00;;;;;;
Prestito SURE ;7^ tranche;30/03/2021;04/03/2026;0; EUR;670,000,000.00;;;;;;
 ITSSD1603026   ; EUROBOND;16/03/2009;16/03/2026;5,26; EUR;258,000,000.00;;;;;;
IT0005437147; BTP 5a;01/03/2021;01/04/2026;0; EUR;19,796,003,000.00;;;;;;
 IT0005428617; CCTeu;15/10/2020;15/04/2026;0,5; EUR;11,444,930,000.00;;;;;;
 XS0253994809   ; EMTN;11/05/2006;11/05/2026; Variabile; EUR;215,000,000.00;;;;;;
 IT0005415416   ; BTP€i 5;29/06/2020;15/05/2026; 0,650  Cedola reale; EUR;7,053,708,000.00;;;;;;
 IT0005332827  ; BTP Italia 8;21/05/2018;21/05/2026; 0,550  Cedola reale; EUR;7,747,164,436.20;;;;;;
 IT0005170839   ; BTP 10;01/03/2016;01/06/2026;1,6; EUR;21,674,500,000.00;;;;;;
