Series ID,DGFACHM,DGFACH12,DGFACOHM,DGFACOH12,DGFACIHM,DGFACIH12,DGFACOPM,DGFACOP12,DGFACBNFM,DGFACBNF12,DGFACBM,DGFACB12,DGFACBNWM,DGFACBNW12,DGFACNFM,DGFACNF12,DGFACM,DGFAC12,DGFACNWM,DGFACNW12,DGFAM3M,DGFAM312,DGFABMM,DGFABM12
31/01/1977,1.8,,,,,,2.2,,,,-0.2,,,,,,0.8,,,,0.9,,1.1
28/02/1977,1.5,,,,,,1.9,,,,0.1,,,,,,0.7,,,,1.2,,1.4
31/03/1977,1.7,,,,,,1.7,,,,1.2,,,,,,1.5,,,,0.7,,0.3
30/04/1977,1.6,,,,,,1.6,,,,1.6,,,,,,1.5,,,,0.2,,0.2
31/05/1977,1.4,,,,,,1.3,,,,1.2,,,,,,1.3,,,,0.9,,0.3
30/06/1977,1.5,,,,,,1.8,,,,1.8,,,,,,1.8,,,,0.8,,1.1
31/07/1977,1.5,,,,,,1.9,,,,1.5,,,,,,1.5,,,,0.4,,0.9
31/08/1977,1.9,21.6,,,,,1.7,,,,1.4,,,,,,1.6,,,,0.5,10.9,1.0,13.2
30/09/1977,1.6,21.6,,,,,1.6,25.5,,,1.3,16.0,,,,,1.4,18.9,,,0.5,9.9,0.9,12.1
31/10/1977,1.2,21.0,,,,,1.6,24.6,,,0.8,15.1,,,,,1.0,18.1,,,0.7,9.7,1.1,11.8
30/11/1977,1.2,20.4,,,,,1.9,24.1,,,0.7,14.3,,,,,1.1,17.4,,,0.9,9.5,1.1,11.5
31/12/1977,1.3,19.6,,,,,1.9,23.3,,,1.3,13.4,,,,,1.4,16.6,,,0.5,8.6,0.9,10.7
31/01/1978,1.3,19.1,,,,,-0.2,20.3,,,1.5,15.3,,,,,1.2,17.1,,,0.6,8.2,0.9,10.5
28/02/1978,1.2,18.7,,,,,1.5,19.9,,,0.9,16.2,,,,,1.0,17.5,,,0.9,7.9,1.1,10.2
31/03/1978,1.1,18.1,,,,,1.6,19.8,,,1.1,16.1,,,,,1.3,17.2,,,1.3,8.6,1.0,11.0
30/04/1978,1.2,17.6,,,,,1.5,19.6,,,0.6,14.9,,,,,0.8,16.4,,,0.9,9.4,1.2,12.1
31/05/1978,1.2,17.4,,,,,1.4,19.8,,,1.6,15.4,,,,,1.4,16.6,,,1.1,9.7,0.7,12.5
30/06/1978,1.2,17.1,,,,,1.5,19.5,,,0.3,13.8,,,,,0.9,15.6,,,1.0,9.8,0.9,12.4
31/07/1978,1.2,16.7,,,,,1.2,18.7,,,0.2,12.3,,,,,0.6,14.5,,,1.1,10.6,1.3,12.9
31/08/1978,1.0,15.7,,,,,1.5,18.4,,,0.8,11.7,,,,,0.9,13.9,,,1.4,11.6,1.5,13.4
30/09/1978,1.2,15.2,,,,,1.5,18.3,,,1.3,11.7,,,,,1.3,13.7,,,1.1,12.1,1.2,13.7
31/10/1978,1.5,15.6,,,,,1.4,18.0,,,1.5,12.5,,,,,1.5,14.2,,,0.8,12.3,1.2,13.8
30/11/1978,1.4,15.8,,,,,1.4,17.5,,,1.1,12.9,,,,,1.2,14.4,,,0.8,12.2,1.1,13.8
31/12/1978,1.4,15.9,,,,,1.3,16.7,,,1.4,13.0,,,,,1.4,14.4,,,0.9,12.6,1.2,14.1
31/01/1979,1.4,16.0,,,,,1.3,18.5,,,0.6,12.0,,,,,1.0,14.1,,,1.3,13.4,1.1,14.3
28/02/1979,1.4,16.2,,,,,1.2,18.2,,,1.7,12.9,,,,,1.5,14.7,,,1.2,13.8,1.3,14.5
31/03/1979,1.0,16.1,,,,,1.1,17.6,,,1.4,13.2,,,,,1.3,14.7,,,1.1,13.5,1.2,14.6
30/04/1979,1.1,15.9,,,,,1.2,17.2,,,2.0,14.9,,,,,1.5,15.5,,,1.2,13.9,1.8,15.3
31/05/1979,1.3,16.1,,,,,1.0,16.7,,,0.9,14.0,,,,,1.0,15.0,,,0.9,13.6,1.0,15.7
30/06/1979,1.2,16.1,,,,,1.0,16.1,,,2.7,16.8,,,,,2.1,16.5,,,0.8,13.3,1.1,15.9
31/07/1979,1.2,16.1,,,,,1.1,16.0,,,1.1,17.8,,,,,1.0,17.0,,,0.7,12.8,1.0,15.5
31/08/1979,1.2,16.4,,,,,0.9,15.3,,,1.8,18.9,,,,,1.5,17.6,,,1.0,12.4,1.1,15.1
30/09/1979,1.3,16.4,,,,,0.8,14.5,,,2.0,19.8,,,,,1.6,18.0,,,0.9,12.2,0.7,14.6
31/10/1979,1.2,16.0,,,,,1.2,14.2,,,1.2,19.4,,,,,1.1,17.6,,,1.0,12.4,1.0,14.4
30/11/1979,1.2,15.8,,,,,0.5,13.2,,,2.2,20.7,,,,,1.7,18.1,,,1.2,12.9,1.2,14.6
31/12/1979,1.2,15.6,,,,,0.4,12.2,,,1.3,20.6,,,,,1.2,17.9,,,1.0,13.1,1.1,14.6
31/01/1980,1.1,15.4,,,,,1.6,12.6,,,1.0,21.1,,,,,1.1,18.0,,,2.2,14.0,1.7,15.2
29/02/1980,1.0,14.9,,,,,1.7,13.1,,,1.9,21.4,,,,,1.6,18.2,,,1.1,13.9,1.7,15.7
31/03/1980,0.9,14.8,,,,,1.0,13.0,,,1.5,21.6,,,,,1.3,18.2,,,0.5,13.3,1.1,15.6
30/04/1980,3.0,17.0,,,,,0.8,12.6,,,0.6,19.9,,,,,1.3,17.9,,,0.8,12.7,0.9,14.6
31/05/1980,1.3,17.0,,,,,1.1,12.7,,,1.7,20.8,,,,,1.4,18.5,,,0.9,12.8,0.9,14.4
30/06/1980,1.0,16.8,,,,,1.1,12.8,,,0.7,18.4,,,,,1.0,17.1,,,1.2,13.3,1.3,14.6
31/07/1980,1.3,16.9,,,,,1.1,12.8,,,2.0,19.6,,,,,1.6,17.8,,,1.3,14.1,1.3,14.9
31/08/1980,1.2,16.9,,,,,1.3,13.2,,,1.1,18.8,,,,,1.2,17.4,,,1.1,14.1,1.2,15.1
30/09/1980,1.1,16.7,,,,,1.3,13.7,,,1.0,17.5,,,,,1.0,16.7,,,1.0,14.3,1.3,15.7
31/10/1980,1.3,16.8,,,,,1.5,14.2,,,1.9,18.4,,,,,1.7,17.3,,,1.3,14.5,2.0,16.8
30/11/1980,1.4,17.0,,,,,1.8,15.6,,,1.3,17.3,,,,,1.3,17.0,,,1.2,14.5,1.6,17.3
31/12/1980,1.2,17.0,,,,,1.7,17.1,,,1.5,17.4,,,,,1.4,17.2,,,1.0,14.4,1.3,17.5
31/01/1981,1.2,17.1,,,,,1.2,16.7,,,1.9,18.4,,,,,1.6,17.8,,,0.8,12.9,0.9,16.6
28/02/1981,1.2,17.2,,,,,1.2,16.1,,,1.1,17.5,,,,,1.2,17.2,,,0.8,12.5,0.9,15.6
31/03/1981,1.1,17.5,,,,,1.3,16.5,,,1.6,17.6,,,,,1.5,17.4,,,0.9,13.0,1.0,15.5
30/04/1981,0.7,14.8,,,,,2.0,17.9,,,2.3,19.5,,,,,1.6,17.8,,,0.9,13.2,1.4,16.0
31/05/1981,0.8,14.2,,,,,2.0,18.8,,,2.4,20.3,,,,,1.8,18.2,,,1.1,13.4,1.2,16.4
30/06/1981,1.5,14.7,,,,,2.0,19.9,,,1.1,20.7,,,,,1.4,18.7,,,1.2,13.4,1.5,16.6
31/07/1981,1.3,14.8,,,,,2.0,20.9,,,1.9,20.6,,,,,1.7,18.8,,,0.7,12.7,1.4,16.7
31/08/1981,0.7,14.2,,,,,2.0,21.8,,,1.5,21.1,,,,,1.4,19.1,,,0.8,12.4,1.5,17.0
30/09/1981,0.7,13.8,,,,,1.7,22.3,,,1.5,21.7,,,,,1.3,19.3,,,0.8,12.2,1.2,17.0
31/10/1981,0.6,13.0,,,,,1.7,22.5,,,1.7,21.5,,,,,1.4,19.0,,,1.0,11.9,1.1,15.9
30/11/1981,0.5,12.1,,,,,1.5,22.2,,,1.5,21.8,,,,,1.2,18.8,,,0.8,11.5,1.0,15.2
31/12/1981,0.6,11.5,,,,,1.6,22.1,,,2.1,22.5,,,,,1.6,19.0,,,0.7,11.2,1.4,15.2
31/01/1982,0.6,10.8,,,,,1.6,22.5,,,2.5,23.3,,,,,1.9,19.3,,,1.0,11.4,1.3,15.7
28/02/1982,0.7,10.2,,,,,1.5,22.9,,,1.5,23.9,,,,,1.3,19.5,,,0.9,11.5,1.3,16.1
31/03/1982,0.5,9.6,,,,,1.0,22.6,,,1.7,24.0,,,,,1.4,19.4,,,0.8,11.4,0.9,16.1
30/04/1982,0.8,9.8,,,,,1.1,21.4,,,2.8,24.7,,,,,1.9,19.7,,,1.1,11.6,1.4,16.1
