A1 RESERVE BANK OF AUSTRALIA - BALANCE SHEET
Title,Notes on issue,Exchange settlement balances,Deposits of overseas institutions,Australian Government Deposits,State Governments Deposits,Other Deposits,Other liabilities,Other reserves and current year earnings,Capital and Reserve Bank Reserve Fund,Total liabilities and equity,Gold and foreign exchange,Australian dollar investments,Other assets (including clearing items),Total assets
Description,Notes on issue,Exchange settlement balances; see Notes for further details,Deposits of overseas institutions; see Notes for further details,Australian Government Deposits,State Governments Deposits,Other Deposits,Other liabilities,Other reserves and current year earnings; see Notes for further details,Capital and Reserve Bank Reserve Fund; see Notes for further details.,Total RBA liabilities and equity,Gold and foreign exchange; see Notes for further details,Australian dollar investments,Other assets; see Notes for further details,Total RBA assets
Frequency,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Units,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million,$ million


Source,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA
Publication date,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026,04-Sep-2026
Series ID,ARBALNOIW,ARBALESBW,ARBALDOOIW,ARBALDOGIAGW,ARBALDOGISW,ARBALDOOW,ARBALOLW,ARBALORCYEW,ARBALCRFW,ARBALTLEW,ARBAAGFXW,ARBAAASTW,ARBAAOAW,ARBAATAW
03-Jul-2013,56986,1208,734,18784,59,24,5300,8734,1954,93783,54698,37899,1186,93783
10-Jul-2013,57089,1058,1737,11576,530,16,6179,8027,1954,88166,51738,35106,1322,88166
17-Jul-2013,57098,1033,1159,8891,88,22,7680,8481,1954,86406,52569,32090,1747,86406
24-Jul-2013,57388,917,1652,21138,30,15,6310,8494,1954,97898,56373,39592,1933,97898
31-Jul-2013,57691,949,1238,23667,65,20,6415,9638,1954,101637,58437,41286,1914,101637
07-Aug-2013,57829,987,1447,18916,994,16,5068,10041,1954,97252,57603,37974,1675,97252
14-Aug-2013,58056,874,1689,19342,253,18,5428,9337,1954,96951,57298,37962,1691,96951
21-Aug-2013,58255,1214,1830,19845,94,18,6194,9917,1954,99321,55967,37135,6219,99321
28-Aug-2013,58278,974,741,22339,101,19,8966,10622,1954,103994,61664,40607,1723,103994
04-Sep-2013,58329,956,2282,20912,85,19,4296,9322,1954,98155,54736,41939,1480,98155
11-Sep-2013,58341,981,1047,17651,261,15,7153,8383,1954,95786,55712,38632,1442,95786
18-Sep-2013,58439,1064,783,16284,118,15,7193,8125,1954,93975,54898,37333,1744,93975
