date,cb_score,cb_label,fi_score,fi_label,reserves,reserves_level,net_liq_wow,govt_account,fiscal_7d,fiscal_z,stress_bps,stress_level,fwd_5,fwd_10,fwd_20
2010-01-06,-0.8,DRAIN,0.39,NEUTRAL,994051.0,CRITICAL,-2.7695,178343.0,24166.0,-0.3012,,NO DATA,0.8508,-0.6199,-2.4101
2010-01-13,0.0,NEUTRAL,0.67,INJECTION,1059208.0,CRITICAL,4.7822,136382.0,24456.0,0.4539,,NO DATA,-1.4706,-2.35,-2.5556
2010-01-20,-0.8,DRAIN,0.27,NEUTRAL,1078881.0,CRITICAL,-2.2004,143908.0,509.0,-0.6214,,NO DATA,-0.6461,-1.5812,-1.8357
2010-01-27,-0.4,NEUTRAL,0.2,NEUTRAL,1104555.0,CRITICAL,0.1874,135038.0,-10119.0,0.5275,,NO DATA,-0.9351,-0.654,-0.1549
2010-02-03,-0.4,NEUTRAL,1.06,INJECTION,1126672.0,CRITICAL,1.3243,109506.0,82086.0,1.4801,,NO DATA,0.2811,-0.2545,1.1606
2010-02-10,-0.4,NEUTRAL,0.43,NEUTRAL,1154075.0,CRITICAL,1.7295,79862.0,72240.0,-0.1849,,NO DATA,0.2741,0.2122,1.1049
2010-02-17,0.0,NEUTRAL,0.76,INJECTION,1200695.0,CRITICAL,2.4937,46480.0,66067.0,0.6832,,NO DATA,-0.5356,0.4991,1.2111
2010-02-24,-0.4,NEUTRAL,0.6,INJECTION,1227597.0,CRITICAL,0.9925,32891.0,68782.0,0.2684,,NO DATA,1.0347,1.4151,0.8421
2010-03-03,-0.4,NEUTRAL,0.97,INJECTION,1196337.0,CRITICAL,-0.5319,38894.0,91937.0,1.2505,,NO DATA,0.3804,0.712,0.7973
2010-03-10,-0.4,NEUTRAL,0.54,INJECTION,1175338.0,CRITICAL,0.2266,36142.0,68258.0,-0.2644,,NO DATA,0.3317,-0.573,0.3576
2010-03-17,-0.4,NEUTRAL,0.63,INJECTION,1124978.0,CRITICAL,0.4229,52167.0,6821.0,-0.1217,,NO DATA,-0.9046,0.0853,0.5863
2010-03-24,-0.4,NEUTRAL,0.98,INJECTION,1127725.0,CRITICAL,-0.4559,67603.0,48247.0,0.2993,,NO DATA,0.9899,0.9306,0.9241
2010-03-31,-0.4,NEUTRAL,1.21,INJECTION,1124679.0,CRITICAL,1.145,35896.0,67401.0,0.6441,,NO DATA,-0.0593,0.501,-0.2533
2010-04-07,-0.4,NEUTRAL,0.86,INJECTION,1111072.0,CRITICAL,0.7587,19091.0,93235.0,-0.8221,,NO DATA,0.5603,-0.0065,-2.7467
2010-04-14,-0.6,DRAIN,1.09,INJECTION,1093863.0,CRITICAL,1.7129,11666.0,26560.0,-0.3306,,NO DATA,-0.5668,-0.7543,-2.4681
2010-04-21,-0.8,DRAIN,0.36,NEUTRAL,1067938.0,CRITICAL,-1.5558,46088.0,-51191.0,-0.558,,NO DATA,-0.1875,-2.7402,-4.4512
2010-04-28,-0.4,NEUTRAL,0.61,INJECTION,1053074.0,CRITICAL,-0.7925,57162.0,-37224.0,0.6542,,NO DATA,-2.5527,-1.7138,-3.6567
2010-05-05,-0.4,NEUTRAL,0.65,INJECTION,1021581.0,CRITICAL,-1.0476,76667.0,69317.0,-0.5596,,NO DATA,0.839,-1.711,-1.9381
2010-05-12,0.0,NEUTRAL,0.98,INJECTION,1064462.0,CRITICAL,2.3252,34305.0,43237.0,0.4817,,NO DATA,-2.5499,-1.9429,-2.1503
2010-05-19,-0.4,NEUTRAL,0.93,INJECTION,1092540.0,CRITICAL,1.2136,21159.0,51305.0,0.512,,NO DATA,0.607,-0.2271,1.7167
2010-05-26,-0.6,DRAIN,0.76,INJECTION,1084219.0,CRITICAL,-0.9344,26077.0,39610.0,0.5129,,NO DATA,-0.8341,-0.2074,0.9418
2010-06-02,-0.4,NEUTRAL,0.54,INJECTION,1067106.0,CRITICAL,-0.2116,33135.0,57142.0,-0.2539,,NO DATA,-0.028,1.0039,0.6854
2010-06-09,-0.6,DRAIN,0.85,INJECTION,1060078.0,CRITICAL,-0.1888,32796.0,83048.0,0.0514,,NO DATA,1.0319,0.9039,1.8887
2010-06-16,-1.17,DRAIN,-0.13,NEUTRAL,1066441.0,CRITICAL,0.7128,29199.0,-29140.0,-0.4231,,NO DATA,-0.128,-0.3185,1.0431
2010-06-23,-0.6,DRAIN,0.11,NEUTRAL,1060334.0,CRITICAL,-0.7116,45852.0,-45546.0,0.3106,,NO DATA,-0.1905,0.9848,1.556
2010-06-30,-1.17,DRAIN,0.95,INJECTION,1043380.0,CRITICAL,-0.344,40112.0,38136.0,1.2022,,NO DATA,1.1753,1.3616,2.6686
2010-07-07,-0.6,DRAIN,0.52,INJECTION,1047031.0,CRITICAL,0.6677,25984.0,85984.0,0.0564,,NO DATA,0.6075,0.6989,2.2769
2010-07-14,-1.17,DRAIN,0.56,INJECTION,1058516.0,CRITICAL,0.7122,18262.0,27183.0,0.1108,,NO DATA,0.0913,0.6376,0.3282
2010-07-21,-1.0,DRAIN,0.86,INJECTION,1036195.0,CRITICAL,-1.7845,51307.0,25798.0,0.3274,,NO DATA,0.5462,1.578,0.4254
2010-07-28,-0.6,DRAIN,0.78,INJECTION,1045219.0,CRITICAL,0.1175,41603.0,34968.0,0.5106,,NO DATA,1.0318,-0.3094,-0.7997
2010-08-04,-1.17,DRAIN,0.3,NEUTRAL,1052386.0,CRITICAL,0.6747,27377.0,74366.0,-1.1208,,NO DATA,-1.3411,-1.1526,-1.5479
2010-08-11,-0.6,DRAIN,0.66,INJECTION,1045180.0,CRITICAL,-0.3322,36113.0,48240.0,-0.0547,,NO DATA,0.1885,-0.4904,0.2279
2010-08-18,-1.17,DRAIN,0.8,INJECTION,1041298.0,CRITICAL,-0.282,28343.0,54930.0,0.187,,NO DATA,-0.6789,-0.3953,0.8269
2010-08-25,-0.6,DRAIN,0.76,INJECTION,1049221.0,CRITICAL,-0.1369,18823.0,45548.0,0.2766,,NO DATA,0.2836,0.7183,2.9608
2010-09-01,-1.17,DRAIN,1.43,INJECTION,1034529.0,CRITICAL,-0.145,23113.0,67229.0,2.5316,,NO DATA,0.4347,1.2222,3.5146
2010-09-08,-1.17,DRAIN,1.1,INJECTION,1031310.0,CRITICAL,0.1693,23062.0,84310.0,0.7596,,NO DATA,0.8491,1.8089,3.7148
2010-09-15,-0.6,DRAIN,-0.38,NEUTRAL,1026976.0,CRITICAL,-0.3944,22341.0,-19101.0,-4.0413,,NO DATA,0.9598,1.7033,3.5379
2010-09-22,-1.0,DRAIN,0.37,NEUTRAL,975434.0,CRITICAL,-1.9331,77377.0,-42466.0,0.1371,,NO DATA,0.7435,1.9059,1.7731
2010-09-29,-1.17,DRAIN,0.35,NEUTRAL,995183.0,CRITICAL,0.5078,57576.0,13148.0,-0.6258,,NO DATA,1.1624,1.8346,1.3761
2010-10-06,-0.6,DRAIN,0.56,INJECTION,985331.0,CRITICAL,0.3951,58125.0,67029.0,-0.4598,,NO DATA,0.6722,-0.1328,1.1606
2010-10-13,-0.6,DRAIN,1.06,INJECTION,1022210.0,CRITICAL,1.651,22780.0,25446.0,0.6999,,NO DATA,-0.6845,-0.7981,-0.7197
2010-10-20,-0.6,DRAIN,0.87,INJECTION,983140.0,CRITICAL,-1.3913,49934.0,24605.0,0.2119,,NO DATA,-0.1136,1.2896,-0.6203
2010-10-27,-1.17,DRAIN,0.88,INJECTION,1003206.0,CRITICAL,0.0967,37919.0,35216.0,0.5021,,NO DATA,1.4033,0.0785,-2.1481
2010-11-03,-0.6,DRAIN,1.2,INJECTION,992204.0,CRITICAL,0.3812,34276.0,81483.0,1.0543,,NO DATA,-1.3248,-1.9099,-2.2597
2010-11-10,-0.6,DRAIN,0.82,INJECTION,993685.0,CRITICAL,1.1082,21585.0,54121.0,0.1646,,NO DATA,-0.5851,-2.2265,-0.7885
2010-11-17,-1.17,DRAIN,0.93,INJECTION,983736.0,CRITICAL,0.078,21787.0,55429.0,0.3653,,NO DATA,-1.279,-0.2532,-0.9957
2010-11-24,-1.17,DRAIN,0.97,INJECTION,1011124.0,CRITICAL,1.0312,29391.0,25708.0,0.6199,,NO DATA,1.0258,0.5813,0.6771
2010-12-01,-0.6,DRAIN,1.5,INJECTION,1003827.0,CRITICAL,-0.2188,35378.0,46474.0,2.6086,,NO DATA,-0.1397,-0.1233,1.4488
2010-12-08,0.0,NEUTRAL,0.78,INJECTION,1050689.0,CRITICAL,2.1449,21184.0,84196.0,0.1495,,NO DATA,0.0164,0.0996,0.3977
2010-12-15,-0.4,NEUTRAL,-0.51,DRAIN,1053748.0,CRITICAL,-0.2308,30093.0,-20394.0,-3.7649,,NO DATA,0.0831,1.5721,1.7186
2010-12-22,-1.0,DRAIN,0.17,NEUTRAL,1013048.0,CRITICAL,-0.8161,91479.0,-35959.0,-0.0751,,NO DATA,1.4889,0.2981,1.7387
