date,D30:ROSI.MAA1.P,D30:ROSI.MAA1.P1,D30:ROSN.MAB2.P1ZZC,D30:ROSN.MAB2.P1ZZD,D30:ROSN.MAB2.P1ZZE,D30:ROSN.MAB2.P1ZZB,D30:ROSN.MAB2.P1ZZP,D30:ROSN.MAB2.P1ZZP7,D30:ROSN.MAB2.P1ZZR,D30:ROSN.MAB2.P1ZZS,D30:ROSN.MAB2.P1ZZT,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P1ZZU,D30:ROSN.MAD2.P1ZZA2,D30:ROSN.MAD2.P1ZZW,D30:ROSI.MAA1.P2,D30:ROSN.MAB2.P2ZZC,D30:ROSN.MAB2.P2ZZD,D30:ROSN.MAB2.P2ZZE,D30:ROSN.MAB2.P2ZZB,D30:ROSN.MAB2.P2ZZP,D30:ROSN.MAB2.P2ZZP7,D30:ROSN.MAB2.P2ZZR,D30:ROSN.MAB2.P2ZZS,D30:ROSN.MAB2.P2ZZT,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P2ZZU,D30:ROSN.MAD2.P2ZZA2,D30:ROSN.MAD2.P2ZZW,D30:ROSI.MAA1.P4,D30:ROSN.MAB2.P4ZZC,D30:ROSN.MAB2.P4ZZD,D30:ROSN.MAB2.P4ZZE,D30:ROSN.MAB2.P4ZZB,D30:ROSN.MAB2.P4ZZP,D30:ROSN.MAB2.P4ZZP7,D30:ROSN.MAB2.P4ZZR,D30:ROSN.MAB2.P4ZZT,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P4ZZU,D30:ROSN.MAD1.P4,D30:ROSI.MAA1.P3,D30:ROSN.MAB2.P3ZZC,D30:ROSN.MAB2.P3ZZB,D30:ROSN.MAB2.P3ZZP,D30:ROSN.MAB2.P3ZZR,D30:ROSN.MAB2.P3ZZS,D30:ROSN.MAB2.P3ZZT,D30:ROSN.MAB2.P3ZZU,D30:ROSI.MAA1.P9,D30:ROSN.MAB2.P9ZZC,D30:ROSN.MAB2.P9ZZE,D30:ROSN.MAB2.P9ZZB,D30:ROSN.MAB2.P9ZZP,D30:ROSN.MAB2.P9ZZR,D30:ROSN.MAB2.P9ZZS,D30:ROSN.MAB2.P9ZZT,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAB2.P9ZZU,D30:ROSN.MAD1.P9,D30:ROSN.MAF1.P,D30:ROSN.MAF1.P1,D30:ROSN.MAF1.P2,D30:ROSN.MAF1.P4,D30:ROSN.MAF1.P3,D30:ROSN.MAF1.P9,D30:ROSN.MAB2.PZZW,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAG1.P,D30:ROSN.MAG1.P1,D30:ROSN.MAG1.P2,D30:ROSN.MAG1.P4,D30:ROSN.MAG1.P9
2019-01-31,87208,64081,24696,5956,11133,9,5014,,20,3,310,34029,0,257,2815,17500,1678,1000,105,1,9401,,1,2,36,6380,1,34,360,4450,3954,,3791,,122,,,1,373,0,13,177,1,1,,1,0,173,0,1000,894,680,1,0,,1,3,75,25,,80252,58126,16500,4450,177,1000,40857,34029,6380,373,75,50.9,58.5,38.7,8.4,7.5
2019-02-28,88057,64731,24415,6715,10315,9,5109,,20,3,316,34859,0,247,3592,17600,1727,1000,148,1,9493,,1,2,36,6339,1,44,354,4550,4001,,3657,,144,,,1,404,0,17,176,1,1,,1,0,173,0,1000,872,654,1,0,,1,3,98,25,,80342,58016,16600,4550,176,1000,41700,34859,6339,404,98,51.9,60.1,38.2,8.9,9.8
2019-03-31,79394,55744,17414,2150,8495,1,5292,,40,2,289,32706,0,150,1868,17700,1679,1000,95,1,9604,,1,2,39,6374,1,48,382,4750,4035,,3621,,144,,30,1,540,0,117,175,1,1,,1,0,172,0,1025,898,668,1,0,6,1,3,91,25,,76244,53594,16700,4750,175,1025,39710,32706,6374,540,91,52.1,61,38.2,11.4,8.8
2019-04-30,79729,55614,18153,2150,9136,1,5389,,43,2,290,31736,0,614,2504,17800,1841,1000,217,1,9770,,1,2,40,6145,1,56,213,4595,3986,,3579,,155,,30,1,423,0,5,170,1,1,,1,0,168,0,1550,1333,997,1,0,6,2,3,180,25,15,76579,53464,16800,4595,170,1550,38483,31736,6145,423,180,50.3,59.4,36.6,9.2,11.6
2019-05-31,79330,55614,18027,2150,8882,1,5450,,10,2,307,31817,0,675,2564,17900,2042,1000,381,1,9820,,1,2,41,5992,1,34,217,4145,3648,,3261,,65,,20,1,411,0,,171,1,1,,,0,169,0,1500,1297,940,1,0,,2,3,172,25,15,76180,53464,16900,4145,171,1500,38391,31817,5992,411,172,50.4,59.5,35.5,9.9,11.5
2019-06-30,78822,55584,18798,2150,9621,1,5479,,20,2,296,30987,0,748,1492,18000,2018,1000,352,1,10062,,1,2,38,5876,1,0,314,3470,3088,,2722,,65,,20,1,296,0,,168,1,1,,,0,166,0,1600,1397,1017,1,0,,2,3,172,25,15,75672,53434,17000,3470,168,1600,37331,30987,5876,296,172,49.3,58,34.6,8.5,10.8
2019-07-31,79597,56384,18512,2150,9292,1,5493,,20,2,307,32049,0,698,2995,18050,1731,1000,49,1,10102,,1,2,39,6174,1,14,493,3220,2880,,2563,,50,,15,1,274,0,,168,1,1,,,0,167,0,1775,1594,1219,1,0,20,2,3,130,25,,76447,54234,17050,3220,168,1775,38627,32049,6174,274,130,50.5,59.1,36.2,8.5,7.3
2019-08-31,80099,57034,19136,2150,9749,1,5356,,30,2,319,32190,0,604,2387,18100,1777,1000,100,1,10115,,1,2,45,6159,1,18,272,2920,2551,,2354,,50,,50,,270,0,,170,1,1,,,0,167,0,1875,1660,1283,1,20,20,2,7,141,25,,76949,54884,17100,2920,170,1875,38759,32190,6159,270,141,50.4,58.7,36,9.2,7.5
2019-09-30,82800,59434,19901,2300,10219,1,5986,,30,2,314,33199,0,865,1954,18150,1800,1000,151,1,10147,,1,2,51,6147,1,10,553,2570,2382,,2206,,,,50,,139,0,,171,2,1,,,0,168,0,2475,2292,1761,4,20,,2,7,126,25,,79500,57134,17150,2570,171,2475,39611,33199,6147,139,126,49.8,58.1,35.8,5.4,5.1
2019-10-31,83664,60334,20517,2300,10760,1,5896,,30,2,321,33567,0,832,2680,18200,1829,1000,160,1,10156,,1,2,52,6158,1,0,576,2485,2248,,2088,,,,30,,208,0,,170,2,1,,,0,167,0,2475,2277,1724,4,20,,2,7,140,25,,80364,58034,17200,2485,170,2475,40073,33567,6158,208,140,49.9,57.8,35.8,8.4,5.7
