month_end,first_issued,prefix,coupon,maturity,type,total_outstanding,rbnz,eqc,sresl,market
2026-08-31,7/2014,0427,0.045,2027-04-15,Nominal,16330,350,0,0,15980
2026-08-31,10/2020,0528,0.0025,2028-05-15,Nominal,15420,350,0,0,15070
2026-08-31,3/2018,0429,0.03,2029-04-20,Nominal,20611,350,0,0,20261
2026-08-31,3/2023,0530,0.045,2030-05-15,Nominal,19950,350,0,0,19600
2026-08-31,9/2019,0531,0.015,2031-05-15,Nominal,20509,350,0,0,20159
2026-08-31,6/2021,0532,0.02,2032-05-15,Nominal,15700,350,0,0,15350
2026-08-31,10/2015,0433,0.035,2033-04-14,Nominal,17484,350,0,0,17134
2026-08-31,11/2022,0534,0.0425,2034-05-15,Nominal,12250,350,0,0,11900
2026-08-31,4/2024,0535,0.045,2035-05-15,Nominal,16000,350,0,0,15650
2026-08-31,08/2024,0536,0.0425,2036-05-15,Nominal,16800,350,0,0,16450
2026-08-31,8/2016,0437,0.0275,2037-04-15,Nominal,8637,350,0,0,8287
2026-08-31,7/2026,0538,0.0475,2038-05-15,Nominal,7350,350,0,0,7000
2026-08-31,7/2020,0541,0.0175,2041-05-15,Nominal,7269,350,0,0,6919
2026-08-31,9/2021,0551,0.0275,2051-05-15,Nominal,7650,350,0,0,7300
2026-08-31,2/2024,554,0.05,2054-05-15,Nominal,5450,350,0,0,5100
2026-08-31,10/2013,0930,0.03,2030-09-20,Inflation-Indexed,4550,350,0,0,4200
2026-08-31,11/2014,0935,0.025,2035-09-20,Inflation-Indexed,7303,350,0,0,6953
2026-08-31,3/2017,0440,0.025,2040-09-20,Inflation-Indexed,5190,350,0,0,4840
2026-08-31,9/2025,0950,0.0325,2050-09-20,Inflation-Indexed,2450,350,0,0,2100
