date_held,maturity,allocated,spread_to_ocr
2026-04-02,2026-04-09,1671,0.1
2026-04-02,2026-04-30,1050,0.1
2026-04-09,2026-04-16,3590,0.1
2026-04-09,2026-05-07,400,0.1
2026-04-16,2026-04-23,2510,0.1
2026-04-16,2026-05-14,200,0.1
2026-04-23,2026-04-30,2694,0.1
2026-04-23,2026-05-21,200,0.1
2026-04-30,2026-05-07,2785,0.1
2026-04-30,2026-05-28,570,0.1
2026-05-07,2026-05-14,7722,0.1
2026-05-07,2026-06-04,1300,0.1
2026-05-14,2026-05-21,4315,0.1
2026-05-14,2026-06-11,295,0.1
2026-05-21,2026-05-28,3955,0.1
2026-05-21,2026-06-18,220,0.1
2026-05-28,2026-06-04,3925,0.1
2026-05-28,2026-06-25,600,0.1
2026-06-04,2026-06-11,3555,0.1
2026-06-04,2026-07-02,170,0.1
2026-06-11,2026-06-18,2483,0.1
2026-06-11,2026-07-09,0,0.1
2026-06-18,2026-06-25,2602,0.1
2026-06-18,2026-07-16,1630,0.1
2026-06-25,2026-07-02,3920,0.1
2026-06-25,2026-07-23,1240,0.1
2026-07-02,2026-07-09,2630,0.1
2026-07-02,2026-07-30,180,0.1
2026-07-09,2026-07-16,2555,0.1
2026-07-09,2026-08-06,300,0.1
2026-07-16,2026-07-23,3225,0.1
2026-07-16,2026-08-13,1380,0.1
2026-07-23,2026-07-30,4785,0.1
2026-07-23,2026-08-20,1900,0.1
2026-07-30,2026-08-06,3935,0.1
2026-07-30,2026-08-27,0,0.1
2026-08-06,2026-08-13,2306,0.1
2026-08-06,2026-09-03,0,0.1
2026-08-13,2026-08-20,2570,0.1
2026-08-13,2026-09-10,640,0.1
2026-08-20,2026-08-27,3875,0.1
2026-08-20,2026-09-17,850,0.1
2026-08-27,2026-09-03,7760,0.1
2026-08-27,2026-09-24,1800,0.1
2026-09-03,2026-09-10,5023,0.1
2026-09-03,2026-10-01,45,0.1
