date_held,maturity,allocated,wavg
2025-09-22,2025-10-01,3800,3.04
2025-10-31,2025-11-03,2000,2.55
2025-11-03,2025-11-04,1000,2.56
2025-11-04,2025-11-11,1000,2.6
2025-11-05,2025-11-12,1000,2.59
2025-11-12,2025-11-19,1000,2.61
2025-11-19,2025-11-27,2000,2.57
2025-11-25,2025-11-27,3000,2.59
2025-11-27,2025-12-04,3000,2.34
2025-11-28,2025-12-01,2000,2.34
2025-12-04,2025-12-11,1250,2.34
2025-12-04,2026-01-05,2750,2.33
2025-12-11,2025-12-18,182,2.35
2025-12-11,2026-01-08,1818,2.37
2025-12-18,2026-01-05,1000,2.36
2026-01-08,2026-01-15,500,2.35
2026-01-15,2026-01-22,3000,2.33
2026-01-20,2026-02-02,3000,2.33
2026-01-22,2026-01-29,1000,2.35
2026-01-28,2026-02-02,1200,2.32
2026-01-29,2026-02-05,1500,2.35
2026-01-30,2026-02-05,1000,2.36
2026-02-02,2026-02-05,2000,2.38
2026-02-05,2026-02-12,4000,2.33
2026-02-12,2026-02-19,4000,2.36
2026-02-19,2026-02-26,4000,2.36
2026-02-20,2026-02-26,4000,2.33
2026-02-26,2026-03-05,6400,2.32
2026-03-05,2026-03-12,6290,2.3
2026-03-12,2026-03-19,6000,2.28
2026-03-13,2026-03-20,850,2.28
2026-03-13,2026-03-20,150,2.37
2026-03-19,2026-03-26,5000,2.27
2026-03-20,2026-03-27,2400,2.27
2026-03-26,2026-04-02,4800,2.27
2026-03-26,2026-04-02,200,2.33
2026-03-27,2026-04-01,3850,2.27
