tender_date,maturity,coupon,tender_no,offered,bids_n,success_n,bid,accepted,coverage,over_under,low_acc,high_acc,wavg,low_unacc,high_unacc,wavg_unacc
2025-01-23,2041-05-15,0.0175,933,100,42,8,393,100,3.93,0,5.03,5.0475,5.0367,5.0475,5.13,5.0738
2025-01-16,2029-04-20,0.03,932,250,44,24,697,250,2.788,0,3.9925,4.0275,4.0132,4.0275,4.12,4.0552
2025-01-16,2033-04-14,0.035,932,175,44,18,576,175,3.2914,0,4.585,4.6,4.5932,4.6,4.67,4.6244
2025-01-16,2041-05-15,0.0175,932,75,38,5,394,75,5.2533,0,5.1375,5.14,5.1398,5.14,5.2025,5.1659
2024-12-12,2028-05-15,0.0025,931,250,36,6,903,250,3.612,0,3.8075,3.8175,3.812,3.8175,3.915,3.8458
2024-12-12,2035-05-15,0.045,931,225,33,21,475,225,2.1111,0,4.475,4.5175,4.4937,4.5175,4.5775,4.535
2024-12-12,2037-04-15,0.0275,931,25,15,2,93,25,3.72,0,4.6425,4.6525,4.6445,4.6575,4.7175,4.6844
2024-12-05,2029-04-20,0.03,930,200,40,12,710,200,3.55,0,3.8825,3.9,3.8929,3.9025,4.015,3.9322
2024-12-05,2034-05-15,0.0425,930,250,37,27,478,250,1.912,0,4.34,4.3875,4.3587,4.3875,4.4625,4.4037
2024-12-05,2037-04-15,0.0275,930,50,22,10,141,50,2.82,0,4.595,4.625,4.6118,4.625,4.6975,4.6493
2024-11-28,2029-04-20,0.03,929,250,41,12,832,250,3.328,0,3.9425,3.95,3.947,3.95,4.025,3.9734
2024-11-28,2033-04-14,0.035,929,175,41,4,673,175,3.8457,0,4.3625,4.3675,4.365,4.3675,4.4625,4.3914
2024-11-28,2041-05-15,0.0175,929,75,36,15,271,75,3.6133,0,4.845,4.8575,4.8505,4.8575,4.9125,4.8791
2024-11-21,2029-04-20,0.03,928,200,40,5,835,200,4.175,0,4.1575,4.1675,4.1592,4.1675,4.25,4.1907
2024-11-21,2032-05-15,0.02,928,225,31,25,385,225,1.7111,0,4.5175,4.5675,4.5419,4.5675,4.62,4.583
2024-11-21,2041-05-15,0.0175,928,75,29,10,226,75,3.0133,0,5.065,5.08,5.0702,5.08,5.13,5.1026
2024-11-14,2029-04-20,0.03,927,200,39,13,614,200,3.07,0,4.235,4.2525,4.244,4.25252,4.3475,4.278
