date,D9:BTO.WAF,D9:BTO.WAF.N2004,D9:BTO.WAF.N2105,D9:BTO.WAF.N2304,D9:BTO.WAF.N2405,D9:BTO.WAF.N2504,D9:BTO.WAF.N2605,D9:BTO.WAF.N2704,D9:BTO.WAF.N2805,D9:BTO.WAF.N2904,D9:BTO.WAF.N3005,D9:BTO.WAF.N3105,D9:BTO.WAF.N3205,D9:BTO.WAF.N3304,D9:BTO.WAF.N3405,D9:BTO.WAF.N3505,D9:BTO.WAF.N3605,D9:BTO.WAF.N3704,D9:BTO.WAF.N3805,D9:BTO.WAF.N4105,D9:BTO.WAF.N5105,D9:BTO.WAF.N5405,D9:BTO.WAF.I2509,D9:BTO.WAF.I3009,D9:BTO.WAF.I3509,D9:BTO.WAF.I4009,D9:BTO.WAF.I5009
2025-01-03,21274,,,,,423,2512,691,4073,2000,773,1339,2163,1664,1786,988,647,706,,154,623,320,61,36,312,4,
2025-01-10,43168,,,,,767,5940,2427,6071,2270,1842,2823,2395,3567,2891,1915,2983,2349,,1703,1452,1155,102,116,328,70,
2025-01-17,41831,,,,,603,1838,4334,9426,2162,2293,1695,2643,3673,1359,2543,3185,1509,,1098,1873,1201,90,131,148,25,
2025-01-24,42645,,,,,419,3381,3445,6405,5162,2104,3135,2154,3251,1928,2910,2335,1205,,1533,1305,1152,395,175,221,30,
2025-01-31,39575,,,,,195,1115,3609,4305,3661,3094,4265,1754,2313,2910,3078,4444,1748,,981,1263,487,159,126,53,16,
2025-02-07,36633,,,,,159,2926,1898,3704,2486,2131,4226,1998,2002,2712,3495,3072,1669,,1659,1242,308,470,180,259,36,
2025-02-14,49602,,,,,603,3888,4231,5173,3862,6614,3761,2958,3277,3910,3116,3880,1302,,1520,899,180,98,200,75,56,
2025-02-21,80344,,,,,695,5541,5172,7213,3174,5850,6725,3926,5052,5932,21524,3415,1632,,1979,1202,287,520,130,311,64,
2025-02-28,49180,,,,,480,3737,5007,6096,1761,4174,5323,3865,2800,3418,5021,2212,1734,,1773,1037,263,122,158,102,99,
2025-03-07,50247,,,,,1166,4223,3340,6921,2030,3733,4721,3930,3323,3010,5158,3037,1912,,1528,839,655,372,104,173,71,
2025-03-14,44791,,,,,635,2784,3883,6791,1809,4407,3588,1500,2411,2509,3731,4098,1694,,3536,243,356,463,120,74,159,
2025-03-21,47265,,,,,869,4202,3439,9399,1867,5111,3958,1280,4391,2652,3051,1897,1113,,2355,350,408,358,85,208,272,
2025-03-28,49192,,,,,798,3262,2599,9471,3294,4847,2993,2408,3770,1653,4546,2499,1860,,2993,710,314,743,13,156,263,
2025-04-04,41943,,,,,1746,3272,2585,7272,1610,3895,2007,2772,2605,2029,4256,2313,2151,,1518,412,686,538,18,73,184,
2025-04-11,73563,,,,,1495,3973,4732,10678,2048,6873,5564,14298,5501,3774,5280,2755,1744,,1249,814,1122,784,71,330,480,
2025-04-18,42814,,,,,47,3475,2619,8580,1889,3595,2883,3130,2946,3058,3558,2038,1003,,1241,1088,876,190,61,93,444,
2025-04-25,35976,,,,,,1497,2249,7182,2356,3372,2628,3270,3548,1665,2278,2273,1577,,951,233,443,184,9,116,145,
2025-05-02,53984,,,,,,3686,2198,8987,3442,6286,5463,5245,4218,2797,3253,2361,2453,,1589,291,1130,61,54,143,327,
2025-05-09,46809,,,,,,1637,2295,11198,1373,6162,4597,2980,3350,1982,4205,2073,871,,1563,921,1083,53,94,73,298,
2025-05-16,42064,,,,,,3351,2342,6524,1423,3709,5225,4736,3488,2677,3023,1755,1304,,615,864,735,68,23,16,186,
2025-05-23,45825,,,,,,5326,2934,5277,1148,3514,6295,4758,3261,1620,3546,3426,1792,,660,862,1075,125,35,28,142,
2025-05-30,55520,,,,,,7270,2952,7619,3628,3909,4081,6678,3813,2369,2517,3620,2649,,1084,854,1248,868,94,29,239,
