date,C50:MCA.MDB.BM,C50:MCA.MDB.M1,C50:MCA.MDB.C1,C50:MCA.MDB.C31,C50:MCA.MDB.S,C50:MCA.MDB.C32,C50:MCA.MDB.C33,C50:MCA.MDC.DC,C50:MCA.MDC.G,C50:MCA.MDC.G1,C50:MCA.MDC.G2,C50:MCA.MDC.PSC,C50:MCA.MDC.PSC1,C50:MCA.MDC.PSC2,C50:MCA.MDC.PSC9,C50:MCA.MDC.T,C50:MCA.MDC.T1,C50:MCA.MDC.T2,C50:MCA.MDC.V,C50:MCA.MDC.W,C50:MCA.MDC.W1,C50:MCA.MDC.W2
2019-01-31,307559,68630,5997,62633,238929,77716,161214,456075,2443,26298,23855,453632,441085,6389,6158,-80001,71127,151129,-45502,-23013,10983,33996
2019-02-28,309109,69243,5976,63267,239865,77738,162128,457934,1987,27087,25101,455947,443256,6303,6388,-79999,73437,153437,-45588,-23238,9861,33099
2019-03-31,312159,71001,6104,64897,241158,78161,162998,464100,5136,20376,15240,458965,445699,6504,6762,-84209,71377,155586,-44558,-23173,11048,34221
2019-04-30,313888,72407,6028,66379,241481,79119,162362,467709,7424,21662,14237,460284,447103,6606,6576,-85129,72698,157826,-45208,-23484,10174,33658
2019-05-31,312948,71541,6040,65501,241408,77708,163699,466780,3406,20792,17385,463373,449476,6286,7611,-84700,78952,163652,-45725,-23407,9907,33313
2019-06-30,316000,73399,6169,67230,242602,77679,164922,470962,5594,21593,15999,465368,452040,6289,7039,-86549,73718,160268,-45808,-22604,10126,32730
2019-07-31,318934,74510,6088,68422,244424,78701,165722,478562,10000,22964,12964,468562,454339,6662,7561,-90367,74469,164836,-46346,-22916,10216,33132
2019-08-31,317126,72722,6174,66548,244404,77750,166654,480498,7689,23229,15540,472809,456217,6682,9910,-92633,84328,176961,-46528,-24211,10707,34918
2019-09-30,320212,75370,6150,69219,244842,78961,165881,482296,8164,23627,15463,474132,457884,6784,9464,-89622,80683,170305,-46588,-25875,10556,36430
2019-10-31,321673,76187,6291,69896,245486,80046,165440,485062,9659,24632,14973,475403,460954,6508,7941,-91834,71098,162932,-46854,-24701,11411,36113
2019-11-30,324328,78758,6464,72295,245569,80962,164607,488510,11882,26357,14476,476628,462957,6080,7591,-92145,70842,162987,-47240,-24798,11441,36239
2019-12-31,326071,80331,6539,73792,245740,81360,164380,489098,11955,25441,13485,477142,464313,5879,6950,-90853,71549,162402,-47501,-24673,11143,35816
2020-01-31,322987,78690,6475,72215,244297,81140,163157,486277,6160,25588,19428,480117,466689,5630,7798,-88967,77499,166465,-48158,-26165,11427,37592
2020-02-29,326490,80489,6530,73959,246000,81663,164337,493500,9449,28787,19338,484051,468785,5919,9348,-91912,86607,178519,-48832,-26267,11937,38203
2020-03-31,337987,91128,6697,84430,246860,86859,160000,507618,18929,34579,15650,488689,471201,6718,10769,-90270,99158,189428,-48365,-30996,11611,42607
2020-04-30,344965,96079,6924,89156,248886,91161,157725,513641,27583,42460,14877,486058,469180,6821,10057,-88497,90355,178852,-48500,-31680,13178,44858
2020-05-31,343608,95289,7243,88046,248319,90914,157405,514590,28260,51280,23021,486331,469849,6603,9879,-90834,82635,173468,-48829,-31319,12116,43436
2020-06-30,346397,96911,7157,89755,249486,92455,157030,515431,30536,60693,30157,484895,469193,6419,9282,-90213,80532,170745,-48906,-29914,12884,42798
2020-07-31,350385,98755,7188,91567,251630,94643,156987,519486,33310,66272,32962,486177,469015,7381,9781,-88981,79627,168608,-49299,-30821,13074,43895
2020-08-31,354806,103539,7253,96285,251268,96885,154383,525302,37109,74971,37862,488193,471476,7176,9541,-90113,75058,165171,-49870,-30513,17879,48392
2020-09-30,355780,104261,7354,96907,251520,99556,151963,527077,40603,83106,42503,486474,469864,7380,9230,-94335,65773,160108,-50212,-26750,11706,38456
2020-10-31,359598,106399,7467,98932,253199,103657,149542,533658,43887,86955,43068,489771,472056,7614,10101,-95685,63669,159354,-50643,-27732,16538,44270
2020-11-30,360384,109879,7407,102472,250506,104906,145600,535994,42809,88586,45778,493186,475480,7730,9976,-96927,67379,164306,-50902,-27780,13790,41570
2020-12-31,365780,114923,7516,107407,250857,107358,143499,544482,48677,90785,42108,495805,478815,7536,9454,-100000,67951,167951,-51446,-27256,11252,38508
2021-01-31,359421,111311,7542,103769,248110,107917,140193,536579,39123,89952,50830,497457,481845,6494,9118,-97897,63672,161568,-52043,-27219,12362,39581
2021-02-28,361166,114690,7514,107176,246476,109303,137173,539227,40673,93592,52919,498554,484163,6403,7987,-97690,64943,162633,-52433,-27938,12820,40758
2021-03-31,365809,119403,7602,111802,246406,112063,134343,542795,41207,96784,55577,501588,487507,6661,7421,-97606,63576,161181,-53555,-25825,11793,37618
2021-04-30,368720,122071,7573,114497,246650,113735,132915,547264,43526,99721,56195,503738,490301,6513,6924,-97837,61980,159818,-53981,-26726,12989,39714
2021-05-31,364349,121024,7588,113436,243325,113066,130259,547479,39671,92312,52641,507808,494936,6325,6547,-101750,63318,165068,-54396,-26984,12759,39743
2021-06-30,366418,122452,7601,114852,243966,114283,129683,550997,39916,93673,53758,511081,498463,6233,6385,-104554,63727,168281,-53931,-26094,11969,38063
2021-07-31,373053,127301,7642,119659,245752,115070,130682,555141,40753,93195,52442,514388,501304,7036,6048,-103752,60664,164416,-52116,-26220,12409,38629
2021-08-31,369963,125516,7704,117812,244446,115076,129370,552484,37818,92428,54609,514665,501982,7234,5450,-104917,54908,159826,-52297,-25307,11310,36617
2021-09-30,374561,130375,7937,122438,244185,115340,128845,555898,38806,93613,54808,517092,504403,7140,5548,-101560,57197,158757,-53019,-26759,12711,39470
2021-10-31,378237,134096,8084,126012,244140,115598,128542,560354,40617,92418,51800,519736,508167,7390,4180,-99944,58762,158707,-53676,-28497,12369,40866
2021-11-30,382985,137277,8177,129100,245708,116677,129031,567833,43144,92155,49012,524690,512063,7323,5304,-102969,57618,160587,-54432,-27448,11992,39440
