date,settlement,bond_maturity,face_value,total_to_date
2024-02-29,2024-03-04,2024-05-15,100000000,570000000
2024-03-18,2024-03-20,2024-05-15,159000000,729000000
2024-03-19,2024-03-21,2024-05-15,150000000,879000000
2024-04-18,2024-04-19,2024-05-15,400000000,1279000000
2024-07-25,2024-07-29,2025-04-15,80000000,80000000
2024-08-07,2024-08-09,2025-04-15,400000000,480000000
2024-08-13,2024-08-15,2025-04-15,40000000,520000000
2024-08-19,2024-08-21,2025-04-15,50000000,570000000
2024-08-22,2024-08-26,2025-04-15,131000000,701000000
2024-10-10,2024-10-14,2025-04-15,220000000,921000000
2024-10-24,2024-10-29,2025-04-15,130000000,1051000000
2024-11-04,2024-11-06,2025-04-15,150000000,1201000000
2024-11-08,2024-11-12,2025-04-15,30000000,1231000000
2024-11-29,2024-12-03,2025-04-15,200000000,1431000000
2025-01-08,2025-01-10,2025-04-15,15000000,1446000000
2025-01-16,2025-01-21,2025-04-15,19000000,1465000000
2025-01-17,2025-01-22,2025-04-15,40000000,1505000000
2025-09-05,2025-09-09,2025-09-20,75000000,75000000
2025-09-09,2025-09-11,2025-09-20,60000000,135000000
2025-12-10,2025-12-12,2026-05-15,50000000,50000000
2025-12-12,2025-12-16,2026-05-15,250000000,300000000
2025-12-17,2025-12-19,2026-05-15,100000000,400000000
2026-01-14,2026-01-16,2026-05-15,50000000,450000000
2026-01-19,2026-01-21,2026-05-15,24000000,474000000
2026-02-19,2026-02-23,2026-05-15,50000000,524000000
2026-02-24,2026-02-26,2026-05-15,57000000,581000000
