date,C5:CRDS.MALP1,C5:BSPA.MAM1A4.P1,C5:CRD.MNA311,C5:CRDS.MALP2,C5:BSPA.MAN1A4.P2,C5:CRD.MNA321,C5:CRDS.MALP0,C5:BSPA.MALA4.P0,C5:CRD.MNA301,C5:CRDS.MALP3,C5:BSPA.MALA4.P3,C5:CRD.MNA201,C5:CRDS.MALP4,C5:CRDS.MALP1.ay,C5:CRDS.MALP2.ay,C5:CRDS.MALP0.ay,C5:CRDS.MALP3.ay,C5:CRDS.MALP4.ay
2019-01-31,259827,257152,2675,16995,11315,5680,276821,268466,8355,113550,108828,4722,62882,6.1,2.5,5.9,5.7,3.6
2019-02-28,261056,258389,2667,17024,11322,5702,278080,269711,8369,114402,109661,4742,62840,6.2,2.4,6,5.5,3.6
2019-03-31,262622,259887,2736,16897,11193,5704,279519,271080,8439,115468,110687,4781,62796,6.2,2.3,6,6.3,3.3
2019-04-30,263809,261058,2752,16934,11213,5720,280743,272271,8472,115901,111158,4743,62933,6.2,2.2,5.9,6.1,3.6
2019-05-31,265635,262832,2803,16827,11102,5725,282462,273934,8528,115735,111000,4735,63459,6.3,2.2,6,4.7,4
2019-06-30,267095,264245,2850,16837,11124,5714,283932,275369,8563,116752,111996,4756,63616,6.3,1.6,6,5.2,3.1
2019-07-31,268353,265486,2867,16680,10961,5719,285033,276447,8587,117517,112806,4711,63866,6.3,0.7,6,7.6,2.8
2019-08-31,270094,267197,2897,16712,10982,5729,286806,278179,8627,117701,112979,4722,63767,6.4,0.7,6.1,6.5,2.5
2019-09-30,271505,268570,2935,16701,11012,5688,288206,279583,8623,118229,113356,4873,63674,6.6,0.6,6.2,6,2.4
2019-10-31,273066,270094,2972,16651,10961,5690,289717,281056,8661,119910,115099,4811,63442,6.7,0.1,6.3,6,1.9
2019-11-30,274954,271921,3032,16802,11075,5728,291756,282996,8760,120448,115592,4856,63531,6.8,0.1,6.4,6,1.4
2019-12-31,276666,273557,3109,16945,11137,5808,293611,284695,8916,120347,115363,4984,63088,7,-0.3,6.5,6.1,0.7
2020-01-31,278397,275222,3175,16829,11010,5819,295226,286232,8994,121035,116126,4909,63111,7.1,-0.6,6.7,6.2,0.3
2020-02-29,279898,276706,3193,16846,11030,5816,296744,287736,9008,121511,116573,4939,62779,7.2,-0.7,6.8,5.8,-0.2
2020-03-31,281366,278069,3298,16243,10505,5739,297609,288573,9036,123048,117969,5078,62897,7.1,-3.5,6.5,6.1,0.1
2020-04-30,280776,277479,3297,14895,9411,5484,295670,286890,8781,123210,118151,5059,62802,6.4,-11.7,5.4,5.9,-0.3
2020-05-31,282482,279159,3324,14963,9555,5408,297445,288713,8732,121866,116884,4982,62828,6.3,-10.8,5.4,4.9,-1.1
2020-06-30,283709,280357,3352,15138,9764,5374,298847,290121,8726,119932,115059,4873,62894,6.2,-9.8,5.3,2.3,-1.2
2020-07-31,285615,282251,3364,14938,9641,5298,300553,291891,8662,117944,113167,4777,63095,6.4,-10.1,5.5,0,-1.3
2020-08-31,287757,284377,3381,14751,9446,5305,302508,293822,8686,117448,112607,4841,63097,6.5,-11.4,5.5,-0.6,-1.2
2020-09-30,290083,286693,3390,14908,8497,6411,304991,295190,9801,116838,110011,6827,62862,6.8,-11.5,5.8,-1.4,-1.7
2020-10-31,292989,289557,3432,14949,8548,6402,307938,298105,9833,116221,109473,6748,62735,7.3,-11,6.3,-3.3,-1.5
2020-11-30,296119,292645,3475,15155,8701,6454,311274,301346,9928,116089,109336,6753,62710,7.7,-10.6,6.7,-3.5,-1.4
2020-12-31,299515,295957,3558,15145,8622,6523,314660,304579,10081,115987,109296,6692,62525,8.3,-11.4,7.2,-3.5,-1.2
2021-01-31,302425,298830,3595,14949,8444,6506,317374,307274,10100,116223,109481,6742,62591,8.6,-12,7.5,-3.8,-1.1
2021-02-28,305110,301450,3660,14882,8370,6512,319992,309819,10173,116192,109461,6731,62329,9,-12.5,7.8,-4.2,-1
2021-03-31,308854,305039,3815,14665,8179,6485,323518,313218,10300,116339,109588,6751,62267,9.8,-10.3,8.7,-5.3,-1.3
