month_end_serial,first_issued,prefix,coupon,maturity_serial,type,total,rbnz_issued,eqc,sresl,market
Month end,Date First Issued,Loan Prefix,Coupon,Maturity Date,Type,Total Amt Outstanding (Incl RB + EQC + SRESL) (NZ$m),RBNZ (NZ$m) (includes bonds on repo to the market),EQC  (NZ$m),SRESL(NZ$m),Market Bonds (NZ$m)
36556,8/1993,0200,6.5000000000000002E-2,36571,Nominal,2825.3,450,294,0,2081.3000000000002
36556,8/1995,0201,0.08,36937,Nominal,3666,500,516,0,2650
36556,4/1990,XL08,4.5499999999999999E-2,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36556,5/1984,0008,4.5499999999999999E-2,37149,Nominal,10.9,0,5,0,5.9
36556,3/1991,TE48,0.1,37330,Nominal,2954.8,150,292.8,0,2512
36556,10/1998,0403,5.5E-2,37726,Nominal,2144,150,246,0,1748
36556,8/1992,TE52,0.08,38092,Nominal,3660.5,150,466.5,0,3044
36556,8/1994,1106,0.08,39036,Nominal,3615.8,450,388.8,0,2777
36556,7/1997,0709,7.0000000000000007E-2,40009,Nominal,3752,350,400,0,3002
36556,4/1999,1111,0.06,40862,Nominal,850,0,0,0,850
36556,11/1995,0216,4.4999999999999998E-2,42415,Inflation-Indexed,1446,0,275,0,1171
-,-,-,-,-,-,-,-,-,-,-
36585,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36585,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36585,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36585,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36585,10/1998,0403,5.50%,37726,Nominal,2499,350,276,0,1873
36585,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36585,8/1994,1106,8.00%,39036,Nominal,3630.8,450,403.8,0,2777
36585,7/1997,0709,7.00%,40009,Nominal,3767,350,415,0,3002
36585,4/1999,1111,6.00%,40862,Nominal,1440,400,65,0,975
36585,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
