date,V36852,V41552773,V36811,V36875,V36691,V36717
2018-05-01,2824133,1832747,4526,1980,364,503466
2018-06-01,2658977,1852568,4741,1974,717,506903
2018-07-01,2756250,1857200,4706,2189,446,509810
2018-08-01,2928697,1865526,4921,2078,330,512091
2018-09-01,3006458,1881439,4902,2077,702,515384
2018-10-01,2940073,1888194,4591,2040,417,516955
2018-11-01,2751076,1904028,4419,2245,292,518423
2018-12-01,2698829,1936103,4853,1490,492,519644
2019-01-01,2920760,1925835,4627,1367,472,515882
2019-02-01,3111254,1929073,4355,997,321,514523
2019-03-01,2848115,1941451,4650,1000,504,515601
2019-04-01,2816374,1959842,4791,1034,332,517341
2019-05-01,2795188,1960881,4600,1005,358,521438
2019-06-01,3206534,1973405,4162,922,921,524786
2019-07-01,3286000,1982976,4025,1064,755,526971
2019-08-01,3022165,1994897,4273,936,746,529200
2019-09-01,3122297,2012196,4549,1127,785,531304
2019-10-01,3224726,2029278,4143,1769,825,531711
2019-11-01,3170567,2043361,4597,1802,870,532327
2019-12-01,3381613,2068885,4109,2200,902,534664
2020-01-01,3350325,2062897,3770,2848,967,530582
2020-02-01,3158232,2073380,3715,2588,529,528550
2020-03-01,3293701,2120736,4272,2469,9774,530135
2020-04-01,3515772,2212114,4284,2154,140225,519081
2020-05-01,3577348,2256681,3817,1590,190705,511051
2020-06-01,3731380,2296134,3956,1533,238602,511321
2020-07-01,3769173,2312341,4389,1622,240292,512527
2020-08-01,3973020,2338204,4109,2608,282268,514039
2020-09-01,3874003,2356953,3859,4282,311954,516936
2020-10-01,3462504,2382961,3886,1708,293985,518959
2020-11-01,4214313,2401110,5024,1626,315201,521770
2020-12-01,4219367,2412843,5727,1826,330637,517957
2021-01-01,3897279,2413916,5743,1702,351448,513219
2021-02-01,4053503,2430567,5357,2089,369264,514171
2021-03-01,4244786,2421918,5074,1983,337762,516469
2021-04-01,4336141,2422900,3654,1776,261292,519671
2021-05-01,4365164,2456165,2604,2054,258846,522854
2021-06-01,3775044,2463250,2617,1826,255034,527203
2021-07-01,3784001,2487686,2510,1551,255986,528636
2021-08-01,3696591,2503633,2900,1864,249310,532094
2021-09-01,3826112,2513851,2848,2133,271790,535756
2021-10-01,4343628,2512794,3056,1963,270206,537394
2021-11-01,3608051,2538598,3148,2111,263288,544289
2021-12-01,4014330,2549405,2799,2048,250827,543750
2022-01-01,3884068,2544470,3203,1951,242812,540994
2022-02-01,4179140,2561110,3254,1352,240526,545820
2022-03-01,4544304,2558403,3010,1894,223382,550133
2022-04-01,3598484,2574312,4273,1768,212330,556953
2022-05-01,4303645,2593170,3386,1578,175890,565095
2022-06-01,3886211,2620899,3379,2532,182488,570802
2022-07-01,4291408,2631288,2982,1355,177623,572203
2022-08-01,3547375,2641197,3262,1663,184867,577327
2022-09-01,3383803,2665288,3180,2257,193112,580531
2022-10-01,3833734,2674912,3376,2215,177424,582078
2022-11-01,4130724,2701739,3714,2460,193707,585128
2022-12-01,4205812,2717389,3455,1714,187543,584107
2023-01-01,4672634,2731448,3169,1819,182255,578761
2023-02-01,3568601,2743078,3649,2130,191542,581017
2023-03-01,4127137,2736956,2645,1934,201003,581245
2023-04-01,3990948,2741966,4398,2058,176611,585838
2023-05-01,4076181,2743683,3801,1836,163233,592395
2023-06-01,4704916,2751056,3223,1528,164002,595478
2023-07-01,4722793,2771117,3544,1408,160438,597428
2023-08-01,3668319,2786722,3738,1669,140183,599187
2023-09-01,3679624,2801652,3406,1659,141583,600775
2023-10-01,3339375,2818384,3903,1421,141701,600730
2023-11-01,4495241,2851614,3739,1524,136136,604684
2023-12-01,5049706,2852137,3207,1629,113692,605550
2024-01-01,4449190,2848665,3346,1011,102356,601599
2024-02-01,3510450,2878729,3621,963,124488,604007
2024-03-01,3780369,2888939,3496,1132,121715,605334
2024-04-01,3336970,2886097,6330,1432,114385,610473
2024-05-01,4155530,2915966,4087,1234,107770,612529
2024-06-01,4095699,2941388,3668,1319,110074,616984
2024-07-01,3412587,2946806,4181,1157,98547,618607
2024-08-01,4932859,2951718,3303,1077,114181,620725
2024-09-01,4691203,2962965,3253,1307,116350,624110
2024-10-01,3325100,2992893,3489,1061,127748,625130
2024-11-01,3481032,3000856,4180,1007,115746,627600
2024-12-01,3334191,3010680,4030,1241,119210,630863
2025-01-01,3211092,3033729,4433,966,124106,624586
2025-02-01,3280452,3044703,4438,1051,97894,626032
2025-03-01,3590225,3030352,4699,2223,98725,630346
2025-04-01,5160798,3033917,5740,2352,87930,635839
2025-05-01,5199848,3055405,3763,1558,77811,640253
2025-06-01,5043199,3070129,3908,2067,74611,649257
2025-07-01,3576527,3074870,3767,2015,75395,652592
2025-08-01,3998907,3088155,3946,1639,60217,658053
2025-09-01,3380733,3094884,3781,1664,80843,665411
2025-10-01,3532303,3113939,4140,1641,74679,666825
2025-11-01,4128767,3130680,4712,2185,69319,673111
2025-12-01,5219898,3127011,3209,1923,67964,679982
2026-01-01,5402678,3121919,3459,1693,61258,676668
2026-02-01,5158766,3139416,3335,1588,60034,680548
2026-03-01,3463548,3127690,4638,2072,70264,684499
2026-04-01,5275104,3147592,6086,1455,65929,691863
2026-05-01,3965745,3176864,3298,2141,66129,698905
2026-06-01,3501706,3198996,4271,2167,67553,709586
