bond_id,AUC_BOND_S_AUCTION_DATE,AUC_BOND_S_SETTLEMENT_DATE,AUC_BOND_S_ISIN,AUC_BOND_S_MATURITY_DATE,AUC_BOND_S_COUPON_RATE,AUC_BOND_S_CUTOFF_SPREAD,AUC_BOND_S_CONVERSION_RATIO,AUC_BOND_S_AMOUNT_REPURCHASED,AUC_BOND_S_BID_DEADLINE
HIST_BOND_S_1130,2020-03-30,2020-04-01,CA135087WL43,2029-06-01,5.750,-4.8,0.0000,76.419,11:00
HIST_BOND_S_1129,2020-03-30,2020-04-01,CA135087XG49,2033-06-01,5.750,16.6,0.0000,70.000,11:00
