date,V36610,V36636,V36628,V1203435186,V36613,V36612,V1038114416,V44201362,V36634,V36625
2005-01-05,45336,254,920,,29562,13413,,,26,43480
2005-01-12,43821,50,1139,,29562,13454,,,0,41936
2005-01-19,43628,50,1518,,29706,13083,,,0,41331
2005-01-26,43687,50,1622,,29705,13113,,,0,41258
2005-02-02,43448,51,1154,,29705,12837,,,1,41447
2005-02-09,43714,51,1451,,29918,12850,,,1,41379
2005-02-16,43266,66,1133,,29918,12378,,,16,41206
2005-02-23,43709,166,1382,,30221,12380,,,116,41268
2005-03-02,43600,63,1108,,30156,12621,,,13,41498
2005-03-09,43624,50,1030,,30155,12634,,,0,41393
2005-03-16,43825,11,1065,,30155,12732,,,74,41191
2005-03-23,44094,85,806,,30404,12759,,,35,41760
2005-03-30,44114,100,1406,,30403,12787,,,0,41627
2005-04-06,44124,51,1667,,30403,12759,,,0,41507
2005-04-13,43842,50,1446,,30403,12438,,,0,41390
2005-04-20,43935,50,1578,,30403,12500,,,0,41405
2005-04-27,44133,50,1401,,30403,12661,,,0,41739
2005-05-04,44154,52,1115,,30402,12648,,,3,42099
2005-05-11,44680,50,1581,,30617,12923,,,0,42119
2005-05-18,44738,50,1450,,30617,12946,,,0,42354
2005-05-25,45585,50,1706,,30922,13466,,,0,42912
2005-06-01,44806,175,913,,30222,13919,,,46,42817
2005-06-08,45132,50,1349,,30221,14256,,,0,42803
2005-06-15,45012,61,1445,,30560,13771,,,11,42633
2005-06-22,45204,50,1433,,30560,13929,,,0,42813
2005-06-29,45755,100,875,,30560,14450,,,0,43839
2005-07-06,45554,62,1055,,30559,14196,,,12,43546
2005-07-13,45732,50,1125,,30704,14209,,,0,43317
2005-07-20,45962,50,1863,,30704,14400,,,0,43175
2005-07-27,46018,50,1438,,30704,14432,,,0,43632
2005-08-03,46235,52,1187,,30703,14630,,,1,44115
2005-08-10,46305,50,1750,,30703,14668,,,0,43597
2005-08-17,46511,50,2275,,30920,14627,,,0,43324
2005-08-24,47065,50,2922,,30919,15150,,,0,43198
2005-08-31,47635,200,2723,,31226,15378,,,0,43784
2005-09-07,45833,54,713,,29512,15485,,,3,44206
2005-09-14,45535,50,1120,,29511,15163,,,0,43466
2005-09-21,45386,50,1289,,29848,14653,,,0,43196
2005-09-28,45666,50,1323,,29848,14897,,,0,43400
2005-10-05,45662,50,967,,29848,14858,,,0,43764
2005-10-12,46075,50,1070,,29847,14838,,,0,44036
2005-10-19,45756,50,1401,,29847,14892,,,0,43437
2005-10-26,45923,97,1500,,29847,14981,,,48,43351
2005-11-02,45850,50,451,,29846,14926,,,0,43600
2005-11-09,46192,50,1142,,30052,14914,,,0,43993
2005-11-16,46242,50,1595,,30052,14929,,,0,43602
2005-11-23,46692,50,1530,,30334,15077,,,0,43410
2005-11-30,46988,54,1593,,30333,15336,,,5,43788
2005-12-07,46108,50,958,,29788,15600,,,0,44113
2005-12-14,46882,50,1573,,29788,15637,,,0,44242
2005-12-21,48678,66,1394,,30027,16439,,,16,45294
2005-12-28,48381,50,1447,,30027,16479,,,0,46257
2006-01-04,48328,97,1584,,30026,16336,,,47,45323
2006-01-11,46483,50,1354,,30026,15392,,,0,43857
2006-01-18,45584,50,1627,,30176,14719,,,0,43255
2006-01-25,45658,57,1167,,30175,14755,,,7,43170
2006-02-01,45402,50,1123,,30175,14480,,,0,43510
2006-02-08,46019,22,832,,30371,14517,,,350,43479
2006-02-15,45548,50,683,,30371,14364,,,0,43196
2006-02-22,45791,50,909,,30650,14310,,,0,43157
2006-03-01,45478,55,1175,,30587,14208,,,5,43364
2006-03-08,45529,50,308,,30587,14231,,,0,43299
2006-03-15,45530,12,871,,30586,14093,,,112,43146
2006-03-22,45487,18,1560,,30586,14112,,,18,43037
2006-03-29,45562,29,1342,,30586,14143,,,30,43276
2006-04-05,45412,26,893,,30585,13971,,,26,43640
2006-04-12,46242,17,934,,30585,14277,,,16,44407
2006-04-19,45890,17,1005,,30585,14397,,,17,44021
2006-04-26,46662,29,1776,,30806,14901,,,28,43977
2006-05-03,46697,10,1600,,30805,14925,,,10,44258
2006-05-10,47866,39,1749,,30805,15534,,,539,44218
2006-05-17,47371,15,2139,,30805,15532,,,15,44391
2006-05-24,47789,8,2105,,31111,15616,,,8,44819
2006-05-31,48199,23,2483,,31111,15981,,,23,44717
2006-06-07,47079,11,1498,,30410,16175,,,11,44689
2006-06-14,47165,26,1618,,30410,16213,,,26,44608
2006-06-21,47193,30,1563,,30750,15865,,,30,44720
