date,repo_absorb_daily
2022-09-22,15950.0
2022-09-23,52854.0
2022-09-26,24575.0
2022-09-27,16996.0
2022-09-28,13059.0
2022-09-29,19039.0
2022-09-30,12575.0
2022-10-03,10900.0
2022-10-04,10730.0
2022-10-05,8860.0
2022-10-06,11711.0
2022-10-07,12740.0
2022-10-10,12250.0
2022-10-11,12780.0
2022-10-12,9975.0
2022-10-13,13390.0
2022-10-14,11760.0
2022-10-17,10550.0
2022-10-18,13210.0
2022-10-19,11120.0
2022-10-20,15330.0
2022-10-21,9590.0
2022-10-24,16319.0
2022-10-25,16370.0
2022-10-26,10900.0
2022-10-27,15405.0
2022-10-28,8520.0
2022-10-31,10975.0
2022-11-01,10770.0
2022-11-02,11785.0
2022-11-03,16410.0
2022-11-04,11700.0
2022-11-07,10905.0
2022-11-08,11470.0
2022-11-09,12935.0
2022-11-10,14745.0
2022-11-11,14000.0
2022-11-14,11335.0
2022-11-15,11500.0
2022-11-16,13090.0
2022-11-17,13980.0
2022-11-18,12200.0
2022-11-21,12040.0
2022-11-22,11150.0
2022-11-23,13905.0
2022-11-24,13860.0
2022-11-25,11305.0
2022-11-28,12706.0
2022-11-29,11560.0
2022-11-30,12726.0
2022-12-01,13411.0
2022-12-02,12880.0
2022-12-05,12650.0
2022-12-06,12470.0
2022-12-07,13581.0
2022-12-08,13161.0
2022-12-09,10440.0
2022-12-12,8500.0
2022-12-13,9500.0
2022-12-14,14600.0
2022-12-15,15310.0
2022-12-16,14225.0
2022-12-19,12875.0
2022-12-20,9340.0
2022-12-21,8010.0
2022-12-22,19530.0
2022-12-23,21550.0
2022-12-27,11350.0
2022-12-28,14690.0
2022-12-29,18025.0
2022-12-30,11820.0
2023-01-03,15470.0
2023-01-04,12400.0
2023-01-05,8680.0
2023-01-06,14850.0
2023-01-09,13800.0
2023-01-10,15000.0
2023-01-11,14590.0
2023-01-12,13230.0
2023-01-13,11130.0
2023-01-16,13335.0
2023-01-17,16091.0
2023-01-18,15015.0
2023-01-19,12750.0
2023-01-20,12840.0
2023-01-23,14485.0
2023-01-24,16200.0
2023-01-25,11105.0
2023-01-26,12080.0
2023-01-27,9150.0
2023-01-30,12355.0
2023-01-31,19390.0
2023-02-01,11840.0
2023-02-02,13250.0
2023-02-03,10650.0
2023-02-06,13059.0
2023-02-07,10850.0
2023-02-08,11060.0
2023-02-09,11040.0
2023-02-10,14661.0
2023-02-13,12825.0
2023-02-14,16439.0
2023-02-15,13320.0
2023-02-16,10920.0
2023-02-17,11015.0
2023-02-20,9210.0
2023-02-21,15600.0
2023-02-22,12800.0
2023-02-23,10326.0
2023-02-24,12675.0
2023-02-27,13140.0
2023-02-28,15750.0
2023-03-01,13605.0
2023-03-02,12550.0
2023-03-03,12875.0
2023-03-06,12845.0
2023-03-07,14195.0
2023-03-08,14820.0
2023-03-09,10675.0
2023-03-10,12176.0
2023-03-13,13650.0
2023-03-14,15519.0
2023-03-15,15655.0
2023-03-16,20030.0
2023-03-17,23316.0
2023-03-20,19607.0
2023-03-21,21849.0
2023-03-22,25386.0
2023-03-23,24037.0
2023-03-24,13618.0
2023-03-27,8795.0
2023-03-28,13870.0
2023-03-29,16995.0
2023-03-30,17325.0
2023-03-31,12550.0
2023-04-03,12595.0
2023-04-04,22895.0
2023-04-05,21396.0
2023-04-06,23857.0
2023-04-11,29218.0
2023-04-12,23075.0
2023-04-13,15284.0
2023-04-14,14200.0
2023-04-17,21273.0
2023-04-18,28132.0
2023-04-19,25213.0
2023-04-20,23450.0
2023-04-21,24782.0
2023-04-24,19735.0
2023-04-25,23095.0
2023-04-26,13980.0
2023-04-27,23500.0
2023-04-28,18101.0
2023-05-02,24775.0
2023-05-03,14725.0
2023-05-04,15594.0
2023-05-05,27630.0
2023-05-08,15215.0
2023-05-09,24925.0
2023-05-10,15541.0
2023-05-11,10175.0
2023-05-12,21575.0
2023-05-15,16315.0
2023-05-16,12635.0
2023-05-17,9480.0
2023-05-19,17105.0
2023-05-22,15437.0
2023-05-23,23216.0
2023-05-24,10480.0
2023-05-25,12355.0
2023-05-26,13742.0
2023-05-30,21950.0
2023-05-31,15425.0
2023-06-01,9576.0
2023-06-02,12025.0
2023-06-05,14632.0
2023-06-06,20100.0
2023-06-07,17225.0
2023-06-08,7626.0
2023-06-09,7900.0
2023-06-12,13383.0
2023-06-13,13900.0
2023-06-14,15400.0
2023-06-15,8926.0
2023-06-16,15375.0
2023-06-19,12686.0
2023-06-20,13225.0
2023-06-21,16600.0
2023-06-22,11975.0
2023-06-23,17400.0
2023-06-26,12945.0
2023-06-27,13975.0
2023-06-28,17646.0
2023-06-29,8075.0
2023-06-30,14050.0
2023-07-03,17045.0
2023-07-04,11100.0
2023-07-05,12951.0
2023-07-06,9800.0
2023-07-07,12900.0
2023-07-10,16220.0
2023-07-11,14700.0
2023-07-12,14600.0
2023-07-13,11000.0
2023-07-14,14500.0
2023-07-17,11500.0
2023-07-18,13310.0
2023-07-19,14400.0
2023-07-20,12775.0
2023-07-21,15350.0
2023-07-24,9364.0
2023-07-25,10201.0
2023-07-26,12850.0
2023-07-27,12200.0
2023-07-28,11314.0
2023-07-31,8550.0
2023-08-02,18550.0
2023-08-03,9575.0
2023-08-04,15775.0
2023-08-07,13207.0
2023-08-08,12200.0
2023-08-09,17380.0
2023-08-10,9803.0
2023-08-11,14025.0
2023-08-14,14017.0
2023-08-15,13730.0
2023-08-16,17603.0
2023-08-17,12318.0
2023-08-18,14953.0
2023-08-21,13919.0
2023-08-22,13853.0
2023-08-23,17003.0
2023-08-24,13650.0
2023-08-25,15628.0
2023-08-28,15469.0
2023-08-29,15278.0
2023-08-30,14903.0
2023-08-31,10703.0
2023-09-01,15153.0
2023-09-04,15416.0
2023-09-05,12803.0
2023-09-06,12400.0
2023-09-07,10500.0
2023-09-08,15453.0
2023-09-11,17669.0
2023-09-12,12253.0
2023-09-13,13550.0
2023-09-14,8553.0
2023-09-15,12303.0
2023-09-18,12524.0
2023-09-19,10953.0
2023-09-20,16103.0
2023-09-21,9203.0
2023-09-22,13103.0
2023-09-25,17444.0
2023-09-26,10453.0
2023-09-27,13800.0
2023-09-28,7100.0
2023-09-29,7950.0
2023-10-02,14421.0
2023-10-03,9575.0
2023-10-04,12950.0
2023-10-05,8320.0
2023-10-06,10735.0
2023-10-09,13568.0
2023-10-10,10968.0
2023-10-11,13927.0
2023-10-12,8550.0
2023-10-13,9950.0
2023-10-16,15018.0
2023-10-17,11415.0
2023-10-18,18353.0
2023-10-19,9753.0
2023-10-20,10753.0
2023-10-23,13865.0
2023-10-24,12065.0
2023-10-25,15903.0
2023-10-26,10300.0
2023-10-27,10350.0
2023-10-30,11165.0
2023-10-31,9718.0
2023-11-01,17750.0
2023-11-02,9853.0
2023-11-03,11628.0
2023-11-06,10768.0
2023-11-07,10315.0
2023-11-08,16650.0
2023-11-09,7800.0
2023-11-10,11328.0
2023-11-13,9615.0
2023-11-14,9480.0
2023-11-15,17003.0
2023-11-16,7903.0
2023-11-17,15531.0
2023-11-20,8519.0
2023-11-21,9066.0
2023-11-22,15050.0
2023-11-23,8150.0
2023-11-24,11615.0
2023-11-27,8315.0
2023-11-28,9545.0
2023-11-29,14530.0
2023-11-30,7653.0
2023-12-01,9418.0
2023-12-04,10868.0
2023-12-05,9850.0
2023-12-06,17850.0
2023-12-07,12403.0
2023-12-08,9015.0
2023-12-11,13865.0
2023-12-12,8930.0
2023-12-13,16950.0
2023-12-14,10215.0
2023-12-15,10180.0
2023-12-18,15905.0
2023-12-19,8680.0
2023-12-20,16500.0
2023-12-21,15400.0
2023-12-22,8950.0
2023-12-27,16905.0
2023-12-28,9350.0
2023-12-29,8678.0
2024-01-03,21473.0
2024-01-04,15510.0
2024-01-05,9265.0
2024-01-08,11200.0
2024-01-09,11750.0
2024-01-10,18075.0
2024-01-11,13560.0
2024-01-12,13093.0
2024-01-15,19750.0
2024-01-16,14620.0
2024-01-17,19590.0
2024-01-18,9960.0
2024-01-19,11615.0
2024-01-22,19000.0
2024-01-23,14310.0
2024-01-24,16390.0
2024-01-25,11815.0
2024-01-26,8691.0
2024-01-29,13520.0
2024-01-30,12700.0
2024-01-31,17770.0
2024-02-01,15365.0
2024-02-02,12441.0
2024-02-05,14108.0
2024-02-06,13300.0
2024-02-07,18440.0
2024-02-08,14870.0
2024-02-09,12011.0
2024-02-12,15520.0
2024-02-13,13250.0
2024-02-14,18518.0
2024-02-15,13100.0
2024-02-16,11265.0
2024-02-19,14178.0
2024-02-20,13500.0
2024-02-21,20150.0
2024-02-22,13850.0
2024-02-23,11415.0
2024-02-26,14603.0
2024-02-27,12975.0
2024-02-28,18151.0
2024-02-29,12250.0
2024-03-01,11443.0
2024-03-04,14420.0
2024-03-05,12080.0
2024-03-06,22300.0
2024-03-07,12630.0
2024-03-08,12750.0
2024-03-11,14550.0
2024-03-12,8000.0
2024-03-13,23550.0
2024-03-14,8970.0
2024-03-15,12034.0
2024-03-18,10590.0
2024-03-19,6280.0
2024-03-20,22800.0
2024-03-21,12900.0
2024-03-22,14804.0
2024-03-25,13245.0
2024-03-26,12195.0
2024-03-27,9004.0
2024-03-28,10240.0
2024-04-02,10760.0
2024-04-03,20150.0
2024-04-04,12950.0
2024-04-05,8704.0
2024-04-08,9080.0
2024-04-09,10610.0
2024-04-10,19950.0
2024-04-11,13050.0
2024-04-12,8104.0
2024-04-15,9650.0
2024-04-16,9750.0
2024-04-17,22660.0
2024-04-18,16250.0
2024-04-19,9784.0
2024-04-22,10620.0
2024-04-23,10075.0
2024-04-24,24420.0
2024-04-25,16000.0
2024-04-26,9570.0
2024-04-29,8515.0
2024-04-30,17970.0
2024-05-02,23075.0
2024-05-03,16087.0
2024-05-06,8750.0
2024-05-07,16840.0
2024-05-08,19400.0
2024-05-10,13470.0
2024-05-13,10195.0
2024-05-14,7450.0
2024-05-15,18380.0
2024-05-16,17140.0
2024-05-17,11880.0
2024-05-21,9010.0
2024-05-22,14735.0
2024-05-23,14990.0
2024-05-24,14905.0
2024-05-27,12665.0
2024-05-28,9690.0
2024-05-29,15985.0
2024-05-30,11250.0
2024-05-31,13195.0
2024-06-03,16805.0
2024-06-04,11321.0
2024-06-05,15105.0
2024-06-06,11950.0
2024-06-07,9431.0
2024-06-10,12355.0
2024-06-11,10371.0
2024-06-12,20485.0
2024-06-13,12080.0
2024-06-14,10381.0
2024-06-17,12850.0
2024-06-18,10550.0
2024-06-19,14135.0
2024-06-20,16700.0
2024-06-21,12130.0
2024-06-24,16150.0
2024-06-25,14950.0
2024-06-26,17800.0
2024-06-27,10470.0
2024-06-28,13380.0
2024-07-01,13900.0
2024-07-02,17301.0
2024-07-03,19250.0
2024-07-04,10400.0
2024-07-05,14080.0
2024-07-08,12765.0
2024-07-09,15000.0
2024-07-10,16935.0
2024-07-11,12050.0
2024-07-12,15080.0
2024-07-15,13315.0
2024-07-16,16100.0
2024-07-17,17085.0
2024-07-18,12450.0
2024-07-19,14470.0
2024-07-22,13720.0
2024-07-23,15794.0
2024-07-24,17185.0
2024-07-25,13750.0
2024-07-26,19690.0
2024-07-29,13295.0
2024-07-30,10585.0
2024-07-31,15366.0
2024-08-02,16580.0
2024-08-05,11870.0
2024-08-06,14910.0
2024-08-07,12580.0
2024-08-08,16205.0
2024-08-09,19280.0
2024-08-12,11820.0
2024-08-13,14770.0
2024-08-14,13840.0
2024-08-15,16241.0
2024-08-16,15605.0
2024-08-19,14695.0
2024-08-20,17995.0
2024-08-21,14865.0
2024-08-22,14614.0
2024-08-23,18465.0
2024-08-26,15800.0
2024-08-27,19767.0
2024-08-28,17830.0
2024-08-29,12554.0
2024-08-30,14305.0
2024-09-02,15345.0
2024-09-03,12837.0
2024-09-04,13365.0
2024-09-05,12859.0
2024-09-06,13905.0
2024-09-09,14870.0
2024-09-10,12500.0
2024-09-11,16230.0
2024-09-12,13494.0
2024-09-13,13445.0
2024-09-16,13970.0
2024-09-17,12150.0
2024-09-18,14530.0
2024-09-19,13390.0
2024-09-20,14083.0
