date,snbbipo:VB
2019-01-31,11719.42419476
2019-02-28,11570.2201154
2019-03-31,18521.67778377
2019-04-30,29525.2755184
2019-05-31,30229.81456514
2019-06-30,29677.787573830003
2019-07-31,26920.150625950002
2019-08-31,27419.76066437
2019-09-30,27604.66378952
2019-10-31,25256.33652804
2019-11-30,24368.6328071
2019-12-31,23481.49574997
2020-01-31,21306.50817308
2020-02-29,21317.84816564
2020-03-31,24142.98362244
2020-04-30,31408.81383213
2020-05-31,36224.530747360004
2020-06-30,35720.343454580005
2020-07-31,23318.0780981
2020-08-31,24170.49313371
2020-09-30,22022.76408018
2020-10-31,18491.47037514
2020-11-30,15770.05854057
2020-12-31,13755.322040809999
2021-01-31,11321.12777197
2021-02-28,12491.83299445
2021-03-31,16522.17124813
2021-04-30,17958.9653485
2021-05-31,29002.8534658
2021-06-30,26831.57061429
2021-07-31,23421.606144380003
2021-08-31,23798.16365436
2021-09-30,21444.50244619
2021-10-31,17497.97342475
2021-11-30,15836.677045120001
2021-12-31,12617.07724975
2022-01-31,9972.88490015
2022-02-28,12448.43160405
2022-03-31,14497.54625268
2022-04-30,23417.218864849998
2022-05-31,35401.051873150005
2022-06-30,33051.68936774
2022-07-31,28656.62168098
2022-08-31,27080.20875774
2022-09-30,22407.34395716
2022-10-31,18656.46992805
2022-11-30,17510.835182669998
2022-12-31,16667.94582669
2023-01-31,12057.31711485
2023-02-28,9481.80193169
2023-03-31,10626.5206344
2023-04-30,14394.21203109
2023-05-31,25675.123886229998
2023-06-30,25031.51145402
2023-07-31,19918.2893423
2023-08-31,20906.80020729
2023-09-30,19013.87048509
2023-10-31,17597.53194384
2023-11-30,17373.64116412
2023-12-31,15398.31651352
2024-01-31,10503.32872607
2024-02-29,12469.855482620002
2024-03-31,11568.31282291
2024-04-30,19600.30333886
2024-05-31,30546.692550990003
2024-06-30,26524.30178835
2024-07-31,24233.140354209998
2024-08-31,24182.17063724
2024-09-30,21750.39511052
2024-10-31,18401.82451699
2024-11-30,18011.06823162
2024-12-31,16472.45593629
2025-01-31,11094.123393049998
2025-02-28,12825.80225294
2025-03-31,11575.75645032
2025-04-30,19391.07514929
2025-05-31,33055.36044107
2025-06-30,31914.88291551
2025-07-31,23934.508733450002
2025-08-31,25352.353932759997
2025-09-30,23880.76152606
2025-10-31,18770.80326597
2025-11-30,18276.59715867
2025-12-31,15377.510863540001
2026-01-31,11685.173186709999
2026-02-28,15904.24845071
2026-03-31,15832.341392549999
2026-04-30,20425.91782644
2026-05-31,28835.77390172
2026-06-30,28125.85669696
2026-07-31,21033.14176246
