date,mmdrc_yield
2018-12-28,-0.792
2019-01-08,-0.837
2019-01-15,-0.837
2019-01-22,-0.821
2019-01-29,-0.766
2019-02-05,-0.77
2019-02-12,-0.755
2019-02-19,-0.774
2019-02-26,-0.781
2019-03-05,-0.79
2019-03-12,-0.77
2019-03-19,-0.77
2019-03-26,-0.778
2019-04-02,-0.761
2019-04-09,-0.79
2019-04-16,-0.778
2019-04-23,-0.778
2019-04-30,-0.793
2019-05-07,-0.801
2019-05-14,-0.782
2019-05-21,-0.778
2019-05-28,-0.806
2019-06-04,-0.782
2019-06-11,-0.79
2019-06-18,-0.798
2019-06-25,-0.801
2019-07-02,-0.882
2019-07-09,-0.829
2019-07-16,-0.861
2019-07-23,-0.888
2019-07-30,-0.918
2019-08-06,-0.916
2019-08-13,-1.019
2019-08-20,-0.951
2019-08-27,-0.951
2019-09-03,-0.983
2019-09-10,-1.002
2019-09-17,-0.959
2019-09-24,-0.801
2019-10-01,-0.821
2019-10-08,-0.912
2019-10-15,-0.943
2019-10-22,-0.943
2019-10-29,-0.924
2019-11-05,-0.833
2019-11-12,-0.859
2019-11-19,-0.829
2019-11-26,-0.829
2019-12-03,-0.868
2019-12-10,-0.861
2019-12-17,-0.754
2019-12-23,-0.751
2019-12-30,-0.75
2020-01-07,-0.758
2020-01-14,-0.77
2020-01-21,-0.758
2020-01-28,-0.762
2020-02-04,-0.77
2020-02-11,-0.759
2020-02-18,-0.758
2020-02-25,-0.762
2020-03-03,-0.801
2020-03-10,-0.908
2020-03-17,-0.983
2020-03-24,-0.75
2020-03-31,-0.749
2020-04-07,-0.734
2020-04-14,-0.711
2020-04-21,-0.711
2020-04-28,-0.719
2020-05-05,-0.711
2020-05-12,-0.719
2020-05-19,-0.739
2020-05-26,-0.734
2020-06-02,-0.734
2020-06-09,-0.734
2020-06-16,-0.734
2020-06-23,-0.734
2020-06-30,-0.73
2020-07-07,-0.734
2020-07-14,-0.738
2020-07-21,-0.738
2020-07-28,-0.738
2020-08-04,-0.742
2020-08-11,-0.741
2020-08-18,-0.742
2020-08-25,-0.746
2020-09-01,-0.746
2020-09-08,-0.75
2020-09-15,-0.746
2020-09-22,-0.746
2020-09-29,-0.755
2020-10-06,-0.758
2020-10-13,-0.766
2020-10-20,-0.774
2020-10-27,-0.79
2020-11-03,-0.798
2020-11-10,-0.79
2020-11-17,-0.744
2020-11-24,-0.805
2020-12-01,-0.809
2020-12-08,-0.801
2020-12-15,-0.801
2020-12-22,-0.782
2020-12-29,-0.78
2021-01-05,-0.754
2021-01-12,-0.766
2021-01-19,-0.77
2021-01-26,-0.774
2021-02-02,-0.774
2021-02-09,-0.77
2021-02-16,-0.758
2021-02-23,-0.758
2021-03-02,-0.766
2021-03-09,-0.75
2021-03-16,-0.758
2021-03-23,-0.766
2021-03-30,-0.77
2021-04-06,-0.758
2021-04-13,-0.77
2021-04-20,-0.778
2021-04-27,-0.778
2021-05-04,-0.778
2021-05-11,-0.763
2021-05-18,-0.778
2021-05-25,-0.774
2021-06-01,-0.766
2021-06-08,-0.766
2021-06-15,-0.77
2021-06-22,-0.77
2021-06-29,-0.75
2021-07-06,-0.77
2021-07-13,-0.774
2021-07-20,-0.778
2021-07-27,-0.782
2021-08-03,-0.77
2021-08-10,-0.7802
2021-08-17,-0.774
2021-08-24,-0.75
2021-08-31,-0.77
2021-09-07,-0.75
2021-09-14,-0.746
2021-09-21,-0.75
2021-09-28,-0.776
2021-10-05,-0.798
2021-10-12,-0.79
2021-10-19,-0.782
2021-10-26,-0.801
2021-11-02,-0.801
2021-11-09,-0.7959
2021-11-16,-0.809
2021-11-23,-0.841
2021-11-30,-0.849
2021-12-07,-0.849
2021-12-14,-0.849
2021-12-21,-0.813
2021-12-28,-0.74
2022-01-04,-0.762
2022-01-11,-0.79
2022-01-18,-0.77
2022-01-25,-0.79
2022-02-01,-0.786
2022-02-08,-0.755
2022-02-15,-0.774
2022-02-22,-0.765
2022-03-01,-0.809
2022-03-08,-0.821
2022-03-15,-0.786
2022-03-22,-0.782
2022-03-29,-0.719
2022-04-05,-0.774
2022-04-12,-0.79
2022-04-26,-0.75
2022-05-03,-0.754
2022-05-10,-0.7
2022-05-17,-0.829
2022-05-24,-0.755
2022-05-31,-0.75
2022-06-07,-0.75
2022-06-14,-0.758
2022-06-21,-0.245
2022-06-28,0.154
2022-07-05,-0.237
2022-07-12,-0.241
2022-07-19,-0.237
2022-07-26,-0.079
2022-08-02,-0.111
2022-08-09,0.25
2022-08-16,-0.237
2022-08-23,0.0
2022-08-30,0.0
2022-09-06,0.206
2022-09-13,0.241
2022-09-20,0.495
2022-09-27,0.88
2022-10-04,0.301
2022-10-11,0.238
2022-10-18,0.396
2022-10-25,0.432
2022-11-01,0.432
2022-11-08,0.83
2022-11-15,0.459
2022-11-22,0.459
2022-11-29,0.491
2022-12-06,0.555
2022-12-13,0.84
2022-12-20,0.868
2022-12-27,1.502
2023-01-03,0.96
2023-01-10,0.944
2023-01-17,1.019
2023-01-24,1.099
2023-01-31,1.131
2023-02-07,1.31
2023-02-14,1.134
2023-02-21,1.17
2023-02-28,1.186
2023-03-07,1.338
2023-03-14,1.067
2023-03-21,1.091
2023-03-28,1.3
2023-04-04,1.25
2023-04-11,1.27
2023-04-18,1.294
2023-04-25,1.306
2023-05-02,1.306
2023-05-09,1.451
2023-05-16,1.345
2023-05-23,1.413
2023-05-30,1.441
2023-06-06,1.457
2023-06-13,1.625
2023-06-20,1.6486
2023-06-27,1.776
2023-07-04,1.661
2023-07-11,1.657
2023-07-18,1.677
2023-07-25,1.708
2023-07-31,1.696
2023-08-08,1.742
2023-08-15,1.685
2023-08-22,1.692
2023-08-29,1.728
2023-09-05,1.728
2023-09-12,1.752
2023-09-19,1.792
2023-09-26,1.678
2023-10-03,1.601
2023-10-10,1.585
2023-10-17,1.581
2023-10-24,1.577
2023-10-31,1.569
2023-11-07,1.646
2023-11-14,1.613
2023-11-21,1.629
2023-11-28,1.609
2023-12-05,1.609
2023-12-12,1.681
2023-12-19,1.661
2023-12-22,1.411
2023-12-29,1.677
2024-01-09,1.649
2024-01-16,1.629
2024-01-23,1.629
2024-01-30,1.625
2024-02-06,1.581
2024-02-13,1.573
2024-02-20,1.581
2024-02-27,1.573
2024-03-05,1.549
2024-03-12,1.5688
2024-03-19,1.589
2024-03-26,1.314
2024-04-02,1.389
2024-04-09,1.342
2024-04-16,1.27
2024-04-23,1.3218
2024-04-30,1.3074
2024-05-07,1.241
2024-05-14,1.286
2024-05-21,1.278
2024-05-28,1.2979
2024-06-04,1.278
2024-06-11,1.278
2024-06-18,1.2342
2024-06-25,0.982
2024-07-02,1.131
2024-07-09,1.051
2024-07-16,1.075
2024-07-23,1.091
2024-07-30,1.0789
2024-08-06,0.842
2024-08-13,0.9001
2024-08-20,0.9478
2024-08-27,0.8881
2024-09-03,0.908
2024-09-10,0.892
2024-09-17,0.84
2024-09-24,0.705
2024-10-01,0.831
2024-10-08,0.713
2024-10-15,0.709
2024-10-22,0.749
2024-10-29,0.678
2024-11-05,0.547
2024-11-12,0.4991
2024-11-19,0.483
2024-11-26,0.5586
2024-12-03,0.5308
2024-12-10,0.432
2024-12-17,0.348
2024-12-23,0.1002
2024-12-30,0.3523
2025-01-07,0.3247
2025-01-14,0.2692
2025-01-21,0.238
2025-01-28,0.1566
2025-02-04,0.166
2025-02-11,0.174
2025-02-18,0.186
2025-02-25,0.1997
2025-03-04,0.0
2025-03-11,0.186
2025-03-18,0.178
2025-03-25,0.1742
2025-04-01,0.115
2025-04-08,0.0198
2025-04-15,0.0
2025-04-22,-0.004
2025-04-29,-0.008
2025-05-06,-0.1976
2025-05-13,-0.138
2025-05-20,-0.1305
2025-05-27,-0.092
2025-06-03,-0.1305
2025-06-10,-0.1107
2025-06-17,-0.138
2025-06-24,-0.1777
2025-07-01,-0.229
2025-07-08,-0.1977
2025-07-15,-0.1028
2025-07-22,-0.154
2025-07-29,-0.2491
2025-08-05,-0.158
2025-08-12,-0.1186
2025-08-19,-0.2491
2025-08-26,-0.083
2025-09-02,-0.1028
2025-09-09,-0.1107
2025-09-16,-0.115
2025-09-23,-0.113
2025-09-30,-0.091
2025-10-07,-0.0949
2025-10-14,-0.095
2025-10-21,-0.119
2025-10-28,-0.1147
2025-11-04,-0.0672
2025-11-11,-0.1028
2025-11-19,-0.1186
2025-11-25,-0.059
2025-12-02,-0.0989
2025-12-09,-0.0514
2025-12-16,-0.1542
2025-12-23,-0.032
2025-12-30,-0.0414
2026-01-06,-0.0593
2026-01-13,-0.0435
2026-01-20,-0.044
2026-01-27,-0.0475
2026-02-03,-0.0613
2026-02-10,-0.0587
2026-02-17,-0.067
2026-02-24,-0.075
2026-03-03,-0.0633
2026-03-10,-0.075
2026-03-17,-0.083
2026-03-24,-0.02
2026-03-31,-0.051
2026-04-07,-0.051
2026-04-14,-0.0554
2026-04-21,-0.0554
2026-04-28,-0.055
2026-05-05,-0.0138
2026-05-12,-0.06
2026-05-19,-0.0633
2026-05-26,-0.087
2026-06-02,-0.0672
2026-06-09,-0.0712
2026-06-16,-0.75
2026-06-23,-0.0257
2026-06-30,-0.071
2026-07-07,-0.091
2026-07-14,-0.0989
2026-07-21,-0.075
2026-07-28,-0.079
2026-08-04,-0.0593
2026-08-11,-0.087
2026-08-18,-0.0831
2026-08-25,-0.0831
2026-09-01,-0.087
2026-09-08,-0.0831
