date,bamire:TB|GN
2019-01-31,482939.7896317272
2019-02-28,485369.8004873048
2019-03-31,481849.91544025537
2019-04-30,479267.627163534
2019-05-31,468387.7778274307
2019-06-30,470772.8932074768
2019-07-31,470758.9756022006
2019-08-31,476652.4895197476
2019-09-30,480991.7549220352
2019-10-31,498114.9274201671
2019-11-30,501089.0769945372
2019-12-31,503799.2583386522
2020-01-31,503647.06927565305
2020-02-29,505192.4574501359
2020-03-31,544965.138861687
2020-04-30,585520.8834730341
2020-05-31,597591.9644083602
2020-06-30,610388.3089700935
2020-07-31,628270.8859769877
2020-08-31,634705.5788950769
2020-09-30,633374.902999517
2020-10-31,639668.925679977
2020-11-30,637830.5460610772
2020-12-31,631962.1583045555
2021-01-31,640303.171140727
2021-02-28,634270.217606055
2021-03-31,629555.5863011843
2021-04-30,633276.4182412926
2021-05-31,632528.3674941547
2021-06-30,634603.3153258696
2021-07-31,637486.9947487271
2021-08-31,637108.987575682
2021-09-30,638544.8014240749
2021-10-31,644749.0543904324
2021-11-30,646473.9480643336
2021-12-31,652245.8395642027
2022-01-31,660757.2000241479
2022-02-28,659099.8064680086
2022-03-31,664474.7335989797
2022-04-30,666141.705297569
2022-05-31,661785.7082792959
2022-06-30,642196.2006167097
2022-07-31,640587.3194967698
2022-08-31,640063.2750790789
2022-09-30,562743.3011165004
2022-10-31,531541.5856523083
2022-11-30,514045.41876206815
2022-12-31,500014.6373413084
2023-01-31,510409.2574333561
2023-02-28,502076.4050939999
2023-03-31,521223.3163746795
2023-04-30,506364.240024136
2023-05-31,502168.9405417002
2023-06-30,480668.50169440807
2023-07-31,474496.8340853891
2023-08-31,460573.1431078652
2023-09-30,469895.573958681
2023-10-31,465798.5453930406
2023-11-30,459856.7943238612
2023-12-31,459838.8901431122
2024-01-31,468715.82151218946
2024-02-29,466024.83835540304
2024-03-31,460580.5856954759
2024-04-30,461557.39954216947
2024-05-31,447992.5013491181
2024-06-30,447009.03114433354
2024-07-31,451949.707302163
2024-08-31,452668.469918408
2024-09-30,458837.14782112266
2024-10-31,451542.1077806365
2024-11-30,449521.571649069
2024-12-31,434086.846430119
2025-01-31,429501.25881917984
2025-02-28,435399.0067523901
2025-03-31,438671.6037835902
2025-04-30,440456.9698214936
2025-05-31,430152.3938096352
2025-06-30,432657.0427077553
2025-07-31,440206.02164595324
2025-08-31,443008.66574850166
2025-09-30,448661.1356980268
2025-10-31,441139.5436432072
2025-11-30,441173.0022132352
2025-12-31,434964.59133481735
2026-01-31,435616.24068038195
2026-02-28,433965.9911659667
2026-03-31,433066.7359580735
2026-04-30,434736.5635134783
2026-05-31,434418.6735689532
2026-06-30,442293.35520086484
