date,snbbipo:US
2019-01-31,35655.566475830004
2019-02-28,36051.33778992
2019-03-31,35622.599422620005
2019-04-30,30788.78679581
2019-05-31,31044.3679524
2019-06-30,30494.98879793
2019-07-31,32343.02859775
2019-08-31,35885.75286581
2019-09-30,35899.04732742
2019-10-31,34129.37359179
2019-11-30,30206.51650952
2019-12-31,31997.37535329
2020-01-31,29832.58656639
2020-02-29,29280.84084054
2020-03-31,34283.54060157
2020-04-30,29086.75863546
2020-05-31,29897.99993557
2020-06-30,32936.79032984
2020-07-31,29449.83549853
2020-08-31,29279.61117828
2020-09-30,28655.893679689998
2020-10-31,27579.460202439997
2020-11-30,27998.83489498
2020-12-31,32160.939667119997
2021-01-31,33193.226481599995
2021-02-28,31119.20135371
2021-03-31,33089.70634284
2021-04-30,27497.9653726
2021-05-31,28488.88792496
2021-06-30,28999.13724661
2021-07-31,31013.952102919997
2021-08-31,30536.89943428
2021-09-30,33391.70637331
2021-10-31,32834.43157998
2021-11-30,33499.53687843
2021-12-31,35297.93628462
2022-01-31,36316.0238323
2022-02-28,35231.078271110004
2022-03-31,40154.8506179
2022-04-30,39350.650294629995
2022-05-31,38568.379377519996
2022-06-30,41183.43781692
2022-07-31,48642.83873147
2022-08-31,50059.92094057
2022-09-30,33001.03933999
2022-10-31,22598.577548279998
2022-11-30,21990.98785193
2022-12-31,27803.89497247
2023-01-31,10104.21137387
2023-02-28,7942.36028763
2023-03-31,11618.77850668
2023-04-30,4471.159829560001
2023-05-31,5778.405939310001
2023-06-30,3608.2428176999997
2023-07-31,3204.7726728000002
2023-08-31,2188.64191794
2023-09-30,2379.8805553
2023-10-31,2219.77610025
2023-11-30,1795.58828161
2023-12-31,2142.59739475
2024-01-31,1936.6145224000002
2024-02-29,1871.06238528
2024-03-31,1859.56052357
2024-04-30,2196.74264815
2024-05-31,1767.96676508
2024-06-30,1615.47438701
2024-07-31,1941.07175819
2024-08-31,2080.23159734
2024-09-30,5802.6133503599995
2024-10-31,2183.0725311300002
2024-11-30,1799.83582875
2024-12-31,2150.5993789
2025-01-31,1862.05508938
2025-02-28,1569.64378436
2025-03-31,4571.542133479999
2025-04-30,2334.14064171
2025-05-31,7345.32695106
2025-06-30,5214.63959929
2025-07-31,5404.47832897
2025-08-31,6011.0497527200005
2025-09-30,9209.83065336
2025-10-31,4579.93160678
2025-11-30,4126.19220957
2025-12-31,7375.9914965299995
2026-01-31,5364.82649537
2026-02-28,5568.27707794
2026-03-31,11409.11858684
2026-04-30,5203.45747986
2026-05-31,4540.50306342
2026-06-30,8100.94504431
2026-07-31,13210.29747373
