date,snbgwdchfsgw:TG
2021-03-19,702876.0
2021-03-26,702660.0
2021-04-02,701801.0
2021-04-09,701336.0
2021-04-16,701540.0
2021-04-23,701730.0
2021-04-30,701396.0
2021-05-07,705002.0
2021-05-14,707763.0
2021-05-21,709632.0
2021-05-28,710497.0
2021-06-04,710793.0
2021-06-11,711014.0
2021-06-18,712162.0
2021-06-25,712518.0
2021-07-02,712060.0
2021-07-09,711689.0
2021-07-16,711876.0
2021-07-23,712065.0
2021-07-30,711954.0
2021-08-06,713194.0
2021-08-13,714595.0
2021-08-20,714952.0
2021-08-27,715198.0
2021-09-03,714935.0
2021-09-10,714821.0
2021-09-17,714653.0
2021-09-24,714541.0
2021-10-01,714209.0
2021-10-08,714106.0
2021-10-15,714325.0
2021-10-22,715313.0
2021-10-29,717116.0
2021-11-05,718357.0
2021-11-12,719235.0
2021-11-19,719305.0
2021-11-26,719399.0
2021-12-03,720336.0
2021-12-10,722718.0
2021-12-17,722661.0
2021-12-24,722271.0
2021-12-31,722771.0
2022-01-07,724631.0
2022-01-14,724492.0
2022-01-21,724760.0
2022-01-28,724873.0
2022-02-04,724976.0
2022-02-11,725055.0
2022-02-18,725230.0
2022-02-25,725150.0
2022-03-04,725667.0
2022-03-11,728037.0
2022-03-18,728863.0
2022-03-25,731459.0
2022-04-01,737160.0
2022-04-08,739366.0
2022-04-15,740084.0
2022-04-22,742613.0
2022-04-29,744401.0
2022-05-06,750911.0
2022-05-13,753333.0
2022-05-20,754116.0
2022-05-27,754033.0
2022-06-03,753838.0
2022-06-10,753081.0
2022-06-17,751825.0
2022-06-24,748460.0
2022-07-01,748520.0
2022-07-08,745014.0
2022-07-15,745443.0
2022-07-22,746629.0
2022-07-29,747083.0
2022-08-05,749605.0
2022-08-12,751275.0
2022-08-19,752765.0
2022-08-26,752766.0
2022-09-02,752784.0
2022-09-09,753396.0
2022-09-16,754486.0
2022-09-23,747121.0
2022-09-30,669585.0
2022-10-07,639332.0
2022-10-14,619770.0
2022-10-21,597641.0
2022-10-28,581654.0
2022-11-04,572118.0
2022-11-11,571139.0
2022-11-18,562134.0
2022-11-25,555413.0
2022-12-02,549842.0
2022-12-09,542342.0
2022-12-16,542934.0
2022-12-23,542731.0
2022-12-30,539211.0
2023-01-06,533496.0
2023-01-13,536156.0
2023-01-20,531612.0
2023-01-27,527971.0
2023-02-03,528074.0
2023-02-10,525595.0
2023-02-17,526765.0
2023-02-24,520692.0
2023-03-03,519386.0
2023-03-10,510772.0
2023-03-17,515121.0
2023-03-24,567003.0
2023-03-31,563566.0
2023-04-07,532224.0
2023-04-14,544138.0
2023-04-21,538392.0
2023-04-28,523920.0
2023-05-05,525557.0
2023-05-12,520129.0
2023-05-19,515650.0
2023-05-26,516660.0
2023-06-02,519006.0
2023-06-09,509791.0
2023-06-16,510599.0
2023-06-23,507950.0
2023-06-30,491855.0
2023-07-07,486644.0
2023-07-14,494739.0
2023-07-21,489297.0
2023-07-28,490098.0
2023-08-04,492963.0
2023-08-11,484823.0
2023-08-18,476218.0
2023-08-25,471379.0
2023-09-01,467616.0
2023-09-08,468852.0
2023-09-15,472985.0
2023-09-22,475092.0
2023-09-29,476293.0
2023-10-06,479942.0
2023-10-13,483798.0
2023-10-20,478842.0
2023-10-27,472127.0
2023-11-03,474630.0
2023-11-10,476307.0
2023-11-17,476893.0
2023-11-24,473663.0
2023-12-01,474094.0
2023-12-08,471672.0
2023-12-15,462598.0
2023-12-22,462220.0
2023-12-29,462937.0
2024-01-05,468817.0
2024-01-12,476256.0
2024-01-19,473438.0
2024-01-26,472200.0
2024-02-02,481231.0
2024-02-09,482290.0
2024-02-16,477110.0
2024-02-23,480484.0
2024-03-01,478455.0
2024-03-08,477396.0
2024-03-15,469243.0
2024-03-22,469205.0
2024-03-29,456801.0
2024-04-05,460882.0
2024-04-12,477856.0
2024-04-19,481293.0
2024-04-26,475694.0
2024-05-03,473215.0
2024-05-10,468929.0
2024-05-17,467406.0
2024-05-24,461233.0
2024-05-31,461952.0
2024-06-07,459830.0
2024-06-14,453527.0
2024-06-21,451827.0
2024-06-28,452020.0
2024-07-05,453396.0
2024-07-12,458925.0
2024-07-19,461268.0
2024-07-26,458216.0
2024-08-02,453910.0
2024-08-09,463104.0
2024-08-16,464936.0
2024-08-23,463620.0
2024-08-30,456724.0
2024-09-06,455903.0
2024-09-13,466828.0
2024-09-20,465309.0
2024-09-27,472170.0
2024-10-04,471385.0
2024-10-11,467121.0
2024-10-18,462279.0
2024-10-25,457406.0
2024-11-01,456576.0
2024-11-08,463521.0
2024-11-15,463374.0
2024-11-22,459420.0
2024-11-29,458959.0
2024-12-06,458778.0
2024-12-13,456425.0
2024-12-20,456503.0
2024-12-27,445677.0
2025-01-03,439583.0
2025-01-10,445143.0
2025-01-17,445250.0
2025-01-24,441327.0
2025-01-31,441860.0
2025-02-07,438109.0
2025-02-14,432490.0
2025-02-21,438070.0
2025-02-28,437438.0
2025-03-07,444126.0
2025-03-14,448453.0
2025-03-21,449205.0
2025-03-28,451246.0
2025-04-04,443662.0
2025-04-11,446940.0
2025-04-18,448322.0
2025-04-25,451053.0
2025-05-02,454128.0
2025-05-09,453240.0
2025-05-16,443180.0
2025-05-23,443391.0
2025-05-30,444858.0
2025-06-06,438132.0
2025-06-13,434843.0
2025-06-20,442511.0
2025-06-27,460702.0
2025-07-04,459830.0
2025-07-11,464080.0
2025-07-18,475275.0
2025-07-25,474748.0
2025-08-01,468486.0
2025-08-08,465864.0
2025-08-15,465724.0
2025-08-22,469511.0
2025-08-29,472349.0
2025-09-05,471853.0
2025-09-12,468540.0
2025-09-19,472259.0
2025-09-26,474661.0
2025-10-03,476958.0
2025-10-10,474240.0
2025-10-17,473759.0
2025-10-24,471499.0
2025-10-31,470502.0
2025-11-07,459991.0
2025-11-14,456517.0
2025-11-21,460152.0
2025-11-28,458464.0
2025-12-05,461870.0
2025-12-12,463488.0
2025-12-19,461962.0
2025-12-26,458298.0
2026-01-02,452380.0
2026-01-09,459790.0
2026-01-16,456242.0
2026-01-23,449302.0
2026-01-30,452738.0
2026-02-06,447359.0
2026-02-13,452668.0
2026-02-20,457550.0
2026-02-27,459750.0
2026-03-06,454072.0
2026-03-13,454405.0
2026-03-20,457006.0
2026-03-27,460951.0
2026-04-03,464310.0
2026-04-10,461250.0
2026-04-17,453559.0
2026-04-24,455918.0
2026-05-01,459704.0
2026-05-08,467459.0
2026-05-15,471064.0
2026-05-22,468932.0
2026-05-29,468603.0
2026-06-05,469599.0
2026-06-12,468497.0
2026-06-19,471897.0
2026-06-26,474678.0
2026-07-03,479154.0
2026-07-10,471254.0
2026-07-17,469351.0
2026-07-24,469266.0
2026-07-31,465167.0
2026-08-07,462395.0
2026-08-14,458754.0
2026-08-21,463658.0
2026-08-28,457349.0
2026-09-04,452593.0
