date,babilpobm:VBA|T|T|A40
2019-01-31,496537.1112478201
2019-02-28,497838.55213422474
2019-03-31,487565.0753460148
2019-04-30,497800.3887060737
2019-05-31,474358.387052377
2019-06-30,471373.431741727
2019-07-31,475575.40190504893
2019-08-31,476302.3868927639
2019-09-30,497025.8735425489
2019-10-31,503395.77271784784
2019-11-30,538809.9315204525
2019-12-31,520435.76778204076
2020-01-31,539005.3871989063
2020-02-29,564632.9828139637
2020-03-31,536554.1737318699
2020-04-30,601340.870555294
2020-05-31,587776.0291937431
2020-06-30,566416.8987486314
2020-07-31,570651.3449256496
2020-08-31,558799.7567648656
2020-09-30,566357.2146774672
2020-10-31,546800.0605643655
2020-11-30,537970.4686391017
2020-12-31,523788.1570943777
2021-01-31,545172.3328099807
2021-02-28,562253.4121304478
2021-03-31,560780.7177820478
2021-04-30,554424.1083180804
2021-05-31,552907.0704781451
2021-06-30,554497.341816851
2021-07-31,541356.2638570599
2021-08-31,547493.0375198978
2021-09-30,545172.708223704
2021-10-31,540018.57241039
2021-11-30,533755.027785843
2021-12-31,535980.636028399
2022-01-31,557788.9734817061
2022-02-28,566527.5394314049
2022-03-31,560870.5169405455
2022-04-30,582313.014217649
2022-05-31,583579.0078539855
2022-06-30,566323.0887169824
2022-07-31,583868.7402633446
2022-08-31,583208.1509363091
2022-09-30,578875.4482177114
2022-10-31,598402.8901223715
2022-11-30,600973.8055184413
2022-12-31,572019.8522869253
2023-01-31,601306.2445234576
2023-02-28,594311.594967182
2023-03-31,656182.2007083785
2023-04-30,646815.8944698886
2023-05-31,658672.867127365
2023-06-30,601637.1220403039
2023-07-31,597873.8230896472
2023-08-31,589884.045504304
2023-09-30,593333.835010916
2023-10-31,580549.1194661817
2023-11-30,566952.4093036529
2023-12-31,533386.4092339218
2024-01-31,569832.4962036738
2024-02-29,580621.2337251813
2024-03-31,590613.4393706173
2024-04-30,633601.7138443657
2024-05-31,632994.7077994497
2024-06-30,605931.146539659
2024-07-31,619170.684099404
2024-08-31,610762.948336829
2024-09-30,595062.286716803
2024-10-31,622451.364818115
2024-11-30,622397.265868854
2024-12-31,579551.2527465039
2025-01-31,599750.004576133
2025-02-28,595027.409736817
2025-03-31,570693.077369907
2025-04-30,595148.4124791549
2025-05-31,592199.1140006117
2025-06-30,555956.6614036601
2025-07-31,588298.5144276851
2025-08-31,579349.595492323
2025-09-30,573652.1913978279
2025-10-31,577491.6610230596
2025-11-30,577780.506935682
2025-12-31,559101.3968762645
2026-01-31,567209.6779398624
2026-02-28,560344.0575798214
2026-03-31,569648.3255454757
2026-04-30,574158.2286300865
2026-05-31,582934.929740099
2026-06-30,570993.726651396
