date,snbbipo:D
2019-01-31,773094.5066859301
2019-02-28,755094.3405550501
2019-03-31,767715.0305068
2019-04-30,788039.31461735
2019-05-31,775376.2403773901
2019-06-30,777850.8869755
2019-07-31,783412.3065158101
2019-08-31,784546.4967199301
2019-09-30,797782.26754861
2019-10-31,800486.2185356601
2019-11-30,804698.39425919
2019-12-31,794015.2814346999
2020-01-31,783042.6391809301
2020-02-29,788307.45878445
2020-03-31,781440.79949863
2020-04-30,811870.96400271
2020-05-31,827403.8016141701
2020-06-30,863218.8527885601
2020-07-31,859129.78724553
2020-08-31,859650.16813208
2020-09-30,884157.44540219
2020-10-31,882109.6314557199
2020-11-30,890078.0602698
2020-12-31,910001.0422674499
2021-01-31,913978.6800589301
2021-02-28,933853.47759057
2021-03-31,951463.25676135
2021-04-30,934077.67112793
2021-05-31,931648.46467388
2021-06-30,963833.95628312
2021-07-31,945944.4578955501
2021-08-31,957091.43071816
2021-09-30,965459.63446972
2021-10-31,951173.0232156999
2021-11-30,950107.38198437
2021-12-31,966202.18052064
2022-01-31,976955.14458133
2022-02-28,968738.57233579
2022-03-31,937329.47936252
2022-04-30,955927.4822499399
2022-05-31,958989.9752749499
2022-06-30,884385.8534920301
2022-07-31,869850.02306234
2022-08-31,863778.71535055
2022-09-30,808353.51808553
2022-10-31,821902.06097768
2022-11-30,804734.98807321
2022-12-31,800566.19350662
2023-01-31,800814.42050722
2023-02-28,795871.8472044
2023-03-31,761271.84399836
2023-04-30,751820.31490767
2023-05-31,759143.70724961
2023-06-30,741599.50240025
2023-07-31,717876.94144642
2023-08-31,719340.50005573
2023-09-30,703263.7002846899
2023-10-31,682726.97901136
2023-11-30,665318.07591753
2023-12-31,677395.83585759
2024-01-31,683843.0349298901
2024-02-29,701295.85490975
2024-03-31,741201.9833066999
2024-04-30,747938.97679039
2024-05-31,742082.64600895
2024-06-30,730928.91856568
2024-07-31,719731.17227442
2024-08-31,713233.59086911
2024-09-30,738256.6737277199
2024-10-31,735525.80690814
2024-11-30,744170.4979502801
2024-12-31,754159.46702389
2025-01-31,755772.4929365
2025-02-28,756217.83574776
2025-03-31,753955.60369904
2025-04-30,732609.8451731
2025-05-31,726663.0536342099
2025-06-30,744755.57980036
2025-07-31,745998.52518682
2025-08-31,741109.60719423
2025-09-30,764974.1420829301
2025-10-31,763207.26896777
2025-11-30,764444.16158834
2025-12-31,759210.13397974
2026-01-31,738347.10313176
2026-02-28,724616.00767373
2026-03-31,747798.27347385
2026-04-30,749709.6449730201
2026-05-31,738920.0846383
2026-06-30,786063.94666613
2026-07-31,802477.5447250999
