date,babilpobm:TOT1|T|T|A40
2019-01-31,2689415.118610207
2019-02-28,2690841.536507293
2019-03-31,2673423.210592277
2019-04-30,2709938.670678942
2019-05-31,2686419.852177668
2019-06-30,2667621.736196253
2019-07-31,2684902.7690343363
2019-08-31,2701928.261873003
2019-09-30,2713890.107227065
2019-10-31,2713652.936586902
2019-11-30,2770854.793544817
2019-12-31,2735366.413516526
2020-01-31,2756745.816325936
2020-02-29,2802969.611215757
2020-03-31,2864257.9816478323
2020-04-30,2949197.6433051857
2020-05-31,2951450.107772411
2020-06-30,2925032.2475759923
2020-07-31,2966660.022355827
2020-08-31,2960427.81377062
2020-09-30,2957804.6311637703
2020-10-31,2964077.203724531
2020-11-30,2969272.3563839886
2020-12-31,2930610.354789335
2021-01-31,2989199.50139741
2021-02-28,3029985.846829264
2021-03-31,3055226.680244766
2021-04-30,3028540.102507559
2021-05-31,3030140.742182373
2021-06-30,3039891.71172913
2021-07-31,3029869.2820377066
2021-08-31,3051758.336379485
2021-09-30,3065872.377246553
2021-10-31,3065069.7514830213
2021-11-30,3085858.298375054
2021-12-31,3052463.905690289
2022-01-31,3108441.900478952
2022-02-28,3122982.2410693974
2022-03-31,3130783.68123301
2022-04-30,3194795.4918859256
2022-05-31,3171564.932759696
2022-06-30,3127088.123182164
2022-07-31,3130470.815885676
2022-08-31,3141735.381977248
2022-09-30,3108623.827247158
2022-10-31,3098660.973176728
2022-11-30,3074673.537305433
2022-12-31,2978808.9704677793
2023-01-31,3026369.59198947
2023-02-28,3009451.4092201786
2023-03-31,3014540.2010187507
2023-04-30,3007029.6604092433
2023-05-31,3017555.887218966
2023-06-30,2924440.40477264
2023-07-31,2903755.057061203
2023-08-31,2894333.933811912
2023-09-30,2917435.656130591
2023-10-31,2907598.492010595
2023-11-30,2892206.527539324
2023-12-31,2848563.725575341
2024-01-31,2877088.74453085
2024-02-29,2897424.768803165
2024-03-31,2922485.143678038
2024-04-30,2949600.585185752
2024-05-31,2904404.4901231686
2024-06-30,2849724.846605485
2024-07-31,2864885.657567193
2024-08-31,2870569.4182765908
2024-09-30,2854029.61907891
2024-10-31,2907842.263513927
2024-11-30,2934366.319295588
2024-12-31,2886338.6124233077
2025-01-31,2914814.4300266947
2025-02-28,2922804.1049252683
2025-03-31,2896183.7099522
2025-04-30,2937637.715880371
2025-05-31,2922306.1438486353
2025-06-30,2871417.400097936
2025-07-31,2922651.600711185
2025-08-31,2922297.280291522
2025-09-30,2899932.057910932
2025-10-31,2950655.486341548
2025-11-30,2959822.9135537627
2025-12-31,2906409.738307449
2026-01-31,2987740.368577039
2026-02-28,2979211.231104325
2026-03-31,2990482.3482716857
2026-04-30,2987432.951491242
2026-05-31,3001775.3027477744
2026-06-30,2992954.0684906817
