date,bakredinausbm:AV1|I|H|F
2019-01-31,1009449.0
2019-02-28,1011538.0
2019-03-31,1014032.0
2019-04-30,1017460.0
2019-05-31,1020964.0
2019-06-30,1022097.0
2019-07-31,1026077.0
2019-08-31,1028866.0
2019-09-30,1030737.0
2019-10-31,1033369.0
2019-11-30,1035931.0
2019-12-31,1038164.0
2020-01-31,1041067.0
2020-02-29,1042563.0
2020-03-31,1046067.0
2020-04-30,1048958.0
2020-05-31,1051994.0
2020-06-30,1053848.0
2020-07-31,1056596.0
2020-08-31,1059194.0
2020-09-30,1061987.0
2020-10-31,1065927.0
2020-11-30,1068715.0
2020-12-31,1071657.0
2021-01-31,1075915.0
2021-02-28,1077936.0
2021-03-31,1081950.0
2021-04-30,1086470.0
2021-05-31,1089274.0
2021-06-30,1092143.0
2021-07-31,1095942.0
2021-08-31,1099372.0
2021-09-30,1101748.0
2021-10-31,1104655.0
2021-11-30,1107425.0
2021-12-31,1108044.0
2022-01-31,1111740.0
2022-02-28,1114381.0
2022-03-31,1118095.0
2022-04-30,1121890.0
2022-05-31,1125234.0
2022-06-30,1127738.0
2022-07-31,1132457.0
2022-08-31,1135315.0
2022-09-30,1138084.0
2022-10-31,1141071.0
2022-11-30,1144962.0
2022-12-31,1146972.0
2023-01-31,1150690.0
2023-02-28,1152744.0
2023-03-31,1155188.0
2023-04-30,1157198.0
2023-05-31,1160435.0
2023-06-30,1161608.0
2023-07-31,1163658.0
2023-08-31,1166125.0
2023-09-30,1168689.0
2023-10-31,1170860.0
2023-11-30,1173813.0
2023-12-31,1175024.0
2024-01-31,1177162.0
2024-02-29,1179091.0
2024-03-31,1181806.0
2024-04-30,1184752.0
2024-05-31,1188930.0
2024-06-30,1188617.0
2024-07-31,1191655.0
2024-08-31,1194113.0
2024-09-30,1195929.0
2024-10-31,1199529.0
2024-11-30,1202601.0
2024-12-31,1205111.0
2025-01-31,1208204.0
2025-02-28,1211265.0
2025-03-31,1213961.0
2025-04-30,1218480.0
2025-05-31,1222745.0
2025-06-30,1224546.0
2025-07-31,1228853.0
2025-08-31,1231989.0
2025-09-30,1234789.0
2025-10-31,1239082.0
2025-11-30,1241242.0
2025-12-31,1243226.0
2026-01-31,1247112.0
2026-02-28,1249697.0
2026-03-31,1252018.0
2026-04-30,1237052.0
2026-05-31,1239736.0
2026-06-30,1242288.0
