date,snbbipo:GFG
2019-01-31,44024.51981679
2019-02-28,43900.09134768
2019-03-31,43117.82046489
2019-04-30,43716.37117853
2019-05-31,43608.714079900004
2019-06-30,46015.3158717
2019-07-31,47327.541934
2019-08-31,50471.59746931
2019-09-30,49524.92326921
2019-10-31,49923.70595467
2019-11-30,48788.15192635
2019-12-31,49110.8539366
2020-01-31,51119.63190134
2020-02-29,52291.986412
2020-03-31,51920.2608444
2020-04-30,55331.25711059
2020-05-31,55658.784459309994
2020-06-30,56231.985803769996
2020-07-31,59949.04737755
2020-08-31,59468.90269702
2020-09-30,58229.24517933
2020-10-31,57556.2632584
2020-11-30,53685.17912608
2020-12-31,55747.12079425
2021-01-31,55389.17551639
2021-02-28,52895.8951841
2021-03-31,53421.075013910006
2021-04-30,53838.07318343
2021-05-31,57381.652986940004
2021-06-30,54358.636019800004
2021-07-31,55280.74040363
2021-08-31,55301.774333220004
2021-09-30,54468.17355287
2021-10-31,54142.78261718
2021-11-30,55231.679178419996
2021-12-31,55690.73617939
2022-01-31,55893.51635303
2022-02-28,58727.89402208
2022-03-31,59852.5819713
2022-04-30,62001.57874772
2022-05-31,59393.23707495
2022-06-30,58070.40199847
2022-07-31,56181.18157106
2022-08-31,56206.84854409
2022-09-30,54626.8886707
2022-10-31,55026.17053954
2022-11-30,55798.08258226
2022-12-31,56099.2590539
2023-01-31,59397.29433158
2023-02-28,56886.963764269996
2023-03-31,60447.77837645
2023-04-30,59368.88886469
2023-05-31,60022.7843978
2023-06-30,57302.87756829
2023-07-31,57299.77293644
2023-08-31,57400.03736439
2023-09-30,57171.02011594
2023-10-31,60682.82633559
2023-11-30,59618.66619126
2023-12-31,57817.657463970005
2024-01-31,58767.55274094
2024-02-29,60183.17070123
2024-03-31,66756.19374724
2024-04-30,70640.86286163001
2024-05-31,70773.43620304
2024-06-30,70019.58118616001
2024-07-31,71186.41061002
2024-08-31,71471.59198507
2024-09-30,74431.11138278
2024-10-31,79132.31615564
2024-11-30,78267.70934899
2024-12-31,79047.81104774
2025-01-31,85504.50034637
2025-02-28,85540.77848472999
2025-03-31,91825.16083177
2025-04-30,90988.59366685
2025-05-31,90313.34388532
2025-06-30,87612.99040499
2025-07-31,89900.09367806
2025-08-31,91804.90563122
2025-09-30,101940.81019346001
2025-10-31,108023.86060261
2025-11-30,113000.35052672
2025-12-31,115351.181108
2026-01-31,129419.53138823
2026-02-28,134302.87732888001
2026-03-31,123130.76453581
2026-04-30,120905.36640757
2026-05-31,118551.6807787
2026-06-30,109000.23104583
2026-07-31,109420.30008014999
