date,zikrepro:05Q|50
2019-01-31,1.1349999999999998
2019-02-28,1.1199999999999999
2019-03-31,1.0999999999999999
2019-04-30,1.105
2019-05-31,1.0999999999999999
2019-06-30,1.08
2019-07-31,1.0699999999999998
2019-08-31,1.05
2019-09-30,1.0699999999999998
2019-10-31,1.09
2019-11-30,1.0999999999999999
2019-12-31,1.0999999999999999
2020-01-31,1.0899999999999999
2020-02-29,1.08
2020-03-31,1.14
2020-04-30,1.0999999999999999
2020-05-31,1.0999999999999999
2020-06-30,1.11
2020-07-31,1.0999999999999999
2020-08-31,1.0999999999999999
2020-09-30,1.09
2020-10-31,1.08
2020-11-30,1.08
2020-12-31,1.08
2021-01-31,1.0699999999999998
2021-02-28,1.0999999999999999
2021-03-31,1.08
2021-04-30,1.0999999999999999
2021-05-31,1.0999999999999999
2021-06-30,1.08
2021-07-31,1.06
2021-08-31,1.05
2021-09-30,1.09
2021-10-31,1.1400000000000001
2021-11-30,1.09
2021-12-31,1.0999999999999999
2022-01-31,1.215
2022-02-28,1.39
2022-03-31,1.67
2022-04-30,1.95
2022-05-31,1.9800000000000002
2022-06-30,2.5
2022-07-31,2.0500000000000003
2022-08-31,2.54
2022-09-30,2.92
2022-10-31,2.8000000000000003
2022-11-30,2.55
2022-12-31,2.9499999999999997
2023-01-31,2.65
2023-02-28,2.9499999999999997
2023-03-31,3.05
2023-04-30,3.02
2023-05-31,2.9000000000000004
2023-06-30,2.9499999999999997
2023-07-31,2.93
2023-08-31,2.87
2023-09-30,2.8400000000000003
2023-10-31,2.56
2023-11-30,2.3800000000000003
2023-12-31,2.2399999999999998
2024-01-31,2.295
2024-02-29,2.3149999999999995
2024-03-31,2.25
2024-04-30,2.3
2024-05-31,2.45
2024-06-30,2.13
2024-07-31,2.02
2024-08-31,1.8849999999999998
2024-09-30,1.7500000000000002
2024-10-31,1.7000000000000002
2024-11-30,1.54
2024-12-31,1.5
2025-01-31,1.6
2025-02-28,1.6400000000000001
2025-03-31,1.7000000000000002
2025-04-30,1.5
2025-05-31,1.4000000000000001
2025-06-30,1.53
2025-07-31,1.55
2025-08-31,1.51
2025-09-30,1.5
2025-10-31,1.485
2025-11-30,1.53
2025-12-31,1.67
2026-01-31,1.59
2026-02-28,1.48
2026-03-31,1.7000000000000002
2026-04-30,1.7000000000000002
2026-05-31,1.7399999999999998
2026-06-30,1.6099999999999999
2026-07-31,1.78
