date,snbmonagg:B|GM1
2019-01-31,672116.0
2019-02-28,675990.0
2019-03-31,679434.0
2019-04-30,680033.0
2019-05-31,684210.0
2019-06-30,680401.0
2019-07-31,682809.0
2019-08-31,683920.0
2019-09-30,679720.0
2019-10-31,678440.0
2019-11-30,678065.0
2019-12-31,675753.0
2020-01-31,671327.0
2020-02-29,675258.0
2020-03-31,692331.0
2020-04-30,699191.0
2020-05-31,707115.0
2020-06-30,710569.0
2020-07-31,714575.0
2020-08-31,718805.0
2020-09-30,718530.0
2020-10-31,727186.0
2020-11-30,733209.0
2020-12-31,736570.0
2021-01-31,738328.0
2021-02-28,741276.0
2021-03-31,749424.0
2021-04-30,750220.0
2021-05-31,753566.0
2021-06-30,753060.0
2021-07-31,760957.0
2021-08-31,760393.0
2021-09-30,763412.0
2021-10-31,766793.0
2021-11-30,766898.0
2021-12-31,769725.0
2022-01-31,771158.0
2022-02-28,769749.0
2022-03-31,780952.0
2022-04-30,777551.0
2022-05-31,779183.0
2022-06-30,775870.0
2022-07-31,778238.0
2022-08-31,780505.0
2022-09-30,776548.0
2022-10-31,766329.0
2022-11-30,771043.0
2022-12-31,752533.0
2023-01-31,732475.0
2023-02-28,719999.0
2023-03-31,705664.0
2023-04-30,697982.0
2023-05-31,683095.0
2023-06-30,668191.0
2023-07-31,651660.0
2023-08-31,640788.0
2023-09-30,634909.0
2023-10-31,630200.0
2023-11-30,628296.0
2023-12-31,621192.0
2024-01-31,607756.0
2024-02-29,600072.0
2024-03-31,602524.0
2024-04-30,601715.0
2024-05-31,596583.0
2024-06-30,602622.0
2024-07-31,597255.0
2024-08-31,600729.0
2024-09-30,609075.0
2024-10-31,611103.0
2024-11-30,620897.0
2024-12-31,635568.0
2025-01-31,632465.0
2025-02-28,634649.0
2025-03-31,653881.0
2025-04-30,670321.0
2025-05-31,674118.0
2025-06-30,709414.0
2025-07-31,723526.0
2025-08-31,731330.0
2025-09-30,733855.0
2025-10-31,741713.0
2025-11-30,751863.0
2025-12-31,750196.0
2026-01-31,753088.0
2026-02-28,756261.0
2026-03-31,764506.0
2026-04-30,767065.0
2026-05-31,769137.0
2026-06-30,768532.0
2026-07-31,769708.0
