isin,bond,maturity,coupon,issued_total,placed_market,own_placed,own_available,asof
CH0031835561,Eidg. 27.06.07/27,2027-06-27,0.0325,3080.515,2865.515,385.0,215.0,2026-08-31
CH0008680370,Eidg. 08.04.98/28,2028-04-08,0.04,5612.455,5612.455,2600.0,0.0,2026-08-31
CH0224397346,Eidg. 22.06.16/29,2029-06-22,0.0,4992.375,4612.375,220.0,380.0,2026-08-31
CH0224397171,Eidg. 27.05.15/30,2030-05-27,0.005,4220.287,3920.2870000000003,0.0,300.0,2026-08-31
CH0127181029,Eidg. 22.06.11/31,2031-06-22,0.0225,3635.8949999999995,3453.8949999999995,118.0,182.0,2026-08-31
CH0344958688,Eidg. 27.06.18/32,2032-06-27,0.005,4010.58,3740.58,30.0,270.0,2026-08-31
CH0015803239,Eidg. 08.04.03/33,2033-04-08,0.035,4703.86,4403.86,1200.0,300.0,2026-08-31
CH0440081393,Eidg. 26.06.19/34,2034-06-26,0.0,3907.433,3697.433,90.0,210.0,2026-08-31
CH0557778310,Eidg. 23.06.21/35,2035-06-23,0.0025,3233.1749999999997,3037.1749999999997,104.0,196.0,2026-08-31
CH0024524966,Eidg. 08.03.06/36,2036-03-08,0.025,4820.295,4405.295,1085.0,415.0,2026-08-31
CH0127181193,Eidg. 27.06.12/37,2037-06-27,0.0125,4811.524,4396.523999999999,485.0,415.0000000000009,2026-08-31
CH0440081567,Eidg. 26.10.22/38,2038-10-26,0.015,2977.8999999999996,2427.8999999999996,50.0,550.0,2026-08-31
CH0440081401,Eidg. 24.07.19/39,2039-07-24,0.0,3298.6749999999997,3018.6749999999997,20.0,280.0,2026-08-31
CH0557779235,Eidg. 28.05.25/40,2040-05-28,0.005,958.6550000000001,658.655,0.0,300.0000000000001,2026-08-31
CH1544304103,Eidg. 24.06.26/41,2041-06-24,0.00875,715.1700000000001,415.17,0.0,300.00000000000006,2026-08-31
CH0127181169,Eidg. 30.04.12/42,2042-04-30,0.015,4584.135,4404.135,420.0,180.0,2026-08-31
CH0557778815,Eidg. 28.06.23/43,2043-06-28,0.0125,2602.7650000000003,2302.7650000000003,0.0,300.0,2026-08-31
CH0344958498,Eidg. 28.06.17/45,2045-06-28,0.005,4119.700000000001,3639.7000000000003,120.0,480.00000000000045,2026-08-31
CH0557779003,Eidg. 22.05.24/47,2047-05-22,0.00875,1603.201,1303.201,0.0,300.0,2026-08-31
CH0009755197,Eidg. 06.01.99/49,2049-01-06,0.04,2897.78,2677.79,580.01,219.99000000000024,2026-08-31
CH0344958472,Eidg. 24.05.17/55,2055-05-24,0.005,3366.52,2916.52,150.0,450.0,2026-08-31
CH0224397338,Eidg. 30.05.16/58,2058-05-30,0.005,2800.19,2555.19,55.0,245.0,2026-08-31
CH0224397007,Eidg. 25.06.14/64,2064-06-25,0.02,3579.555,3190.555,811.0,389.0,2026-08-31
