date,bills_yield_28d
2022-09-22,0.431
2022-09-29,0.48
2022-10-06,0.502
2022-10-13,0.502
2022-10-20,0.502
2022-10-27,0.502
2022-11-03,0.502
2022-11-10,0.502
2022-11-17,0.54
2022-11-24,0.627
2022-12-01,0.72
2022-12-08,0.82
2022-12-15,0.92
2022-12-22,0.921
2022-12-29,0.95
2023-01-06,0.926
2023-01-12,0.915
2023-01-19,0.916
2023-01-26,0.914
2023-02-02,0.906
2023-02-09,0.904
2023-02-16,0.902
2023-02-23,0.943
2023-03-02,1.045
2023-03-09,1.25
2023-03-16,1.17
2023-03-23,1.418
2023-03-30,1.412
2023-04-06,1.411
2023-04-13,1.398
2023-04-20,1.429
2023-04-27,1.449
2023-05-04,1.449
2023-05-11,1.449
2023-05-17,1.46
2023-05-25,1.515
2023-06-01,1.56
2023-06-08,1.64
2023-06-15,1.8
2023-06-22,1.696
2023-06-29,1.68
2023-07-06,1.68
2023-07-13,1.69
2023-07-20,1.679
2023-07-27,1.671
2023-08-03,1.667
2023-08-10,1.659
2023-08-17,1.65
2023-08-24,1.654
2023-08-31,1.674
2023-09-07,1.697
2023-09-14,1.737
2023-09-21,1.63
2023-09-28,1.622
2023-10-05,1.622
2023-10-12,1.622
2023-10-19,1.619
2023-10-26,1.641
2023-11-02,1.635
2023-11-09,1.634
2023-11-16,1.628
2023-11-23,1.632
2023-11-30,1.613
2023-12-07,1.596
2023-12-14,1.619
2023-12-21,1.619
2023-12-28,1.632
2024-01-04,1.661
2024-01-11,1.661
2024-01-18,1.662
2024-01-25,1.668
2024-02-01,1.661
2024-02-08,1.665
2024-02-15,1.666
2024-02-22,1.657
2024-02-29,1.63
2024-03-07,1.609
2024-03-14,1.608
2024-03-21,1.406
2024-03-28,1.38
2024-04-04,1.421
2024-04-11,1.429
2024-04-18,1.402
2024-04-25,1.425
2024-05-02,1.43
2024-05-08,1.417
2024-05-16,1.413
2024-05-23,1.404
2024-05-30,1.4
2024-06-06,1.36
2024-06-13,1.317
2024-06-20,1.17
2024-06-27,1.18
2024-07-04,1.175
2024-07-11,1.171
2024-07-18,1.174
2024-07-25,1.168
2024-07-31,1.175
2024-08-08,1.14
2024-08-15,1.159
2024-08-22,1.162
2024-08-29,1.12
2024-09-05,1.046
2024-09-12,0.997
2024-09-19,0.901
2024-09-26,0.929
2024-10-03,0.91
2024-10-10,0.93
2024-10-17,0.92
2024-10-24,0.92
2024-10-31,0.92
2024-11-07,0.912
2024-11-14,0.871
2024-11-21,0.785
2024-11-28,0.69
2024-12-05,0.59
2024-12-12,0.421
2024-12-19,0.415
2024-12-27,0.412
2025-01-03,0.414
2025-01-09,0.423
2025-01-16,0.424
2025-01-23,0.422
2025-01-30,0.422
2025-02-06,0.421
2025-02-13,0.421
2025-02-20,0.396
2025-02-27,0.324
2025-03-06,0.301
2025-03-13,0.264
2025-03-20,0.175
2025-03-27,0.168
2025-04-03,0.17
2025-04-10,0.153
2025-04-17,0.149
2025-04-24,0.159
2025-04-30,0.156
2025-05-08,0.154
2025-05-15,0.17
2025-05-22,0.143
2025-05-28,0.095
2025-06-05,0.005
2025-06-12,-0.06
2025-06-19,-0.064
2025-06-26,-0.069
2025-07-03,-0.06
2025-07-10,-0.055
2025-07-17,-0.06
2025-07-24,-0.06
2025-07-31,-0.062
2025-08-07,-0.066
2025-08-14,-0.066
2025-08-21,-0.06
2025-08-28,-0.057
2025-09-04,-0.062
2025-09-11,-0.062
2025-09-18,-0.058
2025-09-25,-0.053
2025-10-02,-0.054
2025-10-09,-0.054
2025-10-16,-0.053
2025-10-23,-0.057
2025-10-30,-0.058
2025-11-06,-0.059
2025-11-13,-0.057
2025-11-20,-0.057
2025-11-27,-0.059
2025-12-04,-0.069
2025-12-11,-0.075
2025-12-18,-0.08
2025-12-24,-0.1
2025-12-31,-0.09
2026-01-08,-0.059
2026-01-15,-0.064
2026-01-22,-0.06
2026-01-29,-0.067
2026-02-05,-0.06
2026-02-12,-0.062
2026-02-19,-0.059
2026-02-26,-0.063
2026-03-05,-0.065
2026-03-12,-0.067
2026-03-19,-0.066
2026-03-26,-0.067
2026-04-02,-0.068
2026-04-09,-0.069
2026-04-16,-0.063
2026-04-23,-0.06
2026-04-30,-0.06
2026-05-07,-0.06
2026-05-13,-0.058
2026-05-21,-0.06
2026-05-28,-0.06
2026-06-04,-0.06
2026-06-11,-0.06
2026-06-18,-0.059
2026-06-25,-0.058
2026-07-02,-0.059
2026-07-09,-0.059
2026-07-16,-0.059
2026-07-23,-0.06
