date,snbbipo:GBI
2019-01-31,45475.26267338
2019-02-28,44201.068663269994
2019-03-31,41359.90758955001
2019-04-30,41377.61569829
2019-05-31,46114.17305169
2019-06-30,46015.087471800005
2019-07-31,54897.57630424
2019-08-31,54064.183602510006
2019-09-30,50192.23091647
2019-10-31,40095.15228325
2019-11-30,33468.81014901
2019-12-31,30164.090684119998
2020-01-31,37653.62402574
2020-02-29,48266.39338639
2020-03-31,41160.70232132
2020-04-30,23643.177760939998
2020-05-31,24389.12231996
2020-06-30,26063.07279228
2020-07-31,17010.08400517
2020-08-31,18724.07226136
2020-09-30,18598.312429
2020-10-31,27231.251200990002
2020-11-30,24747.61204382
2020-12-31,28120.23532991
2021-01-31,24201.711926189997
2021-02-28,19924.260405459998
2021-03-31,25112.674833639998
2021-04-30,22175.71848155
2021-05-31,21405.10431304
2021-06-30,22549.86973426
2021-07-31,21891.19582092
2021-08-31,24075.07836268
2021-09-30,22751.651048
2021-10-31,22133.77530347
2021-11-30,25545.33443226
2021-12-31,28156.15075902
2022-01-31,20542.91306379
2022-02-28,19774.12294552
2022-03-31,21238.86101684
2022-04-30,19878.66545705
2022-05-31,17659.51094162
2022-06-30,36462.613299660006
2022-07-31,29098.57167352
2022-08-31,37339.626641489995
2022-09-30,66303.00567737
2022-10-31,22473.757798259998
2022-11-30,11047.883049049999
2022-12-31,27584.23891441
2023-01-31,19072.47941705
2023-02-28,19762.93853218
2023-03-31,33279.20272056
2023-04-30,15947.790240010001
2023-05-31,12206.5025415
2023-06-30,6054.62541186
2023-07-31,19804.98328216
2023-08-31,3617.34898
2023-09-30,6700.066269739999
2023-10-31,3972.77864104
2023-11-30,12428.05971919
2023-12-31,5944.83671775
2024-01-31,15141.856559459999
2024-02-29,16254.47504994
2024-03-31,1817.77679271
2024-04-30,11184.93990256
2024-05-31,5604.03458551
2024-06-30,2307.28980873
2024-07-31,1686.75260601
2024-08-31,1635.0027455
2024-09-30,13557.50365708
2024-10-31,6666.11901718
2024-11-30,1399.08340468
2024-12-31,11154.16701402
2025-01-31,6796.650951979999
2025-02-28,2485.67822337
2025-03-31,14151.92480899
2025-04-30,10128.5522348
2025-05-31,8505.71026624
2025-06-30,8490.871978359999
2025-07-31,3247.7140382199996
2025-08-31,1621.4369305799999
2025-09-30,15093.2516312
2025-10-31,7796.92506572
2025-11-30,2152.70337994
2025-12-31,9417.829346569999
2026-01-31,3119.7659844299997
2026-02-28,7126.9541013
2026-03-31,24045.24897431
2026-04-30,10443.67824491
2026-05-31,10463.949105790001
2026-06-30,19059.314365650003
2026-07-31,8029.52990517
