date,nss:J07M0
2024-03-22,0.638
2024-03-25,0.637
2024-03-26,0.658
2024-03-27,0.673
2024-03-28,0.662
2024-04-02,0.699
2024-04-03,0.721
2024-04-04,0.71
2024-04-05,0.692
2024-04-08,0.725
2024-04-09,0.731
2024-04-10,0.675
2024-04-11,0.743
2024-04-12,0.706
2024-04-15,0.715
2024-04-16,0.727
2024-04-17,0.753
2024-04-18,0.717
2024-04-19,0.748
2024-04-22,0.755
2024-04-23,0.743
2024-04-24,0.744
2024-04-25,0.748
2024-04-26,0.75
2024-04-29,0.713
2024-04-30,0.722
2024-05-02,0.758
2024-05-03,0.764
2024-05-06,0.716
2024-05-07,0.73
2024-05-08,0.708
2024-05-10,0.74
2024-05-13,0.791
2024-05-14,0.773
2024-05-15,0.747
2024-05-16,0.731
2024-05-17,0.746
2024-05-21,0.762
2024-05-22,0.789
2024-05-23,0.798
2024-05-24,0.805
2024-05-27,0.815
2024-05-28,0.836
2024-05-29,0.875
2024-05-30,0.881
2024-05-31,0.949
2024-06-03,0.905
2024-06-04,0.871
2024-06-05,0.868
2024-06-06,0.873
2024-06-07,0.873
2024-06-10,0.906
2024-06-11,0.899
2024-06-12,0.87
2024-06-13,0.817
2024-06-14,0.758
2024-06-17,0.744
2024-06-18,0.737
2024-06-19,0.729
2024-06-20,0.704
2024-06-21,0.639
2024-06-24,0.657
2024-06-25,0.611
2024-06-26,0.602
2024-06-27,0.595
2024-06-28,0.568
2024-07-01,0.599
2024-07-02,0.651
2024-07-03,0.701
2024-07-04,0.655
2024-07-05,0.669
2024-07-08,0.649
2024-07-09,0.625
2024-07-10,0.63
2024-07-11,0.637
2024-07-12,0.604
2024-07-15,0.585
2024-07-16,0.562
2024-07-17,0.545
2024-07-18,0.566
2024-07-19,0.577
2024-07-22,0.582
2024-07-23,0.56
2024-07-24,0.521
2024-07-25,0.542
2024-07-26,0.54
2024-07-29,0.49
2024-07-30,0.512
2024-07-31,0.455
2024-08-02,0.414
2024-08-05,0.367
2024-08-06,0.389
2024-08-07,0.432
2024-08-08,0.414
2024-08-09,0.439
2024-08-12,0.426
2024-08-13,0.408
2024-08-14,0.4
2024-08-15,0.408
2024-08-16,0.438
2024-08-19,0.398
2024-08-20,0.371
2024-08-21,0.375
2024-08-22,0.393
2024-08-23,0.437
2024-08-26,0.419
2024-08-27,0.454
2024-08-28,0.447
2024-08-29,0.417
2024-08-30,0.444
2024-09-02,0.481
2024-09-03,0.467
2024-09-04,0.392
2024-09-05,0.423
2024-09-06,0.409
2024-09-09,0.463
2024-09-10,0.423
2024-09-11,0.402
2024-09-12,0.402
2024-09-13,0.398
2024-09-16,0.393
2024-09-17,0.376
2024-09-18,0.406
2024-09-19,0.427
2024-09-20,0.447
2024-09-23,0.459
2024-09-24,0.442
2024-09-25,0.423
2024-09-26,0.401
2024-09-27,0.36
2024-09-30,0.373
2024-10-01,0.33
2024-10-02,0.35
2024-10-03,0.361
2024-10-04,0.364
2024-10-07,0.398
2024-10-08,0.437
2024-10-09,0.443
2024-10-10,0.488
2024-10-11,0.473
2024-10-14,0.44
2024-10-15,0.416
2024-10-16,0.382
2024-10-17,0.366
2024-10-18,0.376
2024-10-21,0.371
2024-10-22,0.394
2024-10-23,0.402
2024-10-24,0.415
2024-10-25,0.394
2024-10-28,0.385
2024-10-29,0.381
2024-10-30,0.355
2024-10-31,0.389
2024-11-01,0.339
2024-11-04,0.337
2024-11-05,0.343
2024-11-06,0.354
2024-11-07,0.345
2024-11-08,0.331
2024-11-11,0.312
2024-11-12,0.331
2024-11-13,0.336
2024-11-14,0.331
2024-11-15,0.3
2024-11-18,0.321
2024-11-19,0.316
2024-11-20,0.349
2024-11-21,0.329
2024-11-22,0.272
2024-11-25,0.219
2024-11-26,0.235
2024-11-27,0.263
2024-11-28,0.237
2024-11-29,0.211
2024-12-02,0.129
2024-12-03,0.16
2024-12-04,0.115
2024-12-05,0.151
2024-12-06,0.177
2024-12-09,0.166
2024-12-10,0.186
2024-12-11,0.213
2024-12-12,0.185
2024-12-13,0.225
2024-12-16,0.162
2024-12-17,0.131
2024-12-18,0.205
2024-12-19,0.189
2024-12-20,0.18
2024-12-23,0.186
2024-12-27,0.187
2024-12-30,0.213
2025-01-03,0.175
2025-01-06,0.226
2025-01-07,0.277
2025-01-08,0.305
2025-01-09,0.317
2025-01-10,0.319
2025-01-13,0.383
2025-01-14,0.388
2025-01-15,0.373
2025-01-16,0.309
2025-01-17,0.305
2025-01-20,0.275
2025-01-21,0.274
2025-01-22,0.284
2025-01-23,0.305
2025-01-24,0.379
2025-01-27,0.346
2025-01-28,0.364
2025-01-29,0.356
2025-01-30,0.343
2025-01-31,0.294
2025-02-03,0.247
2025-02-04,0.267
2025-02-05,0.245
2025-02-06,0.291
2025-02-07,0.27
2025-02-10,0.262
2025-02-11,0.281
