date,bond_btc
2019-01-09,1.59
2019-02-13,1.532
2019-03-13,1.444
2019-04-10,1.332
2019-05-08,1.487
2019-06-12,1.435
2019-07-10,2.513
2019-09-11,1.595
2019-11-13,2.072
2019-12-11,1.677
2020-01-08,1.642
2020-02-12,1.649
2020-03-11,1.769
2020-04-08,1.485
2020-05-13,1.41
2020-06-10,1.428
2020-07-08,2.458
2020-09-09,1.966
2020-10-14,1.723
2020-11-11,1.393
2020-12-09,1.941
2021-01-13,1.241
2021-02-10,1.368
2021-03-10,1.307
2021-04-14,1.28
2021-05-12,1.304
2021-06-09,1.634
2021-07-14,1.557
2021-09-08,1.37
2021-10-13,1.969
2021-11-10,1.754
2021-12-08,1.872
2022-01-12,1.669
2022-02-09,1.832
2022-03-09,1.567
2022-04-13,1.759
2022-05-11,2.17
2022-06-08,1.746
2022-07-13,1.533
2022-09-14,1.62
2022-10-12,1.272
2022-11-09,1.124
2022-12-14,1.583
2023-01-11,1.374
2023-02-08,1.666
2023-03-08,2.144
2023-04-12,2.067
2023-05-10,1.39
2023-06-14,1.539
2023-07-12,1.976
2023-09-13,1.774
2023-10-11,1.214
2023-11-08,1.637
2023-12-13,1.183
2024-01-10,1.394
2024-02-14,2.031
2024-03-13,2.588
2024-04-10,1.571
2024-05-08,2.4
2024-06-12,1.928
2024-07-10,2.123
2024-09-11,1.293
2024-10-09,1.307
2024-11-13,1.406
2024-12-11,1.695
2025-01-08,1.47
2025-02-12,1.567
2025-03-12,1.726
2025-04-09,1.657
2025-05-14,1.406
2025-06-11,1.649
2025-07-09,2.086
2025-09-10,2.169
2025-10-08,2.052
2025-11-12,1.688
2025-12-10,1.415
2026-01-14,1.243
2026-02-11,1.226
2026-03-11,1.874
2026-04-08,1.25
2026-05-13,1.511
2026-06-10,1.443
2026-07-08,1.618
2026-09-09,1.534
