date,bamire:TB|EGP
2019-01-31,2801.923508023723
2019-02-28,2820.6292000412836
2019-03-31,2792.4615340330806
2019-04-30,2764.2255036234646
2019-05-31,2682.691301968253
2019-06-30,2702.4931570600247
2019-07-31,2707.3931364872
2019-08-31,2737.4385713536385
2019-09-30,2742.436982538058
2019-10-31,2798.580006728616
2019-11-30,2768.1345223701114
2019-12-31,2740.5365636666224
2020-01-31,2738.495882133747
2020-02-29,2746.629264167211
2020-03-31,2948.8677895755122
2020-04-30,3140.2035517083714
2020-05-31,3161.11055924148
2020-06-30,3194.6197774553484
2020-07-31,3249.9243100378712
2020-08-31,3253.142822141828
2020-09-30,3161.236278060046
2020-10-31,3106.338151134164
2020-11-30,3031.1474678810973
2020-12-31,2985.55074912315
2021-01-31,3007.171219617536
2021-02-28,2965.0054335596137
2021-03-31,2944.1248847732977
2021-04-30,2946.843386701449
2021-05-31,2913.1832247101524
2021-06-30,2887.369057789352
2021-07-31,2886.7193401823884
2021-08-31,2877.582561325379
2021-09-30,2864.640473101138
2021-10-31,2880.9374083770654
2021-11-30,2872.3372035786397
2021-12-31,2896.909903971975
2022-01-31,2918.2317934258544
2022-02-28,2882.0299680495573
2022-03-31,2876.745281254868
2022-04-30,2867.437587590524
2022-05-31,2852.3185595695577
2022-06-30,2769.2310775212923
2022-07-31,2790.3676941073913
2022-08-31,2797.521676393351
2022-09-30,2467.40999757839
2022-10-31,2308.244328460609
2022-11-30,2223.0878427818493
2022-12-31,2144.796064457303
2023-01-31,2202.9186808064005
2023-02-28,2187.270483599449
2023-03-31,2305.675721086969
2023-04-30,2247.5984734763033
2023-05-31,2234.867657689078
2023-06-30,2149.4964203581562
2023-07-31,2148.913750154044
2023-08-31,2121.6280051083404
2023-09-30,2199.9891454057715
2023-10-31,2195.7942249355497
2023-11-30,2167.8555384082456
2023-12-31,2163.0748758294335
2024-01-31,2212.6212684780007
2024-02-29,2207.723929235666
2024-03-31,2193.072143384066
2024-04-30,2190.0102248097787
2024-05-31,2125.4042213286784
2024-06-30,2116.603702207409
2024-07-31,1013.1399926997984
2024-08-31,1018.3385065959261
2024-09-30,1029.413882015563
2024-10-31,1006.1792542317193
2024-11-30,997.0834240621125
2024-12-31,958.994418234798
2025-01-31,947.0037885786243
2025-02-28,956.4788275335237
2025-03-31,962.0158595899172
2025-04-30,959.1260126667025
2025-05-31,929.8583584110509
2025-06-30,931.259734981095
2025-07-31,945.3907300903205
2025-08-31,946.8956173483251
2025-09-30,950.2587571588422
2025-10-31,926.3638815040044
2025-11-30,921.5106980936661
2025-12-31,903.4436670107343
2026-01-31,899.8392123858483
2026-02-28,892.6220769797011
2026-03-31,890.4814866256655
2026-04-30,893.2346857776458
2026-05-31,889.5221554478853
2026-06-30,902.1118118621166
