date,ops_absorbed_month
2022-09-30,189150.0
2022-10-31,321996.0
2022-11-30,341720.0
2022-12-31,351277.0
2023-01-31,328745.0
2023-02-28,302585.0
2023-03-31,432148.0
2023-04-30,475375.0
2023-05-31,427732.0
2023-06-30,373921.0
2023-07-31,307123.0
2023-08-31,366187.0
2023-09-30,298701.0
2023-10-31,293205.0
2023-11-30,293043.0
2023-12-31,259796.0
2024-01-31,331012.0
2024-02-29,353104.0
2024-03-31,307109.0
2024-04-30,311707.0
2024-05-31,324339.0
2024-06-30,301091.0
2024-07-31,379928.0
2024-08-31,354786.0
2024-09-30,319375.0
2024-10-31,402394.0
2024-11-30,381590.0
2024-12-31,391280.0
2025-01-31,467759.0
2025-02-28,473578.0
2025-03-31,424468.0
2025-04-30,404861.0
2025-05-31,392757.0
2025-06-30,410071.0
2025-07-31,470721.0
2025-08-31,381386.0
2025-09-30,373241.0
2025-10-31,400162.0
2025-11-30,335129.0
2025-12-31,296404.0
2026-01-31,366297.0
2026-02-28,351114.0
2026-03-31,402888.0
2026-04-30,393516.0
2026-05-31,345418.0
2026-06-30,359874.0
2026-07-31,380342.0
