date,zirepo:H8
2024-03-22,1.7007
2024-03-25,1.6993
2024-03-26,1.698
2024-03-27,1.6965
2024-03-28,1.6899
2024-04-02,1.6886
2024-04-03,1.6872
2024-04-04,1.6859
2024-04-05,1.6823
2024-04-08,1.6806
2024-04-09,1.6792
2024-04-10,1.6779
2024-04-11,1.6766
2024-04-12,1.6729
2024-04-15,1.6711
2024-04-16,1.6697
2024-04-17,1.6683
2024-04-18,1.6669
2024-04-19,1.6632
2024-04-22,1.6612
2024-04-23,1.6598
2024-04-24,1.6584
2024-04-25,1.657
2024-04-26,1.6535
2024-04-29,1.6511
2024-04-30,1.6486
2024-05-02,1.6468
2024-05-03,1.6422
2024-05-06,1.6407
2024-05-07,1.6393
2024-05-08,1.637
2024-05-10,1.6324
2024-05-13,1.6311
2024-05-14,1.6297
2024-05-15,1.6283
2024-05-16,1.627
2024-05-17,1.6221
2024-05-21,1.6202
2024-05-22,1.6188
2024-05-23,1.6175
2024-05-24,1.6133
2024-05-27,1.6119
2024-05-28,1.6105
2024-05-29,1.6092
2024-05-30,1.6084
2024-05-31,1.6054
2024-06-03,1.6029
2024-06-04,1.6015
2024-06-05,1.6002
2024-06-06,1.5989
2024-06-07,1.5961
2024-06-10,1.5935
2024-06-11,1.5921
2024-06-12,1.5908
2024-06-13,1.5894
2024-06-14,1.5867
2024-06-17,1.584
2024-06-18,1.5827
2024-06-19,1.5813
2024-06-20,1.58
2024-06-21,1.5733
2024-06-24,1.5714
2024-06-25,1.5695
2024-06-26,1.5635
2024-06-27,1.5599
2024-06-28,1.5502
2024-07-01,1.5484
2024-07-02,1.5466
2024-07-03,1.5439
2024-07-04,1.5413
2024-07-05,1.5334
2024-07-08,1.5307
2024-07-09,1.528
2024-07-10,1.5254
2024-07-11,1.5227
2024-07-12,1.5147
2024-07-15,1.512
2024-07-16,1.5094
2024-07-17,1.5067
2024-07-18,1.504
2024-07-19,1.496
2024-07-22,1.4933
2024-07-23,1.4906
2024-07-24,1.4879
2024-07-25,1.4852
2024-07-26,1.4772
2024-07-29,1.4745
2024-07-30,1.4717
2024-07-31,1.4677
2024-08-02,1.4584
2024-08-05,1.4558
2024-08-06,1.4531
2024-08-07,1.4504
2024-08-08,1.4478
2024-08-09,1.4397
2024-08-12,1.437
2024-08-13,1.4343
2024-08-14,1.4316
2024-08-15,1.4289
2024-08-16,1.4208
2024-08-19,1.4181
2024-08-20,1.4154
2024-08-21,1.4127
2024-08-22,1.4101
2024-08-23,1.402
2024-08-26,1.3993
2024-08-27,1.3966
2024-08-28,1.3939
2024-08-29,1.393
2024-08-30,1.3886
2024-09-02,1.3877
2024-09-03,1.3816
2024-09-04,1.3789
2024-09-05,1.3762
2024-09-06,1.3719
2024-09-09,1.3692
2024-09-10,1.3628
2024-09-11,1.3601
2024-09-12,1.3574
2024-09-13,1.3532
2024-09-16,1.3506
2024-09-17,1.344
2024-09-18,1.3413
2024-09-19,1.3387
2024-09-20,1.3347
2024-09-23,1.3321
2024-09-24,1.3294
2024-09-25,1.3281
2024-09-26,1.3267
2024-09-27,1.32
2024-09-30,1.3139
2024-10-01,1.3119
2024-10-02,1.3091
2024-10-03,1.3063
2024-10-04,1.2995
2024-10-07,1.2947
2024-10-08,1.2918
2024-10-09,1.289
2024-10-10,1.2861
2024-10-11,1.2796
2024-10-14,1.2747
2024-10-15,1.2719
2024-10-16,1.2691
2024-10-17,1.2663
2024-10-18,1.2602
2024-10-21,1.2554
2024-10-22,1.2526
2024-10-23,1.2499
2024-10-24,1.2472
2024-10-25,1.2414
2024-10-28,1.2363
2024-10-29,1.2335
2024-10-30,1.232
2024-10-31,1.2281
2024-11-01,1.2237
2024-11-04,1.2211
2024-11-05,1.2162
2024-11-06,1.2135
2024-11-07,1.2108
2024-11-08,1.204
2024-11-11,1.2027
2024-11-12,1.1971
2024-11-13,1.1944
2024-11-14,1.1917
2024-11-15,1.1865
2024-11-18,1.1838
2024-11-19,1.1826
2024-11-20,1.1753
2024-11-21,1.1726
2024-11-22,1.1676
2024-11-25,1.1649
2024-11-26,1.1589
2024-11-27,1.1562
2024-11-28,1.1501
2024-11-29,1.1417
2024-12-02,1.1406
2024-12-03,1.1378
2024-12-04,1.1351
2024-12-05,1.1323
2024-12-06,1.1277
2024-12-09,1.1213
2024-12-10,1.1186
2024-12-11,1.1158
2024-12-12,1.113
2024-12-13,1.1003
2024-12-16,1.0909
2024-12-17,1.0854
2024-12-18,1.0799
2024-12-19,1.0744
2024-12-20,1.0623
2024-12-23,1.0565
2024-12-24,1.0451
2024-12-30,1.0306
2025-01-03,1.006
2025-01-06,1.0018
2025-01-07,0.9952
2025-01-08,0.9909
2025-01-09,0.9867
2025-01-10,0.9766
2025-01-13,0.9724
2025-01-14,0.9655
2025-01-15,0.9612
2025-01-16,0.957
2025-01-17,0.9474
2025-01-20,0.9433
2025-01-21,0.9362
2025-01-22,0.932
2025-01-23,0.9279
2025-01-24,0.9186
2025-01-27,0.9145
2025-01-28,0.907
2025-01-29,0.9029
2025-01-30,0.8988
2025-01-31,0.8878
2025-02-03,0.8853
2025-02-04,0.8774
2025-02-05,0.8731
2025-02-06,0.8688
2025-02-07,0.8599
2025-02-10,0.8557
2025-02-11,0.8476
2025-02-12,0.8434
2025-02-13,0.8393
2025-02-14,0.831
2025-02-17,0.8269
2025-02-18,0.8186
2025-02-19,0.8144
2025-02-20,0.8103
2025-02-21,0.8022
2025-02-24,0.7981
2025-02-25,0.7895
2025-02-26,0.7853
2025-02-27,0.7764
2025-02-28,0.7633
2025-03-03,0.7566
2025-03-04,0.7523
2025-03-05,0.748
2025-03-06,0.7464
2025-03-07,0.7338
2025-03-10,0.7269
2025-03-11,0.7227
2025-03-12,0.7185
2025-03-13,0.717
2025-03-14,0.7043
2025-03-17,0.6973
2025-03-18,0.6931
2025-03-19,0.6888
2025-03-20,0.6874
2025-03-21,0.6705
2025-03-24,0.6619
2025-03-25,0.6563
2025-03-26,0.6507
2025-03-27,0.6483
2025-03-28,0.6359
2025-03-31,0.6318
2025-04-01,0.6276
2025-04-02,0.6235
2025-04-03,0.6195
2025-04-04,0.6076
2025-04-07,0.6036
2025-04-08,0.5997
2025-04-09,0.5956
2025-04-10,0.5916
2025-04-11,0.5795
2025-04-14,0.5754
2025-04-15,0.5712
2025-04-16,0.567
2025-04-17,0.5483
2025-04-22,0.5418
2025-04-23,0.5376
