date,snbgwdchfsgw:GI
2021-03-19,628684.0
2021-03-26,630006.0
2021-04-02,625974.0
2021-04-09,627507.0
2021-04-16,633374.0
2021-04-23,633268.0
2021-04-30,633976.0
2021-05-07,634137.0
2021-05-14,631059.0
2021-05-21,635116.0
2021-05-28,634590.0
2021-06-04,632175.0
2021-06-11,630837.0
2021-06-18,631434.0
2021-06-25,630986.0
2021-07-02,632800.0
2021-07-09,637515.0
2021-07-16,636469.0
2021-07-23,635533.0
2021-07-30,636422.0
2021-08-06,635896.0
2021-08-13,639303.0
2021-08-20,639836.0
2021-08-27,640148.0
2021-09-03,636471.0
2021-09-10,635932.0
2021-09-17,635996.0
2021-09-24,636026.0
2021-10-01,637054.0
2021-10-08,638438.0
2021-10-15,640171.0
2021-10-22,642387.0
2021-10-29,645308.0
2021-11-05,643728.0
2021-11-12,644090.0
2021-11-19,646669.0
2021-11-26,646897.0
2021-12-03,645652.0
2021-12-10,646772.0
2021-12-17,645696.0
2021-12-24,650001.0
2021-12-31,648877.0
2022-01-07,650601.0
2022-01-14,655103.0
2022-01-21,657383.0
2022-01-28,659262.0
2022-02-04,659518.0
2022-02-11,661616.0
2022-02-18,662853.0
2022-02-25,660908.0
2022-03-04,657581.0
2022-03-11,659505.0
2022-03-18,659930.0
2022-03-25,658527.0
2022-04-01,664066.0
2022-04-08,666549.0
2022-04-15,666072.0
2022-04-22,667569.0
2022-04-29,667117.0
2022-05-06,665302.0
2022-05-13,666539.0
2022-05-20,664860.0
2022-05-27,663053.0
2022-06-03,662415.0
2022-06-10,662016.0
2022-06-17,661749.0
2022-06-24,653546.0
2022-07-01,645708.0
2022-07-08,635205.0
2022-07-15,639808.0
2022-07-22,636999.0
2022-07-29,635318.0
2022-08-05,642105.0
2022-08-12,644067.0
2022-08-19,643743.0
2022-08-26,643652.0
2022-09-02,640811.0
2022-09-09,638586.0
2022-09-16,638888.0
2022-09-23,626632.0
2022-09-30,563685.0
2022-10-07,552513.0
2022-10-14,555448.0
2022-10-21,541719.0
2022-10-28,539605.0
2022-11-04,532052.0
2022-11-11,529769.0
2022-11-18,524380.0
2022-11-25,523031.0
2022-12-02,518039.0
2022-12-09,510803.0
2022-12-16,510206.0
2022-12-23,506404.0
2022-12-30,491907.0
2023-01-06,487262.0
2023-01-13,511537.0
2023-01-20,511577.0
2023-01-27,511597.0
2023-02-03,509745.0
2023-02-10,511177.0
2023-02-17,512422.0
2023-02-24,506037.0
2023-03-03,502041.0
2023-03-10,496495.0
2023-03-17,499940.0
2023-03-24,540479.0
2023-03-31,528788.0
2023-04-07,499438.0
2023-04-14,515744.0
2023-04-21,520391.0
2023-04-28,506500.0
2023-05-05,505737.0
2023-05-12,507115.0
2023-05-19,504512.0
2023-05-26,505152.0
2023-06-02,504483.0
2023-06-09,498280.0
2023-06-16,499887.0
2023-06-23,496573.0
2023-06-30,480233.0
2023-07-07,475972.0
2023-07-14,484210.0
2023-07-21,478500.0
2023-07-28,479337.0
2023-08-04,477444.0
2023-08-11,474675.0
2023-08-18,466351.0
2023-08-25,461726.0
2023-09-01,458038.0
2023-09-08,459504.0
2023-09-15,463621.0
2023-09-22,465326.0
2023-09-29,466137.0
2023-10-06,469078.0
2023-10-13,474886.0
2023-10-20,469713.0
2023-10-27,463066.0
2023-11-03,465007.0
2023-11-10,467520.0
2023-11-17,467691.0
2023-11-24,465317.0
2023-12-01,464096.0
2023-12-08,463232.0
2023-12-15,453793.0
2023-12-22,453641.0
2023-12-29,453232.0
2024-01-05,457087.0
2024-01-12,467771.0
2024-01-19,464422.0
2024-01-26,463209.0
2024-02-02,470513.0
2024-02-09,473818.0
2024-02-16,468587.0
2024-02-23,471414.0
2024-03-01,467943.0
2024-03-08,468406.0
2024-03-15,461049.0
2024-03-22,460752.0
2024-03-29,448050.0
2024-04-05,452136.0
2024-04-12,469352.0
2024-04-19,472897.0
2024-04-26,467299.0
2024-05-03,461481.0
2024-05-10,460340.0
2024-05-17,459043.0
2024-05-24,452519.0
2024-05-31,452376.0
2024-06-07,450140.0
2024-06-14,445299.0
2024-06-21,443378.0
2024-06-28,442984.0
2024-07-05,444448.0
2024-07-12,450261.0
2024-07-19,452933.0
2024-07-26,449500.0
2024-08-02,445547.0
2024-08-09,455472.0
2024-08-16,457194.0
2024-08-23,455710.0
2024-08-30,448564.0
2024-09-06,447258.0
2024-09-13,458221.0
2024-09-20,457156.0
2024-09-27,463561.0
2024-10-04,460349.0
2024-10-11,459449.0
2024-10-18,454068.0
2024-10-25,449394.0
2024-11-01,447810.0
2024-11-08,455440.0
2024-11-15,455029.0
