date,nss:J05M0
2024-03-22,0.661
2024-03-25,0.659
2024-03-26,0.683
2024-03-27,0.694
2024-03-28,0.691
2024-04-02,0.723
2024-04-03,0.735
2024-04-04,0.723
2024-04-05,0.706
2024-04-08,0.73
2024-04-09,0.744
2024-04-10,0.688
2024-04-11,0.759
2024-04-12,0.727
2024-04-15,0.733
2024-04-16,0.749
2024-04-17,0.778
2024-04-18,0.749
2024-04-19,0.786
2024-04-22,0.772
2024-04-23,0.782
2024-04-24,0.762
2024-04-25,0.767
2024-04-26,0.772
2024-04-29,0.759
2024-04-30,0.751
2024-05-02,0.806
2024-05-03,0.817
2024-05-06,0.743
2024-05-07,0.772
2024-05-08,0.737
2024-05-10,0.766
2024-05-13,0.823
2024-05-14,0.825
2024-05-15,0.798
2024-05-16,0.778
2024-05-17,0.775
2024-05-21,0.809
2024-05-22,0.833
2024-05-23,0.834
2024-05-24,0.861
2024-05-27,0.87
2024-05-28,0.899
2024-05-29,0.923
2024-05-30,0.923
2024-05-31,0.994
2024-06-03,0.935
2024-06-04,0.897
2024-06-05,0.908
2024-06-06,0.928
2024-06-07,0.922
2024-06-10,0.948
2024-06-11,0.912
2024-06-12,0.885
2024-06-13,0.853
2024-06-14,0.792
2024-06-17,0.785
2024-06-18,0.769
2024-06-19,0.757
2024-06-20,0.752
2024-06-21,0.677
2024-06-24,0.69
2024-06-25,0.652
2024-06-26,0.634
2024-06-27,0.619
2024-06-28,0.587
2024-07-01,0.615
2024-07-02,0.664
2024-07-03,0.712
2024-07-04,0.672
2024-07-05,0.686
2024-07-08,0.666
2024-07-09,0.648
2024-07-10,0.651
2024-07-11,0.644
2024-07-12,0.616
2024-07-15,0.601
2024-07-16,0.573
2024-07-17,0.557
2024-07-18,0.579
2024-07-19,0.595
2024-07-22,0.595
2024-07-23,0.574
2024-07-24,0.542
2024-07-25,0.553
2024-07-26,0.546
2024-07-29,0.498
2024-07-30,0.534
2024-07-31,0.466
2024-08-02,0.424
2024-08-05,0.372
2024-08-06,0.4
2024-08-07,0.445
2024-08-08,0.425
2024-08-09,0.445
2024-08-12,0.434
2024-08-13,0.419
2024-08-14,0.406
2024-08-15,0.414
2024-08-16,0.447
2024-08-19,0.418
2024-08-20,0.381
2024-08-21,0.385
2024-08-22,0.396
2024-08-23,0.441
2024-08-26,0.419
2024-08-27,0.456
2024-08-28,0.445
2024-08-29,0.418
2024-08-30,0.438
2024-09-02,0.471
2024-09-03,0.458
2024-09-04,0.39
2024-09-05,0.417
2024-09-06,0.404
2024-09-09,0.45
2024-09-10,0.416
2024-09-11,0.39
2024-09-12,0.398
2024-09-13,0.391
2024-09-16,0.387
2024-09-17,0.373
2024-09-18,0.399
2024-09-19,0.427
2024-09-20,0.44
2024-09-23,0.449
2024-09-24,0.424
2024-09-25,0.403
2024-09-26,0.385
2024-09-27,0.336
2024-09-30,0.342
2024-10-01,0.304
2024-10-02,0.326
2024-10-03,0.334
2024-10-04,0.336
2024-10-07,0.373
2024-10-08,0.411
2024-10-09,0.416
2024-10-10,0.451
2024-10-11,0.431
2024-10-14,0.393
2024-10-15,0.371
2024-10-16,0.337
2024-10-17,0.319
2024-10-18,0.323
2024-10-21,0.315
2024-10-22,0.334
2024-10-23,0.343
2024-10-24,0.354
2024-10-25,0.34
2024-10-28,0.33
2024-10-29,0.325
2024-10-30,0.3
2024-10-31,0.336
2024-11-01,0.29
2024-11-04,0.29
2024-11-05,0.297
2024-11-06,0.302
2024-11-07,0.287
2024-11-08,0.276
2024-11-11,0.263
2024-11-12,0.276
2024-11-13,0.276
2024-11-14,0.264
2024-11-15,0.235
2024-11-18,0.256
2024-11-19,0.252
2024-11-20,0.288
2024-11-21,0.263
2024-11-22,0.205
2024-11-25,0.161
2024-11-26,0.169
2024-11-27,0.207
2024-11-28,0.179
2024-11-29,0.15
2024-12-02,0.075
2024-12-03,0.102
2024-12-04,0.06
2024-12-05,0.094
2024-12-06,0.121
2024-12-09,0.113
2024-12-10,0.126
2024-12-11,0.149
2024-12-12,0.131
2024-12-13,0.163
2024-12-16,0.091
2024-12-17,0.061
2024-12-18,0.132
2024-12-19,0.121
2024-12-20,0.103
2024-12-23,0.106
2024-12-27,0.096
2024-12-30,0.121
2025-01-03,0.088
2025-01-06,0.145
2025-01-07,0.189
2025-01-08,0.209
2025-01-09,0.215
2025-01-10,0.217
2025-01-13,0.289
2025-01-14,0.292
2025-01-15,0.277
2025-01-16,0.221
2025-01-17,0.217
2025-01-20,0.191
2025-01-21,0.189
2025-01-22,0.205
2025-01-23,0.218
2025-01-24,0.301
2025-01-27,0.275
2025-01-28,0.289
2025-01-29,0.287
2025-01-30,0.271
2025-01-31,0.218
2025-02-03,0.171
2025-02-04,0.196
2025-02-05,0.175
2025-02-06,0.225
2025-02-07,0.203
2025-02-10,0.192
2025-02-11,0.208
2025-02-12,0.222
2025-02-13,0.258
2025-02-14,0.248
2025-02-17,0.318
2025-02-18,0.323
2025-02-19,0.348
2025-02-20,0.369
2025-02-21,0.406
2025-02-24,0.35
2025-02-25,0.342
2025-02-26,0.328
2025-02-27,0.289
2025-02-28,0.255
2025-03-03,0.282
2025-03-04,0.278
2025-03-05,0.358
2025-03-06,0.48
2025-03-07,0.483
2025-03-10,0.476
2025-03-11,0.536
2025-03-12,0.557
2025-03-13,0.55
2025-03-14,0.545
2025-03-17,0.492
2025-03-18,0.509
2025-03-19,0.489
2025-03-20,0.441
2025-03-21,0.445
2025-03-24,0.446
2025-03-25,0.456
2025-03-26,0.434
2025-03-27,0.395
2025-03-28,0.327
2025-03-31,0.279
2025-04-01,0.258
2025-04-02,0.249
2025-04-03,0.234
2025-04-04,0.183
2025-04-07,0.116
2025-04-08,0.145
2025-04-09,0.177
2025-04-10,0.22
2025-04-11,0.153
2025-04-14,0.148
2025-04-15,0.132
2025-04-16,0.123
2025-04-17,0.162
2025-04-22,0.099
2025-04-23,0.148
2025-04-24,0.159
2025-04-25,0.144
2025-04-28,0.101
2025-04-29,0.085
2025-04-30,0.054
2025-05-02,0.029
2025-05-05,0.049
2025-05-06,0.045
2025-05-07,-0.053
2025-05-08,-0.077
2025-05-09,0.026
2025-05-12,0.056
2025-05-13,0.081
2025-05-14,0.072
2025-05-15,0.046
2025-05-16,0.013
2025-05-19,0.021
2025-05-20,-0.009
2025-05-21,0.033
